年,区分00,区分01,国籍・地域,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり
2021,外国人,来日外国人以外,インドネシア,凶悪犯,強盗,0,6694,0.0
2021,外国人,来日外国人以外,インドネシア,凶悪犯,放火,0,6694,0.0
2021,外国人,来日外国人以外,インドネシア,凶悪犯,殺人,0,6694,0.0
2021,外国人,来日外国人以外,インドネシア,凶悪犯,計,0,6694,0.0
2021,外国人,来日外国人以外,インドネシア,知能犯,計,0,6694,0.0
2021,外国人,来日外国人以外,インドネシア,窃盗犯,計,3,6694,4.4816253361219
2021,外国人,来日外国人以外,インドネシア,粗暴犯,計,3,6694,4.4816253361219
2021,外国人,来日外国人以外,インドネシア,計,計,7,6694,10.457125784284434
2021,外国人,来日外国人以外,インドネシア,風俗犯,計,0,6694,0.0
2021,外国人,来日外国人以外,カナダ,その他の刑法犯,計,1,3951,2.5310048089091373
2021,外国人,来日外国人以外,カナダ,凶悪犯,不同意性交等,0,3951,0.0
2021,外国人,来日外国人以外,カナダ,凶悪犯,強盗,0,3951,0.0
2021,外国人,来日外国人以外,カナダ,凶悪犯,放火,0,3951,0.0
2021,外国人,来日外国人以外,カナダ,凶悪犯,殺人,0,3951,0.0
2021,外国人,来日外国人以外,カナダ,凶悪犯,計,0,3951,0.0
2021,外国人,来日外国人以外,カナダ,知能犯,計,0,3951,0.0
2021,外国人,来日外国人以外,カナダ,窃盗犯,計,1,3951,2.5310048089091373
2021,外国人,来日外国人以外,カナダ,粗暴犯,計,4,3951,10.124019235636549
2021,外国人,来日外国人以外,カナダ,計,計,6,3951,15.186028853454822
2021,外国人,来日外国人以外,カナダ,風俗犯,計,0,3951,0.0
2021,外国人,来日外国人以外,スリランカ,その他の刑法犯,計,0,3136,0.0
2021,外国人,来日外国人以外,スリランカ,凶悪犯,不同意性交等,0,3136,0.0
2021,外国人,来日外国人以外,スリランカ,凶悪犯,強盗,1,3136,3.1887755102040813
2021,外国人,来日外国人以外,スリランカ,凶悪犯,放火,0,3136,0.0
2021,外国人,来日外国人以外,スリランカ,凶悪犯,殺人,0,3136,0.0
2021,外国人,来日外国人以外,スリランカ,凶悪犯,計,1,3136,3.1887755102040813
2021,外国人,来日外国人以外,スリランカ,知能犯,計,0,3136,0.0
2021,外国人,来日外国人以外,スリランカ,窃盗犯,計,1,3136,3.1887755102040813
2021,外国人,来日外国人以外,スリランカ,粗暴犯,計,2,3136,6.377551020408163
2021,外国人,来日外国人以外,スリランカ,計,計,4,3136,12.755102040816325
2021,外国人,来日外国人以外,スリランカ,風俗犯,計,0,3136,0.0
2021,外国人,来日外国人以外,タイ,その他の刑法犯,計,4,21043,1.9008696478638978
2021,外国人,来日外国人以外,タイ,凶悪犯,不同意性交等,0,21043,0.0
2021,外国人,来日外国人以外,タイ,凶悪犯,強盗,0,21043,0.0
2021,外国人,来日外国人以外,タイ,凶悪犯,放火,0,21043,0.0
2021,外国人,来日外国人以外,タイ,凶悪犯,殺人,0,21043,0.0
2021,外国人,来日外国人以外,タイ,凶悪犯,計,0,21043,0.0
2021,外国人,来日外国人以外,タイ,知能犯,計,2,21043,0.9504348239319489
2021,外国人,来日外国人以外,タイ,窃盗犯,計,10,21043,4.7521741196597445
2021,外国人,来日外国人以外,タイ,粗暴犯,計,9,21043,4.27695670769377
2021,外国人,来日外国人以外,タイ,計,計,25,21043,11.880435299149362
2021,外国人,来日外国人以外,タイ,風俗犯,計,0,21043,0.0
2021,外国人,来日外国人以外,ドイツ,その他の刑法犯,計,0,1799,0.0
