年,国籍・地域,罪種00,罪種01,外国人全体_在日米軍関係者以外,来日外国人,検挙人員
2024,フィリピン,凶悪犯,強盗,6,3,3
2024,フィリピン,凶悪犯,放火,4,3,1
2024,フィリピン,凶悪犯,殺人,11,7,4
2024,フィリピン,知能犯,,69,38,31
2024,フィリピン,窃盗犯,,333,187,146
2024,フィリピン,粗暴犯,,235,128,107
2024,フィリピン,風俗犯,,23,14,9
2024,フランス,その他の刑法犯,,13,13,0
2024,フランス,凶悪犯,不同意性交等,0,0,0
2024,フランス,凶悪犯,強盗,1,1,0
2024,フランス,凶悪犯,放火,0,0,0
2024,フランス,凶悪犯,殺人,0,0,0
2024,フランス,知能犯,,2,1,1
2024,フランス,窃盗犯,,10,8,2
2024,フランス,粗暴犯,,12,10,2
2024,フランス,風俗犯,,1,1,0
2024,ブラジル,その他の刑法犯,,108,54,54
2024,ブラジル,凶悪犯,不同意性交等,14,8,6
2024,ブラジル,凶悪犯,強盗,20,9,11
2024,ブラジル,凶悪犯,放火,3,1,2
2024,ブラジル,凶悪犯,殺人,5,1,4
2024,ブラジル,知能犯,,32,11,21
2024,ブラジル,窃盗犯,,254,141,113
2024,ブラジル,粗暴犯,,241,123,118
2024,ブラジル,風俗犯,,32,17,15
2024,ベトナム,その他の刑法犯,,316,306,10
2024,ベトナム,凶悪犯,不同意性交等,8,6,2
2024,ベトナム,凶悪犯,強盗,22,21,1
2024,ベトナム,凶悪犯,放火,0,0,0
2024,ベトナム,凶悪犯,殺人,35,34,1
2024,ベトナム,知能犯,,147,141,6
2024,ベトナム,窃盗犯,,891,834,57
2024,ベトナム,粗暴犯,,225,205,20
2024,ベトナム,風俗犯,,35,31,4
2024,マレーシア,その他の刑法犯,,3,3,0
2024,マレーシア,凶悪犯,不同意性交等,0,0,0
2024,マレーシア,凶悪犯,強盗,0,0,0
2024,マレーシア,凶悪犯,放火,0,0,0
2024,マレーシア,凶悪犯,殺人,0,0,0
2024,マレーシア,知能犯,,16,16,0
2024,マレーシア,窃盗犯,,13,12,1
2024,マレーシア,粗暴犯,,3,3,0
2024,マレーシア,風俗犯,,1,1,0
2024,ロシア,その他の刑法犯,,8,8,0
2024,ロシア,凶悪犯,不同意性交等,0,0,0
2024,ロシア,凶悪犯,強盗,2,2,0
2024,ロシア,凶悪犯,放火,0,0,0
2024,ロシア,凶悪犯,殺人,0,0,0
2024,ロシア,知能犯,,1,1,0
2024,ロシア,窃盗犯,,23,16,7
2024,ロシア,粗暴犯,,19,9,10
2024,ロシア,風俗犯,,1,1,0
2024,中国,その他の刑法犯,,349,243,106
2024,中国,凶悪犯,不同意性交等,26,13,13
2024,中国,凶悪犯,強盗,47,31,16
2024,中国,凶悪犯,放火,2,2,0
2024,中国,凶悪犯,殺人,17,14,3
2024,中国,知能犯,,225,172,53
2024,中国,窃盗犯,,1045,553,492
2024,中国,粗暴犯,,618,334,284
2024,中国,風俗犯,,64,41,23
2024,韓国・朝鮮,その他の刑法犯,,219,47,172
2024,韓国・朝鮮,凶悪犯,不同意性交等,19,5,14
2024,韓国・朝鮮,凶悪犯,強盗,21,5,16
2024,韓国・朝鮮,凶悪犯,放火,6,1,5
2024,韓国・朝鮮,凶悪犯,殺人,11,2,9
2024,韓国・朝鮮,知能犯,,99,7,92
2024,韓国・朝鮮,窃盗犯,,892,108,784
2024,韓国・朝鮮,粗暴犯,,502,66,436
2024,韓国・朝鮮,風俗犯,,55,22,33
