年,人数,表示区分,人数_万人
2013,125704000.0,日本人,12570.4
2014,125431000.0,日本人,12543.1
2015,125319000.0,日本人,12531.9
2016,125020000.0,日本人,12502.0
2017,124648000.0,日本人,12464.8
2018,124218000.0,日本人,12421.8
2019,123731000.0,日本人,12373.1
2020,123399000.0,日本人,12339.9
2021,122780000.0,日本人,12278.0
2022,122031000.0,日本人,12203.1
2023,121193000.0,日本人,12119.3
2024,120296000.0,日本人,12029.6
