年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,推定検挙人員,対推定値倍率,日本人_対推定値倍率,対日本人倍率_年齢調整後
2015,計,計,計,その他の刑法犯,計,39710.0,39726.999999992746,0.9995720794423755,0.9797633476201807,1.0202178739083367
2015,計,計,計,凶悪犯,計,4399.0,4409.0,0.9977319119981856,0.9685507698498127,1.0301286654832744
2015,計,計,計,知能犯,計,13016.0,13015.999999997111,1.0000000000002218,0.9717977719592977,1.0290206757565044
2015,計,計,計,窃盗犯,計,123822.0,123846.99999999572,0.9997981380251785,0.9768925384859262,1.0234474096554709
2015,計,計,計,粗暴犯,計,52511.0,52540.9999999959,0.9994290173389181,0.9748866577499337,1.0251745773663874
2015,計,計,計,風俗犯,計,5815.0,5815.0,1.0,0.9887561967984079,1.011371663953156
2016,計,計,計,その他の刑法犯,計,35661.0,35677.99999999539,0.9995235158922756,0.9781368943155181,1.0218646507467888
2016,計,計,計,凶悪犯,計,4247.0,4252.0,0.998824082784572,0.9649047635161316,1.0351530229209749
2016,計,計,計,知能犯,計,12876.0,12875.999999995052,1.0000000000003844,0.9762685635782247,1.0243083074755364
2016,計,計,計,窃盗犯,計,115433.0,115461.99999999204,0.9997488351146521,0.9773223654677903,1.022946849923083
2016,計,計,計,粗暴犯,計,52272.0,52290.99999999419,0.9996366487541989,0.978143271744298,1.0219736490867766
2016,計,計,計,風俗犯,計,5815.0,5817.0,0.9996561801615953,0.9922686291326352,1.0074451119505992
2017,計,計,計,その他の刑法犯,計,32534.0,32545.999999993724,0.9996312910958727,0.9771013705533754,1.023057915198438
2017,計,計,計,凶悪犯,計,4062.0,4067.0,0.9987705925743792,0.9711027185675521,1.0284911920004087
2017,計,計,計,知能犯,計,12419.0,12421.999999995784,0.9997584929966362,0.9668097712872913,1.0340798393726143
2017,計,計,計,窃盗犯,計,109206.0,109237.99999999172,0.9997070616452908,0.9788678163790062,1.0212891310936878
2017,計,計,計,粗暴犯,計,51236.0,51252.999999996246,0.9996683120988772,0.980369521261117,1.0196852211530758
2017,計,計,計,風俗犯,計,5473.0,5477.0,0.9992696731787475,0.9919893373502278,1.0073391270998604
2018,計,計,計,その他の刑法犯,計,29813.0,29822.99999999492,0.999664688327971,0.9797610580883714,1.0203147798897354
2018,計,計,計,凶悪犯,計,4192.0,4193.0,0.9997615072740281,0.9738455496012682,1.0266119793671296
2018,計,計,計,知能犯,計,12275.0,12279.999999997724,0.9995928338764067,0.9780462222389528,1.0220302590486259
2018,計,計,計,窃盗犯,計,102340.0,102368.99999999529,0.9997167111137621,0.9807964232341111,1.0192907390682182
2018,計,計,計,粗暴犯,計,51769.0,51785.9999999922,0.9996717259492488,0.9833808748259838,1.016566166314906
2018,計,計,計,風俗犯,計,5643.0,5643.0,1.0,0.994068845347389,1.005966543142732
2019,計,計,計,その他の刑法犯,計,27049.0,27077.999999995423,0.9989290198686968,0.9828788267369142,1.0163297780918408
2019,計,計,計,凶悪犯,計,4222.0,4225.0,0.9992899408284024,0.9757311871885198,1.0241447172635374
2019,計,計,計,知能犯,計,10963.0,10964.999999996722,0.9998176014594872,0.9794949352056246,1.0207481075434006
2019,計,計,計,窃盗犯,計,94122.0,94143.99999999358,0.9997663154317473,0.9818702767364047,1.0182264797288971
2019,計,計,計,粗暴犯,計,50781.0,50788.99999999565,0.9998424855776713,0.9846631094736038,1.0154158066429262
2019,計,計,計,風俗犯,計,5403.0,5406.0,0.9994450610432852,0.9962225706585421,1.0032347092704523
2020,計,計,計,その他の刑法犯,計,25955.0,25969.999999994943,0.999422410473818,0.9716539704244684,1.0285785278448651
2020,計,計,計,凶悪犯,計,4288.0,4291.0,0.9993008622698671,0.9677305227116522,1.0326230689404656
2020,計,計,計,知能犯,計,10546.0,10546.999999996904,0.9999051863091966,0.9765268294323417,1.023940311901563
2020,計,計,計,窃盗犯,計,88438.0,88463.99999999533,0.9997060951347969,0.9770660367757908,1.0231714720467777
2020,計,計,計,粗暴犯,計,48097.0,48107.999999994994,0.9997713478008856,0.9811706042738778,1.0189577056691108
2020,計,計,計,風俗犯,計,5199.0,5202.0,0.9994232987312572,0.9854211454326702,1.014209308744272
2021,計,計,計,その他の刑法犯,計,22942.0,22958.999999996344,0.9992595496321117,0.9631553740046908,1.0374853077726223
2021,計,計,計,凶悪犯,計,4083.0,4093.0,0.9975568043000245,0.9565747119022292,1.042842542132751
2021,計,計,計,知能犯,計,12483.0,12482.999999997252,1.0000000000002203,0.9840611484120649,1.0161970133805964
2021,計,計,計,窃盗犯,計,84326.0,84359.99999999139,0.9995969653865412,0.9758652764250932,1.0243186119383043
2021,計,計,計,粗暴犯,計,45714.0,45723.99999999593,0.9997812964745881,0.9758345160949081,1.0245397964354757
2021,計,計,計,風俗犯,計,5417.0,5422.0,0.9990778310586499,0.9772459053513401,1.0223402580535355
2022,計,計,計,その他の刑法犯,計,22516.0,22548.999999995776,0.9985365204667266,0.9723408692290308,1.026940810642328
2022,計,計,計,凶悪犯,計,3976.0,3978.0,0.9994972347913524,0.9651385581385117,1.0355997347356107
2022,計,計,計,知能犯,計,12531.0,12533.999999996468,0.9997606510294823,0.987037704149716,1.0128900312787206
2022,計,計,計,窃盗犯,計,79211.0,79233.99999999303,0.9997097205745888,0.9790048659018521,1.021148878206712
2022,計,計,計,粗暴犯,計,45655.0,45681.99999999442,0.9994089575764104,0.9804378421381958,1.0193496360736558
2022,計,計,計,風俗犯,計,5429.0,5432.0,0.9994477172312224,0.9849162239555915,1.0147540399093742
2023,計,計,計,その他の刑法犯,計,24191.0,24220.99999999485,0.9987614053922276,0.9767582530787996,1.0225267124634707
2023,計,計,計,凶悪犯,計,4857.0,4860.0,0.9993827160493827,0.9718350610031312,1.0283460189405151
2023,計,計,計,知能犯,計,11961.0,11966.999999997472,0.999498621208534,0.9957699900149535,1.0037444703405096
2023,計,計,計,窃盗犯,計,85498.0,85534.9999999963,0.9995674285380686,0.9812551804507069,1.0186620651306528
2023,計,計,計,粗暴犯,計,49823.0,49845.999999995314,0.9995385788228681,0.9860267037977319,1.0137033560785875
2023,計,計,計,風俗犯,計,6839.0,6839.999999998613,0.9998538011697934,1.0025634273682227,0.9972973019716646
2024,計,計,計,その他の刑法犯,計,25073.0,25119.99999999569,0.9981289808918911,0.9753378451117392,1.0233674268812372
2024,計,計,計,凶悪犯,計,6292.0,6300.0,0.9987301587301587,0.9851107521691224,1.0138252541971018
2024,計,計,計,知能犯,計,11546.0,11545.999999996868,1.0000000000002713,0.9941880668935232,1.0058459091396141
2024,計,計,計,窃盗犯,計,88279.0,88301.99999999389,0.9997395302485347,0.9845737478138575,1.0154033991545592
2024,計,計,計,粗暴犯,計,49457.0,49483.99999999578,0.9994543690890837,0.9932288802321324,1.0062679297600532
2024,計,計,計,風俗犯,計,11069.0,11073.999999997011,0.9995484919634267,1.02003407980466,0.9799167613643296
2013,計,計,計,凶悪犯,不同意性交等,935.0,937.0,0.9978655282817502,0.9948263875679738,1.003054945819447
2013,計,計,計,凶悪犯,強盗,2254.0,2255.0,0.9995565410199556,0.9524694232126903,1.049436881289522
2013,計,計,計,凶悪犯,放火,548.0,549.0,0.9981785063752276,1.0042823507332235,0.9939221829861499
2013,計,計,計,凶悪犯,殺人,906.0,906.0,1.0,0.9722220524624076,1.0285716081704148
2014,計,計,計,凶悪犯,不同意性交等,917.0,919.0,0.9978237214363439,0.9789402697059225,1.019289687343329
2014,計,計,計,凶悪犯,強盗,2093.0,2096.0,0.9985687022900763,0.9590474848038212,1.041208822412312
2014,計,計,計,凶悪犯,放火,598.0,598.0,1.0,1.0015168204425415,0.9984854768171829
2014,計,計,計,凶悪犯,殺人,967.0,967.0,1.0,0.9737107125256428,1.0269990738893764
2015,計,計,計,凶悪犯,不同意性交等,928.0,933.0,0.9946409431939979,0.9742749359894113,1.0209037577097313
