年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり,日本人_検挙人員数_1万人あたり,対日本人倍率
2019,計,計,計,凶悪犯,計,4222.0,112875562.5729506,0.3740402177195222,0.3596090624466641,1.040130121234079
2019,計,計,計,知能犯,計,10963.0,112875562.5729506,0.9712465435478735,0.9374611121329957,1.0360392884329956
2019,計,計,計,窃盗犯,計,94122.0,112875562.5729506,8.338563091472494,8.18092399788428,1.019269106231641
2019,計,計,計,粗暴犯,計,50781.0,112875562.5729506,4.49884800947775,4.3858096141861385,1.025773666719591
2019,計,計,計,風俗犯,計,5403.0,112875562.5729506,0.4786687106439078,0.4711898885604339,1.0158722041050647
2020,計,計,計,その他の刑法犯,計,25955.0,112459489.83794346,2.307942178770481,2.2241452627688587,1.03767600857927
2020,計,計,計,凶悪犯,計,4288.0,112459489.83794346,0.3812928554254603,0.36406379731725785,1.0473242828184546
2020,計,計,計,知能犯,計,10546.0,112459489.83794346,0.9377599004936811,0.9033196173415429,1.0381263536083667
2020,計,計,計,窃盗犯,計,88438.0,112459489.83794346,7.863987301333223,7.682001478763001,1.0236898968417703
2020,計,計,計,粗暴犯,計,48097.0,112459489.83794346,4.27682893362835,4.158006190151738,1.0285768558397157
2020,計,計,計,風俗犯,計,5199.0,112459489.83794346,0.462299803021681,0.45061102769152583,1.025939834162596
2021,計,計,計,その他の刑法犯,計,22942.0,111969423.33735567,2.0489522332250862,1.9605297311404062,1.0451013318901552
2021,計,計,計,凶悪犯,計,4083.0,111969423.33735567,0.36465312388885135,0.3445818344833514,1.0582482516398284
2021,計,計,計,知能犯,計,12483.0,111969423.33735567,1.1148579342406395,1.0799520425934668,1.0323217052891973
2021,計,計,計,窃盗犯,計,84326.0,111969423.33735567,7.53116319496725,7.351963617252195,1.0243743830960403
2021,計,計,計,粗暴犯,計,45714.0,111969423.33735567,4.0827217500501956,3.9504303515185066,1.033487844806791
2021,計,計,計,風俗犯,計,5417.0,111969423.33735567,0.4837927925804329,0.46801276775951733,1.0337170819002612
2022,計,計,計,その他の刑法犯,計,22516.0,111688142.07742922,2.0159705033315443,1.947707399341489,1.0350479255832445
2022,計,計,計,凶悪犯,計,3976.0,111688142.07742922,0.35599123828593976,0.3388435722803628,1.0506064373308777
2022,計,計,計,知能犯,計,12531.0,111688142.07742922,1.1219633317306617,1.0881031525261218,1.0311185379124495
2022,計,計,計,窃盗犯,計,79211.0,111688142.07742922,7.092158444634702,6.944639439908759,1.0212421402151126
2022,計,計,計,粗暴犯,計,45655.0,111688142.07742922,4.087721323929723,3.9730511377764994,1.028861996026912
2022,計,計,計,風俗犯,計,5429.0,111688142.07742922,0.48608562189496146,0.4729844658620683,1.0276989139781045
2023,計,計,計,その他の刑法犯,計,24191.0,111756616.17668466,2.164614572953299,2.0970422067131937,1.032222702062833
2023,計,計,計,凶悪犯,計,4857.0,111756616.17668466,0.4346051416160627,0.4153280898046601,1.0464140333500416
2023,計,計,計,知能犯,計,11961.0,111756616.17668466,1.0702722048321445,1.046028580923895,1.0231768274312703
2023,計,計,計,窃盗犯,計,85498.0,111756616.17668466,7.650374798824403,7.506923673424172,1.019109175960863
2023,計,計,計,粗暴犯,計,49823.0,111756616.17668466,4.458170057800513,4.3510210110409515,1.024626184632909
2023,計,計,計,風俗犯,計,6839.0,111756616.17668466,0.6119548205707747,0.6043905321073816,1.0125155641287398
2024,計,計,計,その他の刑法犯,計,25073.0,111707004.73372394,2.2445324767024704,2.1679407291770465,1.0353292626936799
2024,計,計,計,凶悪犯,計,6292.0,111707004.73372394,0.5632592168233536,0.5425650440461921,1.0381413675728797
2024,計,計,計,知能犯,計,11546.0,111707004.73372394,1.0335967764530263,1.0055266667873854,1.0279158281851675
2024,計,計,計,窃盗犯,計,88279.0,111707004.73372394,7.902727336609796,7.7757141486852515,1.0163346009763001
2024,計,計,計,粗暴犯,計,49457.0,111707004.73372394,4.4273857416453595,4.34348924453942,1.0193154609997972
2024,計,計,計,風俗犯,計,11069.0,111707004.73372394,0.9908957836963923,0.9911460953395125,0.9997474523238328
2013,計,計,計,凶悪犯,不同意性交等,935.0,112706021.18227693,0.08295918800006659,0.08180929992159772,1.0140557134649835
2013,計,計,計,凶悪犯,強盗,2254.0,112706021.18227693,0.1999893152429413,0.1892009555092862,1.0570206408557254
2013,計,計,計,凶悪犯,放火,548.0,112706021.18227693,0.04862206954442406,0.04872399188700681,0.9979081692891848
2013,計,計,計,凶悪犯,殺人,906.0,112706021.18227693,0.08038612227600035,0.07783183119612777,1.0328180776504672
2014,計,計,計,凶悪犯,不同意性交等,917.0,112664749.04018238,0.08139191786358553,0.07890545823078036,1.0315118838234592
2014,計,計,計,凶悪犯,強盗,2093.0,112664749.04018238,0.18577239268100817,0.17699435355436513,1.0495950235155203
2014,計,計,計,凶悪犯,放火,598.0,112664749.04018238,0.05307782648028805,0.05293542782684233,1.0026900444426654
2014,計,計,計,凶悪犯,殺人,967.0,112664749.04018238,0.08582986322146914,0.08324887794990589,1.0310032439490215
2015,計,計,計,凶悪犯,不同意性交等,928.0,112999189.38863808,0.08212448292954828,0.07931544207632965,1.035416065014368
2015,計,計,計,凶悪犯,強盗,1967.0,112999189.38863808,0.1740720451750231,0.16558679422085676,1.0512435245460992
2015,計,計,計,凶悪犯,放火,591.0,112999189.38863808,0.05230126014155499,0.0527565127250302,0.9913706846802401
2015,計,計,計,凶悪犯,殺人,913.0,112999189.38863808,0.08079703977874737,0.0769666932221331,1.0497662871595579
2016,計,計,計,凶悪犯,不同意性交等,871.0,113034149.03619675,0.07705635928847317,0.0747116814092372,1.031383015815062
2016,計,計,計,凶悪犯,強盗,1984.0,113034149.03619675,0.1755221777592776,0.16561390878972557,1.059827517156981
2016,計,計,計,凶悪犯,放火,577.0,113034149.03619675,0.05104652044712861,0.051466037193530226,0.991848668184339
2016,計,計,計,凶悪犯,殺人,815.0,113034149.03619675,0.0721021042710742,0.06738523323230232,1.0699985859292207
2017,計,計,計,凶悪犯,不同意性交等,907.0,113029356.0091803,0.08024464015581341,0.07720616247423645,1.039355377656426
2017,計,計,計,凶悪犯,強盗,1702.0,113029356.0091803,0.15058035010495527,0.14272265950343005,1.0550556627018037
2017,計,計,計,凶悪犯,放火,579.0,113029356.0091803,0.05122563026484671,0.0514707749828243,0.9952372056169857
2017,計,計,計,凶悪犯,殺人,874.0,113029356.0091803,0.07732504464849053,0.07385331269542571,1.0470084797330947
2018,計,計,計,凶悪犯,不同意性交等,1087.0,112962026.07318132,0.09622702759383918,0.09346652946412087,1.029534616782556
2018,計,計,計,凶悪犯,強盗,1732.0,112962026.07318132,0.15332586181465452,0.14451433272829572,1.0609733921888946
2018,計,計,計,凶悪犯,放火,537.0,112962026.07318132,0.04753809918849278,0.04795950199908243,0.9912133614190215
2018,計,計,計,凶悪犯,殺人,836.0,112962026.07318132,0.07400717117612655,0.07075843192667654,1.0459131040780627
2019,計,計,計,凶悪犯,不同意性交等,1178.0,112875562.5729506,0.1043627135181424,0.10192566891535387,1.0239100182390013
2019,計,計,計,凶悪犯,強盗,1602.0,112875562.5729506,0.1419262029338405,0.13489894161183116,1.0520927832201243
2019,計,計,計,凶悪犯,放火,519.0,112875562.5729506,0.04597983728006443,0.04554319433215097,1.0095874466935495
2019,計,計,計,凶悪犯,殺人,923.0,112875562.5729506,0.0817714639874749,0.07724125758732804,1.0586500859987302
2020,計,計,計,凶悪犯,不同意性交等,1177.0,112459489.83794346,0.10465990924341576,0.1009565690456424,1.0366825084566718
2020,計,計,計,凶悪犯,強盗,1651.0,112459489.83794346,0.146808419847816,0.1386214859524629,1.0590596316227676
2020,計,計,計,凶悪犯,放火,582.0,112459489.83794346,0.05175196871679522,0.051891858886152234,0.9973041981466896
2020,計,計,計,凶悪犯,殺人,878.0,112459489.83794346,0.07807255761743334,0.07259388343300031,1.0754701901226913
2021,計,計,計,凶悪犯,不同意性交等,1241.0,111969423.33735567,0.11083382971982965,0.10558880429999667,1.0496740677631968
2021,計,計,計,凶悪犯,強盗,1460.0,111969423.33735567,0.13039274084685842,0.12160097132989219,1.0723001586320802
2021,計,計,計,凶悪犯,放火,534.0,111969423.33735567,0.04769159151522082,0.04721301821386333,1.0101364691236148
2021,計,計,計,凶悪犯,殺人,848.0,111969423.33735567,0.07573496180694243,0.07017904063959918,1.0791678130209188
2022,計,計,計,凶悪犯,不同意性交等,1337.0,111688142.07742922,0.11970832132502551,0.11640856997809645,1.0283462922665396
2022,計,計,計,凶悪犯,強盗,1322.0,111688142.07742922,0.11836529602968117,0.10869087473092984,1.089008588096295
2022,計,計,計,凶悪犯,放火,532.0,111688142.07742922,0.04763263047487926,0.04731682205108103,1.0066743371618936
2022,計,計,計,凶悪犯,殺人,785.0,111688142.07742922,0.07028499045635381,0.06642730552025551,1.0580737831511469
2023,計,計,計,凶悪犯,不同意性交等,1872.0,111756616.17668466,0.1675068612528864,0.16201395812562314,1.033903888225508
2023,計,計,計,凶悪犯,強盗,1601.0,111756616.17668466,0.14325773764202518,0.13385768620065727,1.070224218781706
2023,計,計,計,凶悪犯,放火,576.0,111756616.17668466,0.05154057269319583,0.051789077212806026,0.9952016036395267
2023,計,計,計,凶悪犯,殺人,808.0,111756616.17668466,0.07229997002795525,0.06766736826557365,1.068461385171654
2024,計,計,計,凶悪犯,不同意性交等,3082.0,111707004.73372394,0.27590033475040937,0.2709114105018606,1.0184153345158362
2024,計,計,計,凶悪犯,強盗,1777.0,111707004.73372394,0.15907686400112833,0.1492796094169499,1.0656302265422863
2024,計,計,計,凶悪犯,放火,511.0,111707004.73372394,0.045744669389182084,0.045275605590721905,1.0103601882810884
2024,計,計,計,凶悪犯,殺人,922.0,111707004.73372394,0.08253734868263382,0.07709841853665965,1.0705452880773165
2013,外国人,計,計,計,計,10477.0,2082901.2109154272,50.30003317053812,22.77408195187602,2.208652505810213
2013,日本人,計,計,計,計,251934.0,110623119.97136152,22.77408195187602,22.77408195187602,1.0
2014,外国人,計,計,計,計,10468.0,2152749.04018238,48.626197501930626,21.77102939047343,2.2335277138162555
2014,日本人,計,計,計,計,240596.0,110512000.0,21.77102939047343,21.77102939047343,1.0
2015,外国人,計,計,計,計,10964.0,2301956.035887944,47.62905906572106,20.62463469818308,2.309328614189561
2015,日本人,計,計,計,計,228309.0,110697233.35275014,20.62463469818308,20.62463469818308,1.0
2016,外国人,計,計,計,計,10678.0,2475802.0120491977,43.129458446323504,19.50336684691063,2.21138528464665
2016,日本人,計,計,計,計,215626.0,110558347.02414756,19.50336684691063,19.50336684691063,1.0
2017,外国人,計,計,計,計,10507.0,2675470.685024894,39.271594560200676,18.524313792806147,2.1200026624171993
2017,日本人,計,計,計,計,204423.0,110353885.3241554,18.524313792806147,18.524313792806147,1.0
2018,外国人,計,計,計,計,10003.0,2869139.78547512,34.86410822728018,17.8057826086707,1.9580216715834078
2018,日本人,計,計,計,計,196029.0,110092886.2877062,17.8057826086707,17.8057826086707,1.0
2019,外国人,計,計,計,計,9536.0,3089675.278034258,30.864084869355857,16.669173471121912,1.8515666012370415
2019,日本人,計,計,計,計,183004.0,109785887.29491636,16.669173471121912,16.669173471121912,1.0
2020,外国人,計,計,計,計,9470.0,2808378.427894846,33.72052678491299,15.782147374033924,2.136624756171822
2020,日本人,計,計,計,計,173053.0,109651111.41004862,15.782147374033924,15.782147374033924,1.0
2021,外国人,計,計,計,計,9328.0,2677533.193275661,34.83803682966948,15.155470344747444,2.298710369074331
2021,日本人,計,計,計,計,165637.0,109291890.14408001,15.155470344747444,15.155470344747444,1.0
2022,外国人,計,計,計,計,8611.0,2847358.255550816,30.242067302957693,14.7653291676953,2.048181043543788
2022,日本人,計,計,計,計,160707.0,108840783.8218784,14.7653291676953,14.7653291676953,1.0
2023,外国人,計,計,計,計,9626.0,3432616.176684663,28.04275078985707,16.020734094014255,1.7504036098030327
2023,日本人,計,計,計,計,173543.0,108324000.0,16.020734094014255,16.020734094014255,1.0
2024,外国人,計,計,計,計,10354.0,3922692.711180115,26.395134063114185,16.826381928574808,1.5686755581299139
2024,日本人,計,計,計,計,181362.0,107784312.02254383,16.826381928574808,16.826381928574808,1.0
2013,外国人,計,計,その他の刑法犯,計,1834.0,2082901.2109154272,8.805026327647886,4.200930150228165,2.0959706571578343
2013,外国人,計,計,凶悪犯,計,245.0,2082901.2109154272,1.1762439750674658,0.39756607851401843,2.958612514085481
2013,外国人,計,計,知能犯,計,834.0,2082901.2109154272,4.004030511045985,1.146957345199151,3.4910021090197985
2013,外国人,計,計,窃盗犯,計,5128.0,2082901.2109154272,24.619506547534552,12.093855247857316,2.035703755582524
2013,外国人,計,計,粗暴犯,計,2268.0,2082901.2109154272,10.888658512053112,4.4286402347613185,2.458691141038228
2013,外国人,計,計,風俗犯,計,168.0,2082901.2109154272,0.8065672971891193,0.5061328953160503,1.5935879778876363
2013,日本人,計,計,その他の刑法犯,計,46472.0,110623119.97136152,4.200930150228165,4.200930150228165,1.0
2013,日本人,計,計,凶悪犯,計,4398.0,110623119.97136152,0.39756607851401843,0.39756607851401843,1.0
2013,日本人,計,計,知能犯,計,12688.0,110623119.97136152,1.146957345199151,1.146957345199151,1.0
2013,日本人,計,計,窃盗犯,計,133786.0,110623119.97136152,12.093855247857316,12.093855247857316,1.0
2013,日本人,計,計,粗暴犯,計,48991.0,110623119.97136152,4.4286402347613185,4.4286402347613185,1.0
2013,日本人,計,計,風俗犯,計,5599.0,110623119.97136152,0.5061328953160503,0.5061328953160503,1.0
2014,外国人,計,計,その他の刑法犯,計,1663.0,2152749.04018238,7.725006347507702,3.7957868828724486,2.0351528117568685
2014,外国人,計,計,凶悪犯,計,242.0,2152749.04018238,1.124144038542913,0.39208411756189376,2.867099145798624
2014,外国人,計,計,知能犯,計,730.0,2152749.04018238,3.391013008827795,1.1215976545533517,3.0233774072737174
2014,外国人,計,計,窃盗犯,計,5230.0,2152749.04018238,24.294517857766255,11.423646300854205,2.126686805416028
2014,外国人,計,計,粗暴犯,計,2394.0,2152749.04018238,11.120664579635262,4.543398002026929,2.4476536228334043
2014,外国人,計,計,風俗犯,計,209.0,2152749.04018238,0.9708516696506975,0.49451643260460404,1.9632343955432365
2014,日本人,計,計,その他の刑法犯,計,41948.0,110512000.0,3.7957868828724486,3.7957868828724486,1.0
2014,日本人,計,計,凶悪犯,計,4333.0,110512000.0,0.39208411756189376,0.39208411756189376,1.0
2014,日本人,計,計,知能犯,計,12395.0,110512000.0,1.1215976545533517,1.1215976545533517,1.0
2014,日本人,計,計,窃盗犯,計,126245.0,110512000.0,11.423646300854205,11.423646300854205,1.0
2014,日本人,計,計,粗暴犯,計,50210.0,110512000.0,4.543398002026929,4.543398002026929,1.0
2014,日本人,計,計,風俗犯,計,5465.0,110512000.0,0.49451643260460404,0.49451643260460404,1.0
2015,外国人,計,計,その他の刑法犯,計,1798.0,2301956.035887944,7.810748650142874,3.4248371753961386,2.2806189754814934
2015,外国人,計,計,凶悪犯,計,252.0,2301956.035887944,1.0947211678731947,0.3746254422443497,2.9221751766639548
2015,外国人,計,計,知能犯,計,729.0,2301956.035887944,3.166871949918885,1.1099645065966541,2.8531290244848186
2015,外国人,計,計,窃盗犯,計,5316.0,2301956.035887944,23.093403684182157,10.705416604439092,2.1571700137859446
2015,外国人,計,計,粗暴犯,計,2640.0,2301956.035887944,11.46850747295728,4.505171311832159,2.5456318259944872
2015,外国人,計,計,風俗犯,計,229.0,2301956.035887944,0.994806140646673,0.5046196576746895,1.9713979142841667
2015,日本人,計,計,その他の刑法犯,計,37912.0,110697233.35275014,3.4248371753961386,3.4248371753961386,1.0
2015,日本人,計,計,凶悪犯,計,4147.0,110697233.35275014,0.3746254422443497,0.3746254422443497,1.0
2015,日本人,計,計,知能犯,計,12287.0,110697233.35275014,1.1099645065966541,1.1099645065966541,1.0
2015,日本人,計,計,窃盗犯,計,118506.0,110697233.35275014,10.705416604439092,10.705416604439092,1.0
2015,日本人,計,計,粗暴犯,計,49871.0,110697233.35275014,4.505171311832159,4.505171311832159,1.0
2015,日本人,計,計,風俗犯,計,5586.0,110697233.35275014,0.5046196576746895,0.5046196576746895,1.0
2016,外国人,計,計,その他の刑法犯,計,1773.0,2475802.0120491977,7.161315773115899,3.0651688372835717,2.3363527927102488
2016,外国人,計,計,凶悪犯,計,276.0,2475802.0120491977,1.1147902726339471,0.3591768606247953,3.1037363339463107
2016,外国人,計,計,知能犯,計,701.0,2475802.0120491977,2.8314057286825975,1.1012284759775581,2.571133775095277
2016,外国人,計,計,窃盗犯,計,5110.0,2475802.0120491977,20.639776424490833,9.978712866962804,2.0683806318171887
2016,外国人,計,計,粗暴犯,計,2596.0,2475802.0120491977,10.485491115064228,4.4931930819434225,2.33363911228337
2016,外国人,計,計,風俗犯,計,222.0,2475802.0120491977,0.8966791323360009,0.505886724118479,1.7724899460417507
2016,日本人,計,計,その他の刑法犯,計,33888.0,110558347.02414756,3.0651688372835717,3.0651688372835717,1.0
2016,日本人,計,計,凶悪犯,計,3971.0,110558347.02414756,0.3591768606247953,0.3591768606247953,1.0
2016,日本人,計,計,知能犯,計,12175.0,110558347.02414756,1.1012284759775581,1.1012284759775581,1.0
2016,日本人,計,計,窃盗犯,計,110323.0,110558347.02414756,9.978712866962804,9.978712866962804,1.0
2016,日本人,計,計,粗暴犯,計,49676.0,110558347.02414756,4.4931930819434225,4.4931930819434225,1.0
2016,日本人,計,計,風俗犯,計,5593.0,110558347.02414756,0.505886724118479,0.505886724118479,1.0
2017,外国人,計,計,その他の刑法犯,計,1749.0,2675470.685024894,6.537167496506232,2.789661633532124,2.34335498539628
2017,外国人,計,計,凶悪犯,計,252.0,2675470.685024894,0.9418903425497831,0.34525290965591654,2.7281170301750186
2017,外国人,計,計,知能犯,計,826.0,2675470.685024894,3.0873072339131777,1.0505293915068348,2.9388109070274324
2017,外国人,計,計,窃盗犯,計,4872.0,2675470.685024894,18.20987995596247,9.454492670876744,1.9260557482957794
2017,外国人,計,計,粗暴犯,計,2581.0,2675470.685024894,9.64690069095631,4.4089974591361205,2.1880032321103857
2017,外国人,計,計,風俗犯,計,227.0,2675470.685024894,0.8484488403127015,0.47537972809840895,1.7847812814960067
2017,日本人,計,計,その他の刑法犯,計,30785.0,110353885.3241554,2.789661633532124,2.789661633532124,1.0
2017,日本人,計,計,凶悪犯,計,3810.0,110353885.3241554,0.34525290965591654,0.34525290965591654,1.0
2017,日本人,計,計,知能犯,計,11593.0,110353885.3241554,1.0505293915068348,1.0505293915068348,1.0
2017,日本人,計,計,窃盗犯,計,104334.0,110353885.3241554,9.454492670876744,9.454492670876744,1.0
2017,日本人,計,計,粗暴犯,計,48655.0,110353885.3241554,4.4089974591361205,4.4089974591361205,1.0
2017,日本人,計,計,風俗犯,計,5246.0,110353885.3241554,0.47537972809840895,0.47537972809840895,1.0
2018,外国人,計,計,その他の刑法犯,計,1615.0,2869139.78547512,5.62886481925997,2.561291737443421,2.1976664106520243
2018,外国人,計,計,凶悪犯,計,265.0,2869139.78547512,0.923621781488478,0.3566987961181756,2.589360523612417
2018,外国人,計,計,知能犯,計,710.0,2869139.78547512,2.4746093013464883,1.0504765920821748,2.355701516814864
2018,外国人,計,計,窃盗犯,計,4583.0,2869139.78547512,15.973428771930923,8.879501963871782,1.798910438549634
2018,外国人,計,計,粗暴犯,計,2595.0,2869139.78547512,9.044522728160757,4.466591953225151,2.0249270188269746
2018,外国人,計,計,風俗犯,計,235.0,2869139.78547512,0.819060825093556,0.49122156592999583,1.6673959001431153
2018,日本人,計,計,その他の刑法犯,計,28198.0,110092886.2877062,2.561291737443421,2.561291737443421,1.0
2018,日本人,計,計,凶悪犯,計,3927.0,110092886.2877062,0.3566987961181756,0.3566987961181756,1.0
2018,日本人,計,計,知能犯,計,11565.0,110092886.2877062,1.0504765920821748,1.0504765920821748,1.0
2018,日本人,計,計,窃盗犯,計,97757.0,110092886.2877062,8.879501963871782,8.879501963871782,1.0
2018,日本人,計,計,粗暴犯,計,49174.0,110092886.2877062,4.466591953225151,4.466591953225151,1.0
2018,日本人,計,計,風俗犯,計,5408.0,110092886.2877062,0.49122156592999583,0.49122156592999583,1.0
2019,外国人,計,計,その他の刑法犯,計,1423.0,3089675.278034258,4.605661993403249,2.3341797959114015,1.9731393449084873
2019,外国人,計,計,凶悪犯,計,274.0,3089675.278034258,0.8868245862210051,0.3596090624466641,2.466079637112971
2019,外国人,計,計,知能犯,計,671.0,3089675.278034258,2.171749260417133,0.9374611121329957,2.3166286391077855
2019,外国人,計,計,窃盗犯,計,4307.0,3089675.278034258,13.939976251291492,8.18092399788428,1.7039610996137595
2019,外国人,計,計,粗暴犯,計,2631.0,3089675.278034258,8.515457979370309,4.3858096141861385,1.9415931671604256
2019,外国人,計,計,風俗犯,計,230.0,3089675.278034258,0.7444147986526686,0.4711898885604339,1.579861573275657
2019,日本人,計,計,その他の刑法犯,計,25626.0,109785887.29491636,2.3341797959114015,2.3341797959114015,1.0
2019,日本人,計,計,凶悪犯,計,3948.0,109785887.29491636,0.3596090624466641,0.3596090624466641,1.0
2019,日本人,計,計,知能犯,計,10292.0,109785887.29491636,0.9374611121329957,0.9374611121329957,1.0
2019,日本人,計,計,窃盗犯,計,89815.0,109785887.29491636,8.18092399788428,8.18092399788428,1.0
2019,日本人,計,計,粗暴犯,計,48150.0,109785887.29491636,4.3858096141861385,4.3858096141861385,1.0
2019,日本人,計,計,風俗犯,計,5173.0,109785887.29491636,0.4711898885604339,0.4711898885604339,1.0
2020,外国人,計,計,その他の刑法犯,計,1567.0,2808378.427894846,5.579732362403238,2.2241452627688587,2.508708606315119
2020,外国人,計,計,凶悪犯,計,296.0,2808378.427894846,1.0539890103837641,0.36406379731725785,2.8950667936512278
2020,外国人,計,計,知能犯,計,641.0,2808378.427894846,2.282455931270246,0.9033196173415429,2.5267423483921254
2020,外国人,計,計,窃盗犯,計,4204.0,2808378.427894846,14.969492566396434,7.682001478763001,1.9486448431154046
2020,外国人,計,計,粗暴犯,計,2504.0,2808378.427894846,8.916177304057248,4.158006190151738,2.144339593619477
