年,罪種00,罪種01,罪種02,年齢層,検挙人員
2009,凶悪犯,殺人,殺人,14歳,2
2009,凶悪犯,殺人,嬰児殺,14歳,0
2009,凶悪犯,殺人,殺人予備,14歳,0
2009,凶悪犯,殺人,自殺関与,14歳,0
2009,凶悪犯,強盗,強盗殺人,14歳,0
2009,凶悪犯,強盗,強盗傷人,14歳,32
2009,凶悪犯,強盗,強盗強姦,14歳,0
2009,凶悪犯,強盗,強盗・準強盗,14歳,13
2009,凶悪犯,放火,,14歳,28
2009,凶悪犯,強姦,,14歳,5
2009,粗暴犯,凶器準備集合,,14歳,21
2009,粗暴犯,暴行,,14歳,339
2009,粗暴犯,傷害,傷害致死,14歳,7
2009,粗暴犯,脅迫,,14歳,20
2009,粗暴犯,恐喝,,14歳,240
2009,窃盗犯,侵入盗,,14歳,408
2009,窃盗犯,乗り物盗,,14歳,4153
2009,窃盗犯,非侵入盗,,14歳,8518
2009,知能犯,詐欺,,14歳,62
2009,知能犯,横領,横領,14歳,7
2009,知能犯,横領,業務上横領,14歳,0
2009,知能犯,偽造,通貨偽造,14歳,9
2009,知能犯,偽造,文書偽造,14歳,0
2009,知能犯,偽造,支払用カード偽造,14歳,0
2009,知能犯,偽造,有価証券偽造,14歳,0
2009,知能犯,偽造,印章偽造,14歳,1
2009,知能犯,汚職,賄賂,14歳,0
2009,知能犯,あっせん利得処罰法,,14歳,0
2009,知能犯,背任,,14歳,0
2009,風俗犯,賭博,普通賭博,14歳,0
2009,風俗犯,賭博,常習賭博,14歳,0
2009,風俗犯,賭博,賭博開張等,14歳,0
2009,風俗犯,わいせつ,強制わいせつ,14歳,55
2009,風俗犯,わいせつ,公然わいせつ,14歳,6
2009,その他の刑法犯,占有離脱物横領,,14歳,3559
2009,その他の刑法犯,公務執行妨害,,14歳,6
2009,その他の刑法犯,住居侵入,,14歳,575
2009,その他の刑法犯,逮捕監禁,,14歳,1
2009,その他の刑法犯,略取誘拐・人身売買,,14歳,0
2009,その他の刑法犯,盗品等,,14歳,296
2009,その他の刑法犯,器物損壊等,,14歳,515
2009,粗暴犯,傷害,その他,14歳,1216
2009,知能犯,汚職,その他,14歳,0
2009,風俗犯,わいせつ,その他,14歳,2
2009,その他の刑法犯,その他,,14歳,82
2009,凶悪犯,殺人,殺人,15歳,10
2009,凶悪犯,殺人,嬰児殺,15歳,0
2009,凶悪犯,殺人,殺人予備,15歳,0
2009,凶悪犯,殺人,自殺関与,15歳,0
2009,凶悪犯,強盗,強盗殺人,15歳,0
2009,凶悪犯,強盗,強盗傷人,15歳,79
2009,凶悪犯,強盗,強盗強姦,15歳,0
2009,凶悪犯,強盗,強盗・準強盗,15歳,25
2009,凶悪犯,放火,,15歳,12
2009,凶悪犯,強姦,,15歳,12
2009,粗暴犯,凶器準備集合,,15歳,23
2009,粗暴犯,暴行,,15歳,293
2009,粗暴犯,傷害,傷害致死,15歳,0
2009,粗暴犯,脅迫,,15歳,27
2009,粗暴犯,恐喝,,15歳,301
2009,窃盗犯,侵入盗,,15歳,439
2009,窃盗犯,乗り物盗,,15歳,4804
2009,窃盗犯,非侵入盗,,15歳,8695
2009,知能犯,詐欺,,15歳,128
2009,知能犯,横領,横領,15歳,6
2009,知能犯,横領,業務上横領,15歳,0
2009,知能犯,偽造,通貨偽造,15歳,4
2009,知能犯,偽造,文書偽造,15歳,0
2009,知能犯,偽造,支払用カード偽造,15歳,0
2009,知能犯,偽造,有価証券偽造,15歳,0
2009,知能犯,偽造,印章偽造,15歳,0
2009,知能犯,汚職,賄賂,15歳,0
2009,知能犯,あっせん利得処罰法,,15歳,0
2009,知能犯,背任,,15歳,0
2009,風俗犯,賭博,普通賭博,15歳,0
2009,風俗犯,賭博,常習賭博,15歳,0
2009,風俗犯,賭博,賭博開張等,15歳,0
2009,風俗犯,わいせつ,強制わいせつ,15歳,37
2009,風俗犯,わいせつ,公然わいせつ,15歳,12
2009,その他の刑法犯,占有離脱物横領,,15歳,3722
2009,その他の刑法犯,公務執行妨害,,15歳,17
2009,その他の刑法犯,住居侵入,,15歳,669
2009,その他の刑法犯,逮捕監禁,,15歳,5
2009,その他の刑法犯,略取誘拐・人身売買,,15歳,0
2009,その他の刑法犯,盗品等,,15歳,348
2009,その他の刑法犯,器物損壊等,,15歳,458
2009,粗暴犯,傷害,その他,15歳,1118
2009,知能犯,汚職,その他,15歳,0
2009,風俗犯,わいせつ,その他,15歳,0
2009,その他の刑法犯,その他,,15歳,81
2009,凶悪犯,殺人,殺人,16歳,5
2009,凶悪犯,殺人,嬰児殺,16歳,0
2009,凶悪犯,殺人,殺人予備,16歳,1
2009,凶悪犯,殺人,自殺関与,16歳,0
2009,凶悪犯,強盗,強盗殺人,16歳,3
2009,凶悪犯,強盗,強盗傷人,16歳,107
2009,凶悪犯,強盗,強盗強姦,16歳,0
2009,凶悪犯,強盗,強盗・準強盗,16歳,39
2009,凶悪犯,放火,,16歳,9
2009,凶悪犯,強姦,,16歳,16
2009,粗暴犯,凶器準備集合,,16歳,10
2009,粗暴犯,暴行,,16歳,226
2009,粗暴犯,傷害,傷害致死,16歳,0
2009,粗暴犯,脅迫,,16歳,18
2009,粗暴犯,恐喝,,16歳,298
2009,窃盗犯,侵入盗,,16歳,397
2009,窃盗犯,乗り物盗,,16歳,4085
2009,窃盗犯,非侵入盗,,16歳,7950
2009,知能犯,詐欺,,16歳,232
2009,知能犯,横領,横領,16歳,8
2009,知能犯,横領,業務上横領,16歳,0
2009,知能犯,偽造,通貨偽造,16歳,1
2009,知能犯,偽造,文書偽造,16歳,10
2009,知能犯,偽造,支払用カード偽造,16歳,0
2009,知能犯,偽造,有価証券偽造,16歳,2
2009,知能犯,偽造,印章偽造,16歳,2
2009,知能犯,汚職,賄賂,16歳,0
2009,知能犯,あっせん利得処罰法,,16歳,0
2009,知能犯,背任,,16歳,0
2009,風俗犯,賭博,普通賭博,16歳,1
2009,風俗犯,賭博,常習賭博,16歳,0
2009,風俗犯,賭博,賭博開張等,16歳,0
2009,風俗犯,わいせつ,強制わいせつ,16歳,57
2009,風俗犯,わいせつ,公然わいせつ,16歳,13
2009,その他の刑法犯,占有離脱物横領,,16歳,3918
2009,その他の刑法犯,公務執行妨害,,16歳,51
2009,その他の刑法犯,住居侵入,,16歳,600
2009,その他の刑法犯,逮捕監禁,,16歳,9
2009,その他の刑法犯,略取誘拐・人身売買,,16歳,1
2009,その他の刑法犯,盗品等,,16歳,309
2009,その他の刑法犯,器物損壊等,,16歳,276
2009,粗暴犯,傷害,その他,16歳,855
2009,知能犯,汚職,その他,16歳,0
2009,風俗犯,わいせつ,その他,16歳,3
2009,その他の刑法犯,その他,,16歳,79
2009,凶悪犯,殺人,殺人,17歳,9
2009,凶悪犯,殺人,嬰児殺,17歳,2
2009,凶悪犯,殺人,殺人予備,17歳,0
2009,凶悪犯,殺人,自殺関与,17歳,0
2009,凶悪犯,強盗,強盗殺人,17歳,0
2009,凶悪犯,強盗,強盗傷人,17歳,69
