年,罪種00,罪種01,罪種02,年齢層,検挙人員
2024,凶悪犯,殺人,殺人,14歳,1
2024,凶悪犯,殺人,嬰児殺,14歳,0
2024,凶悪犯,殺人,殺人予備,14歳,0
2024,凶悪犯,殺人,自殺関与,14歳,0
2024,凶悪犯,強盗,強盗殺人,14歳,1
2024,凶悪犯,強盗,強盗傷人,14歳,9
2024,凶悪犯,強盗,強盗・不同意性交等,14歳,0
2024,凶悪犯,強盗,強盗・準強盗,14歳,7
2024,凶悪犯,放火,,14歳,3
2024,凶悪犯,不同意性交等,,14歳,30
2024,粗暴犯,凶器準備集合,,14歳,0
2024,粗暴犯,暴行,,14歳,194
2024,粗暴犯,傷害,傷害致死,14歳,0
2024,粗暴犯,脅迫,,14歳,31
2024,粗暴犯,恐喝,,14歳,38
2024,窃盗犯,侵入盗,,14歳,39
2024,窃盗犯,乗り物盗,,14歳,568
2024,窃盗犯,非侵入盗,,14歳,910
2024,知能犯,詐欺,,14歳,37
2024,知能犯,横領,横領,14歳,0
2024,知能犯,横領,業務上横領,14歳,0
2024,知能犯,偽造,通貨偽造,14歳,0
2024,知能犯,偽造,文書偽造,14歳,4
2024,知能犯,偽造,支払用カード偽造,14歳,0
2024,知能犯,偽造,有価証券偽造,14歳,0
2024,知能犯,偽造,印章偽造,14歳,0
2024,知能犯,汚職,賄賂,14歳,0
2024,知能犯,あっせん利得処罰法,,14歳,0
2024,知能犯,背任,,14歳,0
2024,風俗犯,賭博,,14歳,1
2024,風俗犯,わいせつ,不同意わいせつ,14歳,75
2024,風俗犯,わいせつ,公然わいせつ,14歳,13
2024,風俗犯,わいせつ,面会要求等,14歳,0
2024,風俗犯,性的姿態撮影等処罰法,,14歳,61
2024,その他の刑法犯,占有離脱物横領,,14歳,149
2024,その他の刑法犯,公務執行妨害,,14歳,5
2024,その他の刑法犯,住居侵入,,14歳,158
2024,その他の刑法犯,逮捕監禁,,14歳,4
2024,その他の刑法犯,略取誘拐・人身売買,,14歳,2
2024,その他の刑法犯,盗品等,,14歳,51
2024,その他の刑法犯,器物損壊等,,14歳,122
2024,粗暴犯,傷害,その他,14歳,351
2024,知能犯,汚職,その他,14歳,0
2024,風俗犯,わいせつ,その他,14歳,2
2024,その他の刑法犯,その他,,14歳,49
2024,凶悪犯,殺人,殺人,15歳,8
2024,凶悪犯,殺人,嬰児殺,15歳,0
2024,凶悪犯,殺人,殺人予備,15歳,1
2024,凶悪犯,殺人,自殺関与,15歳,1
2024,凶悪犯,強盗,強盗殺人,15歳,2
2024,凶悪犯,強盗,強盗傷人,15歳,30
2024,凶悪犯,強盗,強盗・不同意性交等,15歳,1
2024,凶悪犯,強盗,強盗・準強盗,15歳,16
2024,凶悪犯,放火,,15歳,6
2024,凶悪犯,不同意性交等,,15歳,35
2024,粗暴犯,凶器準備集合,,15歳,0
2024,粗暴犯,暴行,,15歳,164
2024,粗暴犯,傷害,傷害致死,15歳,0
2024,粗暴犯,脅迫,,15歳,37
2024,粗暴犯,恐喝,,15歳,69
2024,窃盗犯,侵入盗,,15歳,49
2024,窃盗犯,乗り物盗,,15歳,909
2024,窃盗犯,非侵入盗,,15歳,1269
2024,知能犯,詐欺,,15歳,76
2024,知能犯,横領,横領,15歳,0
2024,知能犯,横領,業務上横領,15歳,0
2024,知能犯,偽造,通貨偽造,15歳,0
2024,知能犯,偽造,文書偽造,15歳,3
2024,知能犯,偽造,支払用カード偽造,15歳,0
2024,知能犯,偽造,有価証券偽造,15歳,0
2024,知能犯,偽造,印章偽造,15歳,1
2024,知能犯,汚職,賄賂,15歳,0
2024,知能犯,あっせん利得処罰法,,15歳,0
2024,知能犯,背任,,15歳,0
2024,風俗犯,賭博,,15歳,1
2024,風俗犯,わいせつ,不同意わいせつ,15歳,68
2024,風俗犯,わいせつ,公然わいせつ,15歳,24
2024,風俗犯,わいせつ,面会要求等,15歳,1
2024,風俗犯,性的姿態撮影等処罰法,,15歳,75
2024,その他の刑法犯,占有離脱物横領,,15歳,256
2024,その他の刑法犯,公務執行妨害,,15歳,8
2024,その他の刑法犯,住居侵入,,15歳,176
2024,その他の刑法犯,逮捕監禁,,15歳,0
2024,その他の刑法犯,略取誘拐・人身売買,,15歳,0
2024,その他の刑法犯,盗品等,,15歳,74
2024,その他の刑法犯,器物損壊等,,15歳,99
2024,粗暴犯,傷害,その他,15歳,409
2024,知能犯,汚職,その他,15歳,0
2024,風俗犯,わいせつ,その他,15歳,3
2024,その他の刑法犯,その他,,15歳,55
2024,凶悪犯,殺人,殺人,16歳,6
2024,凶悪犯,殺人,嬰児殺,16歳,0
2024,凶悪犯,殺人,殺人予備,16歳,1
2024,凶悪犯,殺人,自殺関与,16歳,0
2024,凶悪犯,強盗,強盗殺人,16歳,2
2024,凶悪犯,強盗,強盗傷人,16歳,70
2024,凶悪犯,強盗,強盗・不同意性交等,16歳,0
2024,凶悪犯,強盗,強盗・準強盗,16歳,30
2024,凶悪犯,放火,,16歳,5
2024,凶悪犯,不同意性交等,,16歳,36
2024,粗暴犯,凶器準備集合,,16歳,0
2024,粗暴犯,暴行,,16歳,209
2024,粗暴犯,傷害,傷害致死,16歳,0
2024,粗暴犯,脅迫,,16歳,38
