年,罪種00,罪種01,罪種02,年齢層,検挙人員
2020,知能犯,偽造,文書偽造,16歳,18
2020,知能犯,偽造,支払用カード偽造,16歳,0
2020,知能犯,偽造,有価証券偽造,16歳,1
2020,知能犯,偽造,印章偽造,16歳,0
2020,知能犯,汚職,賄賂,16歳,0
2020,知能犯,あっせん利得処罰法,,16歳,0
2020,知能犯,背任,,16歳,0
2020,風俗犯,賭博,普通賭博,16歳,1
2020,風俗犯,賭博,常習賭博,16歳,0
2020,風俗犯,賭博,賭博開張等,16歳,0
2020,風俗犯,わいせつ,強制わいせつ,16歳,46
2020,風俗犯,わいせつ,公然わいせつ,16歳,17
2020,その他の刑法犯,占有離脱物横領,,16歳,293
2020,その他の刑法犯,公務執行妨害,,16歳,17
2020,その他の刑法犯,住居侵入,,16歳,155
2020,その他の刑法犯,逮捕監禁,,16歳,9
2020,その他の刑法犯,略取誘拐・人身売買,,16歳,1
2020,その他の刑法犯,盗品等,,16歳,80
2020,その他の刑法犯,器物損壊等,,16歳,80
2020,粗暴犯,傷害,その他,16歳,310
2020,知能犯,汚職,その他,16歳,0
2020,風俗犯,わいせつ,その他,16歳,8
2020,その他の刑法犯,その他,,16歳,36
2020,凶悪犯,殺人,殺人,17歳,7
2020,凶悪犯,殺人,嬰児殺,17歳,0
2020,凶悪犯,殺人,殺人予備,17歳,0
2020,凶悪犯,殺人,自殺関与,17歳,0
2020,凶悪犯,強盗,強盗殺人,17歳,0
2020,凶悪犯,強盗,強盗傷人,17歳,47
2020,凶悪犯,強盗,強盗・強制性交等,17歳,0
2020,凶悪犯,強盗,強盗・準強盗,17歳,20
2020,凶悪犯,放火,,17歳,10
2020,凶悪犯,強制性交等,,17歳,24
2020,粗暴犯,凶器準備集合,,17歳,12
2020,粗暴犯,暴行,,17歳,138
2020,粗暴犯,傷害,傷害致死,17歳,0
2020,粗暴犯,脅迫,,17歳,34
2020,粗暴犯,恐喝,,17歳,85
2020,窃盗犯,侵入盗,,17歳,81
2020,窃盗犯,乗り物盗,,17歳,539
2020,窃盗犯,非侵入盗,,17歳,1166
2020,知能犯,詐欺,,17歳,147
2020,知能犯,横領,横領,17歳,2
2020,知能犯,横領,業務上横領,17歳,0
2020,知能犯,偽造,通貨偽造,17歳,1
2020,知能犯,偽造,文書偽造,17歳,30
2020,知能犯,偽造,支払用カード偽造,17歳,0
2020,知能犯,偽造,有価証券偽造,17歳,0
2020,知能犯,偽造,印章偽造,17歳,2
2020,知能犯,汚職,賄賂,17歳,0
2020,知能犯,あっせん利得処罰法,,17歳,0
2020,知能犯,背任,,17歳,0
2020,風俗犯,賭博,普通賭博,17歳,0
2020,風俗犯,賭博,常習賭博,17歳,0
2020,風俗犯,賭博,賭博開張等,17歳,0
2020,風俗犯,わいせつ,強制わいせつ,17歳,48
2020,風俗犯,わいせつ,公然わいせつ,17歳,10
2020,その他の刑法犯,占有離脱物横領,,17歳,357
2020,その他の刑法犯,公務執行妨害,,17歳,23
2020,その他の刑法犯,住居侵入,,17歳,152
2020,その他の刑法犯,逮捕監禁,,17歳,19
2020,その他の刑法犯,略取誘拐・人身売買,,17歳,3
2020,その他の刑法犯,盗品等,,17歳,53
2020,その他の刑法犯,器物損壊等,,17歳,74
2020,粗暴犯,傷害,その他,17歳,370
2020,知能犯,汚職,その他,17歳,0
2020,風俗犯,わいせつ,その他,17歳,14
2020,その他の刑法犯,その他,,17歳,53
2020,凶悪犯,殺人,殺人,18歳,10
2020,凶悪犯,殺人,嬰児殺,18歳,0
2020,凶悪犯,殺人,殺人予備,18歳,0
2020,凶悪犯,殺人,自殺関与,18歳,1
2020,凶悪犯,強盗,強盗殺人,18歳,1
2020,凶悪犯,強盗,強盗傷人,18歳,65
2020,凶悪犯,強盗,強盗・強制性交等,18歳,1
2020,凶悪犯,強盗,強盗・準強盗,18歳,18
2020,凶悪犯,放火,,18歳,7
2020,凶悪犯,強制性交等,,18歳,33
2020,粗暴犯,凶器準備集合,,18歳,1
2020,粗暴犯,暴行,,18歳,127
2020,粗暴犯,傷害,傷害致死,18歳,0
2020,粗暴犯,脅迫,,18歳,42
2020,粗暴犯,恐喝,,18歳,62
2020,窃盗犯,侵入盗,,18歳,116
2020,窃盗犯,乗り物盗,,18歳,345
2020,窃盗犯,非侵入盗,,18歳,1002
2020,知能犯,詐欺,,18歳,166
2020,知能犯,横領,横領,18歳,2
2020,知能犯,横領,業務上横領,18歳,0
2020,知能犯,偽造,通貨偽造,18歳,0
2020,知能犯,偽造,文書偽造,18歳,11
2020,知能犯,偽造,支払用カード偽造,18歳,0
2020,知能犯,偽造,有価証券偽造,18歳,0
2020,知能犯,偽造,印章偽造,18歳,1
2020,知能犯,汚職,賄賂,18歳,0
2020,知能犯,あっせん利得処罰法,,18歳,0
2020,知能犯,背任,,18歳,0
2020,風俗犯,賭博,普通賭博,18歳,1
2020,風俗犯,賭博,常習賭博,18歳,0
2020,風俗犯,賭博,賭博開張等,18歳,0
2020,風俗犯,わいせつ,強制わいせつ,18歳,47
2020,風俗犯,わいせつ,公然わいせつ,18歳,13
2020,その他の刑法犯,占有離脱物横領,,18歳,317
2020,その他の刑法犯,公務執行妨害,,18歳,19
2020,その他の刑法犯,住居侵入,,18歳,123
2020,その他の刑法犯,逮捕監禁,,18歳,17
2020,その他の刑法犯,略取誘拐・人身売買,,18歳,3
2020,その他の刑法犯,盗品等,,18歳,40
2020,その他の刑法犯,器物損壊等,,18歳,76
2020,粗暴犯,傷害,その他,18歳,329
2020,知能犯,汚職,その他,18歳,0
2020,風俗犯,わいせつ,その他,18歳,17
2020,その他の刑法犯,その他,,18歳,49
2020,凶悪犯,殺人,殺人,19歳,14
2020,凶悪犯,殺人,嬰児殺,19歳,0
2020,凶悪犯,殺人,殺人予備,19歳,0
2020,凶悪犯,殺人,自殺関与,19歳,1
2020,凶悪犯,強盗,強盗殺人,19歳,1
2020,凶悪犯,強盗,強盗傷人,19歳,57
2020,凶悪犯,強盗,強盗・強制性交等,19歳,1
2020,凶悪犯,強盗,強盗・準強盗,19歳,25
2020,凶悪犯,放火,,19歳,4
2020,凶悪犯,強制性交等,,19歳,29
2020,粗暴犯,凶器準備集合,,19歳,2
2020,粗暴犯,暴行,,19歳,149
2020,粗暴犯,傷害,傷害致死,19歳,4
2020,粗暴犯,脅迫,,19歳,32
2020,粗暴犯,恐喝,,19歳,65
2020,窃盗犯,侵入盗,,19歳,124
2020,窃盗犯,乗り物盗,,19歳,310
2020,窃盗犯,非侵入盗,,19歳,955
2020,知能犯,詐欺,,19歳,210
2020,知能犯,横領,横領,19歳,6
2020,知能犯,横領,業務上横領,19歳,5
2020,知能犯,偽造,通貨偽造,19歳,1
2020,知能犯,偽造,文書偽造,19歳,13
2020,知能犯,偽造,支払用カード偽造,19歳,0
2020,知能犯,偽造,有価証券偽造,19歳,0
2020,知能犯,偽造,印章偽造,19歳,0
2020,知能犯,汚職,賄賂,19歳,0
2020,知能犯,あっせん利得処罰法,,19歳,0
2020,知能犯,背任,,19歳,0
2020,風俗犯,賭博,普通賭博,19歳,0
2020,風俗犯,賭博,常習賭博,19歳,0
2020,風俗犯,賭博,賭博開張等,19歳,0
2020,風俗犯,わいせつ,強制わいせつ,19歳,52
2020,風俗犯,わいせつ,公然わいせつ,19歳,13
2020,その他の刑法犯,占有離脱物横領,,19歳,372
2020,その他の刑法犯,公務執行妨害,,19歳,20
2020,その他の刑法犯,住居侵入,,19歳,148
2020,その他の刑法犯,逮捕監禁,,19歳,25
2020,その他の刑法犯,略取誘拐・人身売買,,19歳,4
2020,その他の刑法犯,盗品等,,19歳,20
2020,その他の刑法犯,器物損壊等,,19歳,64
2020,粗暴犯,傷害,その他,19歳,341
2020,知能犯,汚職,その他,19歳,0
2020,風俗犯,わいせつ,その他,19歳,7
2020,その他の刑法犯,その他,,19歳,51
2020,凶悪犯,殺人,殺人,20~24歳,75
2020,凶悪犯,殺人,嬰児殺,20~24歳,5
2020,凶悪犯,殺人,殺人予備,20~24歳,0
2020,凶悪犯,殺人,自殺関与,20~24歳,6
2020,凶悪犯,強盗,強盗殺人,20~24歳,5
2020,凶悪犯,強盗,強盗傷人,20~24歳,177
2020,凶悪犯,強盗,強盗・強制性交等,20~24歳,4
2020,凶悪犯,強盗,強盗・準強盗,20~24歳,143
2020,凶悪犯,放火,,20~24歳,51
2020,凶悪犯,強制性交等,,20~24歳,185
2020,粗暴犯,凶器準備集合,,20~24歳,0
2020,粗暴犯,暴行,,20~24歳,2144
2020,粗暴犯,傷害,傷害致死,20~24歳,19
2020,粗暴犯,脅迫,,20~24歳,234
2020,粗暴犯,恐喝,,20~24歳,260
2020,窃盗犯,侵入盗,,20~24歳,926
2020,窃盗犯,乗り物盗,,20~24歳,1118
2020,窃盗犯,非侵入盗,,20~24歳,4945
2020,知能犯,詐欺,,20~24歳,1418
2020,知能犯,横領,横領,20~24歳,43
2020,知能犯,横領,業務上横領,20~24歳,30
2020,知能犯,偽造,通貨偽造,20~24歳,5
2020,知能犯,偽造,文書偽造,20~24歳,97
2020,知能犯,偽造,支払用カード偽造,20~24歳,3
2020,知能犯,偽造,有価証券偽造,20~24歳,9
2020,知能犯,偽造,印章偽造,20~24歳,3
