年,表示区分,都道府県,人口,総人口,構成比,構成比_pct
2024,その他,東京都,279940,1190774,0.23509078968805164,23.509078968805163
2024,その他,大阪府,101517,1190774,0.08525295312124719,8.525295312124719
2024,その他,神奈川県,99860,1190774,0.08386142122686589,8.38614212268659
2024,その他,埼玉県,92455,1190774,0.07764277688293497,7.764277688293497
2024,その他,千葉県,84932,1190774,0.07132503732866186,7.132503732866185
2024,その他,愛知県,81068,1190774,0.06808008908491452,6.808008908491452
2024,その他,茨城県,37051,1190774,0.031115056257526617,3.111505625752662
2024,その他,兵庫県,36021,1190774,0.03025007264182792,3.025007264182792
2024,その他,福岡県,34557,1190774,0.029020620201650357,2.902062020165036
2024,その他,北海道,26676,1190774,0.022402235856678093,2.240223585667809
2024,その他,静岡県,25909,1190774,0.02175811698945392,2.1758116989453917
2024,その他,群馬県,25773,1190774,0.021643905560584965,2.1643905560584966
2024,その他,京都府,21422,1190774,0.017989979626696587,1.7989979626696586
2024,その他,栃木県,19248,1190774,0.01616427634462963,1.616427634462963
2024,その他,広島県,18110,1190774,0.01520859541777029,1.520859541777029
2024,その他,三重県,17159,1190774,0.014409955205605765,1.4409955205605764
2024,その他,岐阜県,15776,1190774,0.01324852574879868,1.324852574879868
2024,その他,長野県,12609,1190774,0.010588911078004727,1.0588911078004728
2024,その他,滋賀県,11989,1190774,0.0100682413287492,1.00682413287492
2024,その他,岡山県,11289,1190774,0.009480388386041348,0.9480388386041347
2024,その他,熊本県,11135,1190774,0.00935106073864562,0.935106073864562
2024,その他,沖縄県,10329,1190774,0.008674190064613436,0.8674190064613436
2024,その他,宮城県,8018,1190774,0.00673343556375937,0.673343556375937
2024,その他,山梨県,7145,1190774,0.006000298965210863,0.6000298965210863
2024,その他,富山県,6692,1190774,0.005619874132287067,0.5619874132287067
2024,その他,香川県,6367,1190774,0.005346942408886993,0.5346942408886993
2024,その他,新潟県,6341,1190774,0.005325107871014987,0.5325107871014987
2024,その他,大分県,5990,1190774,0.005030341609742907,0.5030341609742907
2024,その他,石川県,5919,1190774,0.0049707165255539676,0.49707165255539676
2024,その他,鹿児島県,5859,1190774,0.0049203291304647226,0.49203291304647223
2024,その他,愛媛県,5803,1190774,0.004873300895048094,0.48733008950480944
2024,その他,奈良県,5647,1190774,0.004742293667816059,0.47422936678160593
2024,その他,未定・不詳,5536,1190774,0.004649076986900957,0.4649076986900957
2024,その他,福島県,5366,1190774,0.004506312700814764,0.4506312700814764
2024,その他,山口県,5311,1190774,0.00446012425531629,0.446012425531629
2024,その他,長崎県,5004,1190774,0.004202308750442989,0.4202308750442989
2024,その他,佐賀県,3717,1190774,0.003121499125778695,0.3121499125778695
2024,その他,福井県,3439,1190774,0.0028880375285318624,0.2888037528531862
2024,その他,岩手県,3327,1190774,0.002793981057698606,0.27939810576986057
2024,その他,宮崎県,3285,1190774,0.002758709881136135,0.2758709881136135
2024,その他,山形県,2896,1190774,0.0024320316029742,0.24320316029742
2024,その他,和歌山県,2840,1190774,0.0023850033675575717,0.2385003367557572
2024,その他,徳島県,2610,1190774,0.0021918516863821346,0.21918516863821347
2024,その他,青森県,2287,1190774,0.0019205995428183686,0.19205995428183686
2024,その他,高知県,1949,1190774,0.0016367505504822914,0.16367505504822916
2024,その他,島根県,1910,1190774,0.0016039987436742825,0.16039987436742825
2024,その他,鳥取県,1377,1190774,0.0011563907172981607,0.11563907172981608
2024,その他,秋田県,1314,1190774,0.001103483952454454,0.1103483952454454
2024,定住者,愛知県,42645,221217,0.19277451552095906,19.277451552095908
2024,定住者,東京都,24465,221217,0.11059276637871411,11.059276637871411
2024,定住者,静岡県,20866,221217,0.09432367313542811,9.43236731354281
2024,定住者,神奈川県,16132,221217,0.07292387113106136,7.292387113106136
2024,定住者,埼玉県,14885,221217,0.067286872166244,6.7286872166244
2024,定住者,千葉県,11842,221217,0.05353114814865042,5.353114814865042
2024,定住者,群馬県,10647,221217,0.04812921249271078,4.812921249271078
2024,定住者,三重県,9809,221217,0.04434107686118156,4.434107686118156
2024,定住者,大阪府,9748,221217,0.044065329518075014,4.406532951807502
2024,定住者,岐阜県,9737,221217,0.04401560458735088,4.401560458735088
2024,定住者,茨城県,7732,221217,0.034952105850816165,3.4952105850816166
2024,定住者,滋賀県,5010,221217,0.022647445720717665,2.2647445720717663
2024,定住者,兵庫県,4719,221217,0.02133199528065203,2.133199528065203
2024,定住者,栃木県,4366,221217,0.0197362770492322,1.9736277049232203
2024,定住者,長野県,3812,221217,0.017231948720035077,1.7231948720035077
2024,定住者,福井県,2828,221217,0.012783827644349214,1.2783827644349215
2024,定住者,広島県,2483,221217,0.011224272998910573,1.1224272998910574
2024,定住者,島根県,2388,221217,0.01079483041538399,1.079483041538399
2024,定住者,福岡県,2064,221217,0.009330205183145961,0.9330205183145961
2024,定住者,山梨県,1869,221217,0.008448717774854555,0.8448717774854555
2024,定住者,富山県,1647,221217,0.0074451782638766464,0.7445178263876646
2024,定住者,京都府,1389,221217,0.006278902615983401,0.62789026159834
2024,定住者,石川県,1169,221217,0.005284404001500789,0.5284404001500789
2024,定住者,沖縄県,939,221217,0.004244700904541695,0.42447009045416945
2024,定住者,岡山県,762,221217,0.0034445815647079566,0.34445815647079564
2024,定住者,香川県,671,221217,0.003033220774171967,0.3033220774171967
2024,定住者,新潟県,656,221217,0.0029654140504572434,0.29654140504572435
2024,定住者,福島県,619,221217,0.0027981574652942588,0.27981574652942587
2024,定住者,北海道,570,221217,0.002576655501159495,0.2576655501159495
2024,定住者,山口県,443,221217,0.002002558573708169,0.2002558573708169
2024,定住者,宮城県,437,221217,0.0019754358842222794,0.19754358842222794
2024,定住者,熊本県,407,221217,0.0018398224367928324,0.18398224367928323
2024,定住者,和歌山県,363,221217,0.0016409227138963099,0.16409227138963098
2024,定住者,奈良県,361,221217,0.0016318818174010136,0.16318818174010136
2024,定住者,鹿児島県,346,221217,0.00156407509368629,0.156407509368629
2024,定住者,大分県,340,221217,0.0015369524042004004,0.15369524042004004
2024,定住者,愛媛県,313,221217,0.001414900301513898,0.1414900301513898
2024,定住者,未定・不詳,228,221217,0.001030662200463798,0.1030662200463798
2024,定住者,長崎県,207,221217,0.000935732787263185,0.0935732787263185
2024,定住者,山形県,190,221217,0.000858885167053165,0.0858885167053165
2024,定住者,岩手県,186,221217,0.000840803374062572,0.0840803374062572
2024,定住者,佐賀県,170,221217,0.0007684762021002002,0.07684762021002002
2024,定住者,徳島県,156,221217,0.0007051899266331249,0.07051899266331249
2024,定住者,青森県,144,221217,0.000650944547661346,0.06509445476613461
2024,定住者,宮崎県,139,221217,0.0006283423064231049,0.06283423064231049
2024,定住者,鳥取県,117,221217,0.0005288924449748437,0.052889244497484375
2024,定住者,秋田県,107,221217,0.00048368796249836135,0.048368796249836137
2024,定住者,高知県,94,221217,0.00042492213527893426,0.042492213527893424
2024,技能実習,愛知県,38686,425714,0.09087321535115124,9.087321535115125
2024,技能実習,埼玉県,23419,425714,0.05501111074571191,5.501111074571191
2024,技能実習,千葉県,21806,425714,0.05122218202831009,5.122218202831009
2024,技能実習,大阪府,21433,425714,0.05034600694362882,5.034600694362882
2024,技能実習,神奈川県,17848,425714,0.04192486035225527,4.192486035225527
2024,技能実習,茨城県,17398,425714,0.040867812662961515,4.086781266296152
2024,技能実習,北海道,16075,425714,0.03776009245643789,3.776009245643789
2024,技能実習,福岡県,16039,425714,0.03767552864129439,3.7675528641294393
2024,技能実習,東京都,15832,425714,0.03718928670421926,3.718928670421926
2024,技能実習,静岡県,15663,425714,0.03679230657201783,3.679230657201783
2024,技能実習,広島県,15480,425714,0.03636244051170504,3.6362440511705043
2024,技能実習,岐阜県,15386,425714,0.0361416349943859,3.61416349943859
2024,技能実習,兵庫県,14242,425714,0.03345438486871468,3.345438486871468
2024,技能実習,群馬県,11260,425714,0.026449682180994753,2.6449682180994754
2024,技能実習,三重県,11238,425714,0.026398004293962614,2.6398004293962614
2024,技能実習,岡山県,9826,425714,0.02308122354444533,2.308122354444533
2024,技能実習,熊本県,9438,425714,0.022169813536787607,2.2169813536787606
2024,技能実習,栃木県,8653,425714,0.02032585256768629,2.0325852567686287
2024,技能実習,愛媛県,7167,425714,0.016835246198151813,1.6835246198151812
2024,技能実習,長野県,6829,425714,0.01604128593374895,1.6041285933748948
2024,技能実習,鹿児島県,6589,425714,0.015477527166125615,1.5477527166125615
2024,技能実習,富山県,6307,425714,0.014815110614168197,1.4815110614168197
2024,技能実習,滋賀県,6250,425714,0.014681217906857655,1.4681217906857655
2024,技能実習,京都府,6051,425714,0.014213767928703307,1.4213767928703307
2024,技能実習,香川県,6026,425714,0.014155043057075878,1.4155043057075878
2024,技能実習,宮城県,5569,425714,0.013081552403726446,1.3081552403726446
2024,技能実習,山口県,5452,425714,0.01280672000451007,1.280672000451007
2024,技能実習,石川県,5430,425714,0.012755042117477931,1.275504211747793
2024,技能実習,新潟県,5178,425714,0.01216309541147343,1.216309541147343
2024,技能実習,福島県,4980,425714,0.01169799442818418,1.169799442818418
2024,技能実習,大分県,4909,425714,0.011531215792762277,1.1531215792762277
2024,技能実習,福井県,4892,425714,0.011491282880055624,1.1491282880055624
2024,技能実習,宮崎県,4468,425714,0.0104953090572544,1.04953090572544
2024,技能実習,岩手県,3596,425714,0.008446985534889621,0.8446985534889621
2024,技能実習,長崎県,3540,425714,0.008315441822444177,0.8315441822444177
2024,技能実習,佐賀県,3406,425714,0.008000676510521148,0.8000676510521147
2024,技能実習,奈良県,3243,425714,0.0076177903475103,0.76177903475103
2024,技能実習,青森県,3076,425714,0.007225508205039064,0.7225508205039064
2024,技能実習,沖縄県,3014,425714,0.007079870523403036,0.7079870523403036
2024,技能実習,徳島県,2892,425714,0.006793293149861174,0.6793293149861175
2024,技能実習,山形県,2785,425714,0.006541950699295771,0.6541950699295771
2024,技能実習,山梨県,2756,425714,0.006473829848207952,0.6473829848207953
2024,技能実習,島根県,2192,425714,0.005148996744293117,0.5148996744293117
2024,技能実習,高知県,2088,425714,0.004904701278323005,0.49047012783230054
2024,技能実習,和歌山県,1926,425714,0.004524164110177255,0.4524164110177255
2024,技能実習,鳥取県,1908,425714,0.004481882202605505,0.4481882202605505
2024,技能実習,秋田県,1789,425714,0.004202351813658935,0.42023518136589355
2024,技能実習,未定・不詳,1684,425714,0.003955707352823727,0.3955707352823727
2024,日本人の配偶者等,東京都,28474,150208,0.1895638048572646,18.95638048572646
2024,日本人の配偶者等,神奈川県,13970,150208,0.09300436727737538,9.300436727737537
2024,日本人の配偶者等,愛知県,13945,150208,0.09283793140178952,9.283793140178952
2024,日本人の配偶者等,埼玉県,11232,150208,0.07477631018321261,7.477631018321261
2024,日本人の配偶者等,千葉県,10835,150208,0.07213330847890925,7.2133308478909255
2024,日本人の配偶者等,大阪府,9257,150208,0.06162787601193012,6.1627876011930125
2024,日本人の配偶者等,静岡県,5724,150208,0.0381071580741372,3.81071580741372
2024,日本人の配偶者等,兵庫県,4316,150208,0.028733489561141884,2.8733489561141883
2024,日本人の配偶者等,茨城県,4190,150208,0.027894652748189176,2.7894652748189177
2024,日本人の配偶者等,福岡県,4184,150208,0.02785470813804857,2.785470813804857
2024,日本人の配偶者等,群馬県,3629,150208,0.024159831700042607,2.4159831700042607
2024,日本人の配偶者等,長野県,3311,150208,0.022042767362590542,2.2042767362590543
2024,日本人の配偶者等,岐阜県,2823,150208,0.018793939071154665,1.8793939071154664
2024,日本人の配偶者等,京都府,2572,150208,0.017122922880272687,1.7122922880272686
2024,日本人の配偶者等,三重県,2562,150208,0.017056348530038346,1.7056348530038346
2024,日本人の配偶者等,栃木県,2555,150208,0.017009746484874307,1.7009746484874306
2024,日本人の配偶者等,沖縄県,2209,150208,0.014706273966766084,1.4706273966766084
2024,日本人の配偶者等,北海道,2122,150208,0.014127077119727311,1.4127077119727312
2024,日本人の配偶者等,滋賀県,1835,150208,0.012216393268001705,1.2216393268001704
2024,日本人の配偶者等,広島県,1822,150208,0.01212984661269706,1.212984661269706
2024,日本人の配偶者等,福島県,1243,150208,0.008275191734128676,0.8275191734128675
2024,日本人の配偶者等,山梨県,1207,150208,0.008035524073285045,0.8035524073285045
2024,日本人の配偶者等,新潟県,1152,150208,0.007669365146996165,0.7669365146996165
2024,日本人の配偶者等,岡山県,1150,150208,0.007656050276949297,0.7656050276949297
2024,日本人の配偶者等,宮城県,965,150208,0.0064244247976139755,0.6424424797613976
2024,日本人の配偶者等,福井県,957,150208,0.0063711653174265016,0.6371165317426501
2024,日本人の配偶者等,熊本県,915,150208,0.006091553046442267,0.6091553046442267
2024,日本人の配偶者等,奈良県,868,150208,0.00577865360034086,0.5778653600340861
2024,日本人の配偶者等,富山県,847,150208,0.0056388474648487435,0.5638847464848743
2024,日本人の配偶者等,島根県,815,150208,0.0054258095440988495,0.542580954409885
2024,日本人の配偶者等,鹿児島県,778,150208,0.005179484448231785,0.5179484448231785
2024,日本人の配偶者等,石川県,751,150208,0.004999733702599062,0.49997337025990624
2024,日本人の配偶者等,大分県,634,150208,0.0042208138048572645,0.42208138048572647
2024,日本人の配偶者等,山口県,628,150208,0.00418086919471666,0.418086919471666
2024,日本人の配偶者等,愛媛県,617,150208,0.004107637409458883,0.41076374094588836
2024,日本人の配偶者等,香川県,599,150208,0.003987803579037069,0.3987803579037069
2024,日本人の配偶者等,長崎県,585,150208,0.0038945994887089903,0.389459948870899
2024,日本人の配偶者等,和歌山県,507,150208,0.003375319556881125,0.3375319556881125
2024,日本人の配偶者等,岩手県,451,150208,0.0030025031955688113,0.30025031955688114
2024,日本人の配偶者等,山形県,407,150208,0.0027095760545377077,0.2709576054537708
2024,日本人の配偶者等,宮崎県,406,150208,0.0027029186195142735,0.27029186195142735
2024,日本人の配偶者等,未定・不詳,405,150208,0.0026962611844908394,0.26962611844908396
2024,日本人の配偶者等,佐賀県,357,150208,0.0023767043033659993,0.23767043033659993
2024,日本人の配偶者等,青森県,347,150208,0.0023101299531316575,0.23101299531316574
2024,日本人の配偶者等,徳島県,303,150208,0.002017202812100554,0.2017202812100554
2024,日本人の配偶者等,高知県,293,150208,0.0019506284618662122,0.19506284618662123
2024,日本人の配偶者等,秋田県,249,150208,0.0016577013208351086,0.16577013208351085
2024,日本人の配偶者等,鳥取県,205,150208,0.001364774179804005,0.1364774179804005
2024,永住者等,東京都,231244,1232454,0.1876289094765403,18.76289094765403
2024,永住者等,大阪府,135666,1232454,0.11007794205706663,11.007794205706663
2024,永住者等,愛知県,129418,1232454,0.10500838165156672,10.500838165156672
2024,永住者等,神奈川県,114404,1232454,0.09282618255934907,9.282618255934908
2024,永住者等,埼玉県,87650,1232454,0.0711182729740826,7.111827297408261
2024,永住者等,千葉県,70248,1232454,0.056998476210876836,5.699847621087684
2024,永住者等,兵庫県,62685,1232454,0.05086193886343831,5.086193886343831
2024,永住者等,静岡県,46876,1232454,0.038034685270200756,3.8034685270200757
2024,永住者等,京都府,29553,1232454,0.023978988262442248,2.3978988262442247
2024,永住者等,福岡県,27588,1232454,0.022384608269355285,2.2384608269355284
2024,永住者等,岐阜県,25599,1232454,0.020770754932841307,2.0770754932841307
2024,永住者等,茨城県,25120,1232454,0.020382099453610438,2.038209945361044
2024,永住者等,群馬県,24679,1232454,0.020024276768139015,2.0024276768139013
2024,永住者等,三重県,24264,1232454,0.019687550204713522,1.9687550204713522
2024,永住者等,広島県,21337,1232454,0.017312613695926987,1.7312613695926986
2024,永住者等,栃木県,16648,1232454,0.01350800922387367,1.350800922387367
2024,永住者等,長野県,16532,1232454,0.013413888063976424,1.3413888063976425
2024,永住者等,滋賀県,15039,1232454,0.012202483824954116,1.2202483824954116
2024,永住者等,岡山県,9961,1232454,0.00808224891152124,0.808224891152124
2024,永住者等,北海道,9588,1232454,0.007779600699093029,0.7779600699093029
2024,永住者等,山梨県,7513,1232454,0.006095967881965574,0.6095967881965574
2024,永住者等,宮城県,7486,1232454,0.006074060370610181,0.607406037061018
2024,永住者等,富山県,7334,1232454,0.005950729195572411,0.5950729195572411
2024,永住者等,山口県,7249,1232454,0.005881761104268394,0.5881761104268395
2024,永住者等,沖縄県,6695,1232454,0.0054322514268281006,0.5432251426828101
2024,永住者等,奈良県,6433,1232454,0.005219667427749839,0.5219667427749839
2024,永住者等,新潟県,6384,1232454,0.005179909351586348,0.5179909351586348
2024,永住者等,福井県,6008,1232454,0.004874826971229758,0.48748269712297576
2024,永住者等,福島県,5503,1232454,0.004465075369952956,0.4465075369952956
2024,永住者等,石川県,4574,1232454,0.0037112947014655315,0.3711294701465531
2024,永住者等,香川県,3959,1232454,0.0032122902761482375,0.32122902761482375
2024,永住者等,熊本県,3952,1232454,0.0032066105509820247,0.3206610550982025
2024,永住者等,和歌山県,3454,1232454,0.0028025386748714355,0.28025386748714354
2024,永住者等,山形県,3410,1232454,0.002766837545255239,0.2766837545255239
2024,永住者等,大分県,3107,1232454,0.0025209865844891574,0.2520986584489157
2024,永住者等,愛媛県,2965,1232454,0.0024057693025459773,0.24057693025459773
2024,永住者等,島根県,2862,1232454,0.0023221962036716988,0.23221962036716987
2024,永住者等,鹿児島県,2770,1232454,0.0022475483872014695,0.22475483872014695
2024,永住者等,岩手県,2498,1232454,0.0020268504950286177,0.20268504950286176
2024,永住者等,長崎県,2447,1232454,0.001985469640246208,0.19854696402462083
2024,永住者等,鳥取県,1846,1232454,0.0014978246652613404,0.14978246652613403
2024,永住者等,青森県,1761,1232454,0.0014288565739573242,0.14288565739573242
2024,永住者等,徳島県,1683,1232454,0.001365568207819521,0.1365568207819521
2024,永住者等,秋田県,1606,1232454,0.0013030912309911769,0.13030912309911769
2024,永住者等,佐賀県,1579,1232454,0.0012811837196357837,0.12811837196357836
2024,永住者等,宮崎県,1541,1232454,0.001250350925876341,0.1250350925876341
2024,永住者等,高知県,1369,1232454,0.0011107919646493906,0.11107919646493906
2024,永住者等,未定・不詳,367,1232454,0.00029777987657145824,0.029777987657145823
2024,留学,東京都,122000,368589,0.3309919720881524,33.09919720881524
2024,留学,大阪府,39800,368589,0.10797934827138086,10.797934827138086
2024,留学,福岡県,20617,368589,0.05593493023394621,5.593493023394621
2024,留学,埼玉県,19686,368589,0.05340908166006039,5.340908166006039
2024,留学,千葉県,19468,368589,0.052817636988624184,5.281763698862418
2024,留学,京都府,18630,368589,0.050544101967231796,5.05441019672318
2024,留学,神奈川県,17806,368589,0.048308549631161,4.8308549631161
2024,留学,愛知県,15279,368589,0.041452674930613775,4.145267493061377
2024,留学,兵庫県,15061,368589,0.04086123025917757,4.086123025917757
2024,留学,宮城県,5855,368589,0.015884901611279773,1.5884901611279774
2024,留学,茨城県,5547,368589,0.015049282534204764,1.5049282534204764
2024,留学,静岡県,5276,368589,0.01431404626833682,1.431404626833682
2024,留学,北海道,5242,368589,0.014221802603984384,1.4221802603984384
2024,留学,広島県,5187,368589,0.01407258491164956,1.407258491164956
2024,留学,岡山県,4141,368589,0.011234735708336385,1.1234735708336385
2024,留学,大分県,3974,368589,0.010781656533428833,1.0781656533428834
2024,留学,沖縄県,3810,368589,0.010336716505375907,1.0336716505375907
2024,留学,群馬県,3482,368589,0.009446836449270054,0.9446836449270054
2024,留学,栃木県,3023,368589,0.008201546980512169,0.8201546980512169
2024,留学,長崎県,2494,368589,0.006766344085146328,0.6766344085146327
2024,留学,新潟県,2428,368589,0.006587282854344541,0.6587282854344542
2024,留学,石川県,2391,368589,0.006486900043137478,0.6486900043137478
2024,留学,岐阜県,2296,368589,0.0062291603927409666,0.6229160392740967
2024,留学,未定・不詳,2213,368589,0.006003977329762961,0.6003977329762961
2024,留学,山梨県,2057,368589,0.005580741693322373,0.5580741693322373
2024,留学,奈良県,1768,368589,0.004796670546326667,0.47966705463266673
2024,留学,長野県,1741,368589,0.004723418224635027,0.4723418224635027
2024,留学,山口県,1566,368589,0.0042486346581151364,0.42486346581151363
2024,留学,熊本県,1560,368589,0.004232356364405883,0.42323563644058826
2024,留学,三重県,1477,368589,0.004007173301427878,0.40071733014278776
2024,留学,滋賀県,1367,368589,0.003708737916758232,0.3708737916758232
2024,留学,福島県,1225,368589,0.003323484965639235,0.3323484965639235
2024,留学,佐賀県,1149,368589,0.0031172932453220254,0.31172932453220253
2024,留学,鹿児島県,1016,368589,0.0027564577347669083,0.27564577347669084
2024,留学,福井県,813,368589,0.002205708797603835,0.22057087976038353
2024,留学,香川県,793,368589,0.0021514478185729905,0.21514478185729904
2024,留学,徳島県,677,368589,0.0018367341401940916,0.18367341401940915
2024,留学,宮崎県,655,368589,0.0017770470632601624,0.17770470632601623
2024,留学,岩手県,586,368589,0.0015898466856037483,0.15898466856037483
2024,留学,高知県,586,368589,0.0015898466856037483,0.15898466856037483
2024,留学,愛媛県,574,368589,0.0015572900981852416,0.15572900981852417
2024,留学,富山県,555,368589,0.0015057421681059391,0.1505742168105939
2024,留学,島根県,519,368589,0.0014080724058504188,0.14080724058504188
2024,留学,秋田県,506,368589,0.0013728027694803698,0.137280276948037
2024,留学,和歌山県,482,368589,0.0013076895946433562,0.13076895946433562
2024,留学,青森県,430,368589,0.00116661104916316,0.116661104916316
2024,留学,鳥取県,411,368589,0.0011150631190838577,0.11150631190838577
2024,留学,山形県,370,368589,0.001003828112070626,0.1003828112070626
