年,表示区分,国籍・地域,人口,総人口,構成比,構成比_pct
2024,その他,エチオピア,276,1190774,0.00023178201741052458,0.023178201741052458
2024,その他,イスラエル,271,1190774,0.0002275830678197542,0.02275830678197542
2024,その他,ドミニカ共和国,245,1190774,0.00020574852994774826,0.020574852994774826
2024,その他,ギニア,239,1190774,0.00020070979043882383,0.020070979043882383
2024,その他,タンザニア,218,1190774,0.00018307420215758825,0.018307420215758825
2024,その他,スーダン,214,1190774,0.00017971504248497197,0.017971504248497198
2024,その他,タジキスタン,210,1190774,0.00017635588281235566,0.017635588281235567
2024,その他,ノルウェー,205,1190774,0.0001721569332215853,0.01721569332215853
2024,その他,サウジアラビア,200,1190774,0.00016795798363081492,0.016795798363081493
2024,その他,チェコ,196,1190774,0.0001645988239581986,0.01645988239581986
2024,その他,トリニダード・トバゴ,178,1190774,0.00014948260543142528,0.014948260543142527
2024,その他,モロッコ,176,1190774,0.00014780302559511713,0.014780302559511713
2024,その他,フィジー,167,1190774,0.00014024491633173045,0.014024491633173045
2024,その他,リトアニア,152,1190774,0.00012764806755941933,0.012764806755941932
2024,その他,イエメン,139,1190774,0.00011673079862341637,0.011673079862341637
2024,その他,イラク,139,1190774,0.00011673079862341637,0.011673079862341637
2024,その他,ブルガリア,133,1190774,0.00011169205911449192,0.011169205911449192
2024,その他,ベラルーシ,126,1190774,0.0001058135296874134,0.01058135296874134
2024,その他,アルジェリア,122,1190774,0.0001024543700147971,0.01024543700147971
2024,その他,ザンビア,121,1190774,0.00010161458009664302,0.010161458009664302
2024,その他,ヨルダン,118,1190774,9.90952103421808e-05,0.00990952103421808
2024,その他,セルビア,111,1190774,9.321668091510228e-05,0.009321668091510228
2024,その他,スロバキア,102,1190774,8.56585716517156e-05,0.00856585716517156
2024,その他,マラウイ,102,1190774,8.56585716517156e-05,0.00856585716517156
2024,その他,ギリシャ,93,1190774,7.810046238832893e-05,0.007810046238832894
2024,その他,マリ,93,1190774,7.810046238832893e-05,0.007810046238832894
2024,その他,レバノン,90,1190774,7.558109263386672e-05,0.007558109263386671
2024,その他,マダガスカル,88,1190774,7.390151279755856e-05,0.007390151279755857
2024,その他,トンガ,79,1190774,6.63434035341719e-05,0.0066343403534171895
2024,その他,エクアドル,78,1190774,6.550361361601782e-05,0.006550361361601782
2024,その他,ガンビア,78,1190774,6.550361361601782e-05,0.006550361361601782
2024,その他,アゼルバイジャン,76,1190774,6.382403377970967e-05,0.006382403377970966
2024,その他,コートジボワール,76,1190774,6.382403377970967e-05,0.006382403377970966
2024,その他,モザンビーク,71,1190774,5.9625084188939294e-05,0.005962508418893929
2024,その他,ブルキナファソ,69,1190774,5.7945504352631146e-05,0.0057945504352631145
2024,その他,エストニア,67,1190774,5.6265924516323e-05,0.0056265924516323
2024,その他,キューバ,67,1190774,5.6265924516323e-05,0.0056265924516323
2024,その他,ベナン,58,1190774,4.8707815252936326e-05,0.004870781525293633
2024,その他,ボリビア,58,1190774,4.8707815252936326e-05,0.004870781525293633
2024,その他,ルワンダ,58,1190774,4.8707815252936326e-05,0.004870781525293633
2024,その他,無国籍,57,1190774,4.786802533478225e-05,0.004786802533478225
2024,その他,クロアチア,53,1190774,4.4508865662165954e-05,0.0044508865662165956
2024,その他,バヌアツ,53,1190774,4.4508865662165954e-05,0.0044508865662165956
2024,その他,キプロス,51,1190774,4.28292858258578e-05,0.00428292858258578
