年,国籍・地域,人数,不法残留者総数,構成比,構成比_pct
2021,その他,17654,73327,0.24075715629986227,24.075715629986227
2021,韓国,12126,73327,0.16536882730781294,16.536882730781294
2021,ベトナム,9648,73327,0.13157499965906147,13.157499965906148
2021,中国,8831,73327,0.12043312831562726,12.043312831562726
2021,タイ,8139,73327,0.11099594965019706,11.099594965019707
2021,フィリピン,5464,73327,0.07451552634091126,7.451552634091126
2021,台湾,3598,73327,0.04906787404366741,4.9067874043667405
2021,インドネシア,3595,73327,0.04902696141939531,4.902696141939531
2021,マレーシア,1804,73327,0.024602124728953866,2.4602124728953867
2021,スリランカ,1310,73327,0.01786517926548202,1.786517926548202
2021,ネパール,1158,73327,0.015792272969029145,1.5792272969029144
2022,その他,13786,58241,0.23670610051338403,23.670610051338404
2022,韓国,10611,58241,0.1821912398482169,18.21912398482169
2022,タイ,6806,58241,0.11685925722429216,11.685925722429216
2022,ベトナム,6675,58241,0.1146099826582648,11.46099826582648
2022,中国,6384,58241,0.1096135025154101,10.96135025154101
2022,フィリピン,4485,58241,0.07700760632544085,7.7007606325440845
2022,インドネシア,3029,58241,0.05200803557631222,5.200803557631222
2022,台湾,2930,58241,0.05030820212565031,5.030820212565032
2022,マレーシア,1478,58241,0.02537731151594238,2.537731151594238
2022,スリランカ,1161,58241,0.019934410466853247,1.9934410466853247
2022,インド,896,58241,0.015384351230232997,1.5384351230232998
2023,ベトナム,16812,79101,0.2125384002730686,21.25384002730686
2023,その他,15768,79101,0.1993400841961543,19.934008419615427
2023,タイ,11472,79101,0.1450297720635643,14.50297720635643
2023,韓国,10769,79101,0.13614240022250035,13.614240022250035
2023,中国,6788,79101,0.08581433863035866,8.581433863035866
2023,フィリピン,4989,79101,0.06307126332157621,6.307126332157622
2023,インドネシア,4094,79101,0.051756614960619965,5.175661496061997
2023,台湾,3043,79101,0.03846980442725124,3.846980442725124
2023,スリランカ,2015,79101,0.025473761393661268,2.547376139366127
2023,カンボジア,1852,79101,0.023413104764794378,2.3413104764794377
2023,マレーシア,1499,79101,0.01895045574645074,1.8950455746450738
2024,その他,16325,77935,0.2094694296529159,20.94694296529159
2024,ベトナム,15351,77935,0.1969718355039456,19.69718355039456
2024,タイ,11434,77935,0.14671200359273753,14.671200359273753
2024,韓国,10769,77935,0.13817925194071984,13.817925194071984
2024,中国,6500,77935,0.08340283569641367,8.340283569641366
2024,フィリピン,4934,77935,0.06330916789632386,6.330916789632386
2024,インドネシア,4597,77935,0.0589850516456021,5.89850516456021
2024,台湾,3115,77935,0.03996920510681978,3.9969205106819783
2024,スリランカ,2000,77935,0.0256624109835119,2.56624109835119
2024,カンボジア,1553,77935,0.01992686212869699,1.9926862128696992
2024,マレーシア,1357,77935,0.017411945852312826,1.7411945852312827
