年,倍率種別,日本人人口,外国人人口,総人口,外国人比率,外国人比率_pct,外国人_対日本人倍率,日本全体への影響倍率
2024,年齢調整前,107784312.02254383,3922692.711180115,111707004.73372395,0.03511590629907802,3.5115906299078024,1.568675558129914,1.0199695576138659
2024,年齢調整後,107784312.02254383,3922692.711180115,111707004.73372395,0.03511590629907802,3.5115906299078024,1.2625242145556743,1.009218775719576
