年,表示区分,人数,外国人総数,構成比,構成比_pct
2013,永住者等,1041347.0,2267326.8489548466,0.45928402448020333,45.928402448020336
2013,定住者,166582.01807583196,2267326.8489548466,0.07347066795976949,7.347066795976949
2013,日本人の配偶者等,163360.27523990074,2267326.8489548466,0.07204972468579189,7.204972468579189
2013,技能実習,162066.45204609327,2267326.8489548466,0.07147908653787603,7.147908653787603
2013,留学,183212.7944861426,2267326.8489548466,0.08080563883879242,8.080563883879242
2013,短期滞在,188430.2651429409,2267326.8489548466,0.08310679390128523,8.310679390128522
2013,その他,362328.043963937,2267326.8489548466,0.15980406359628155,15.980406359628155
2014,永住者等,1054691.0,2342592.713820697,0.45022380278807894,45.022380278807894
2014,定住者,162434.62835613187,2342592.713820697,0.06933967966254193,6.933967966254192
2014,日本人の配偶者等,153545.98495520902,2342592.713820697,0.0655453182490183,6.554531824901829
2014,技能実習,168718.91462867628,2342592.713820697,0.07202229975073256,7.202229975073256
2014,留学,201154.561926829,2342592.713820697,0.08586834610219207,8.586834610219206
2014,短期滞在,230709.296419913,2342592.713820697,0.09848459574674986,9.848459574674987
2014,その他,371338.3275339379,2342592.713820697,0.15851595770068647,15.851595770068647
2015,永住者等,1070823.0,2504602.1344796666,0.42754215739837037,42.754215739837036
2015,定住者,162256.82780254143,2504602.1344796666,0.06478347421685418,6.478347421685418
2015,日本人の配偶者等,146195.101940959,2504602.1344796666,0.05837058905618603,5.837058905618603
2015,技能実習,187426.25276494006,2504602.1344796666,0.07483274496365389,7.4832744963653886
2015,留学,230132.86769127697,2504602.1344796666,0.09188400206290141,9.188400206290142
2015,短期滞在,309710.95867691794,2504602.1344796666,0.12365674947460695,12.365674947460695
2015,その他,398057.1256030311,2504602.1344796666,0.15893028282742713,15.893028282742714
2016,永住者等,1087826.0,2693515.2382938853,0.4038685152154721,40.386851521547214
2016,定住者,167040.25507287888,2693515.2382938853,0.062015708208387484,6.201570820838748
2016,日本人の配偶者等,143293.39584870124,2693515.2382938853,0.05319940047544172,5.319940047544172
2016,技能実習,217182.47075022984,2693515.2382938853,0.08063161019567745,8.063161019567746
2016,留学,261859.1498655311,2693515.2382938853,0.09721836585242294,9.721836585242293
2016,短期滞在,364162.4990221548,2693515.2382938853,0.13519971739711448,13.519971739711448
2016,その他,452151.46773438953,2693515.2382938853,0.16786668265548382,16.786668265548382
2017,永住者等,1105493.0,2912106.094008258,0.37961975433332723,37.961975433332725
2017,定住者,175372.768135132,2912106.094008258,0.06022197079150602,6.022197079150602
2017,日本人の配偶者等,143160.03275221278,2912106.094008258,0.04916030808313222,4.916030808313223
2017,技能実習,258517.21794259606,2912106.094008258,0.08877328283969553,8.877328283969552
2017,留学,295377.7276627671,2912106.094008258,0.10143096375180673,10.143096375180672
2017,短期滞在,418319.2219890011,2912106.094008258,0.14364834538470453,14.364834538470452
2017,その他,515866.1255265488,2912106.094008258,0.1771453748158277,17.71453748158277
2018,永住者等,1121891.0,3122962.5313993227,0.3592393404404081,35.92393404404081
2018,定住者,187807.74007078254,3122962.5313993227,0.06013768598966524,6.013768598966524
2018,日本人の配偶者等,145531.0,3122962.5313993227,0.04660030292928015,4.660030292928015
2018,技能実習,292690.0,3122962.5313993227,0.09372190574084564,9.372190574084565
2018,留学,328345.0,3122962.5313993227,0.10513894953868584,10.513894953868585
2018,短期滞在,463805.5313993227,3122962.5313993227,0.1485146000747895,14.85146000747895
2018,その他,582892.2599292175,3122962.5313993227,0.18664721528632552,18.66472152863255
2019,永住者等,1140899.0,3359083.6051050937,0.33964590767138864,33.964590767138866
2019,定住者,199890.1391517934,3359083.6051050937,0.059507342671674755,5.9507342671674754
2019,日本人の配偶者等,146192.0,3359083.6051050937,0.04352139368541444,4.352139368541444
2019,技能実習,377075.0,3359083.6051050937,0.11225531851214601,11.225531851214601
2019,留学,341555.0,3359083.6051050937,0.10168100593891409,10.16810059389141
2019,短期滞在,502899.6051050937,3359083.6051050937,0.1497133338214009,14.97133338214009
2019,その他,650572.8608482066,3359083.6051050937,0.19367569769906112,19.367569769906112
2020,永住者等,1152361.0,3055321.836436106,0.37716517659696913,37.71651765969691
2020,定住者,206318.09336790547,3055321.836436106,0.0675274502697124,6.7527450269712395
2020,日本人の配偶者等,146446.0,3055321.836436106,0.04793144808954811,4.7931448089548105
2020,技能実習,414849.0,3055321.836436106,0.13577914936905713,13.577914936905714
2020,留学,285816.0,3055321.836436106,0.09354693721345944,9.354693721345944
2020,短期滞在,137764.83643610607,3055321.836436106,0.04509012268141365,4.509012268141365
2020,その他,711766.9066320945,3055321.836436106,0.23295971577984018,23.295971577984016
2021,永住者等,1161580.0,2910461.5269981055,0.39910508667608857,39.91050866760886
2021,定住者,201647.91966348968,2910461.5269981055,0.06928382931468345,6.928382931468345
2021,日本人の配偶者等,143493.0,2910461.5269981055,0.04930248988654417,4.930248988654417
2021,技能実習,363290.0,2910461.5269981055,0.12482212756638046,12.482212756638047
2021,留学,231459.99999999997,2910461.5269981055,0.07952690590578991,7.952690590578991
2021,短期滞在,60468.52699810538,2910461.5269981055,0.020776267419165488,2.0776267419165486
2021,その他,748522.0803365103,2910461.5269981055,0.2571832932313479,25.718329323134792
2022,永住者等,1184195.0,3092466.123235664,0.3829290129008658,38.292901290086576
2022,定住者,204200.30303320073,3092466.123235664,0.06603154081427572,6.603154081427571
2022,日本人の配偶者等,145550.0,3092466.123235664,0.047065996586475214,4.706599658647521
2022,技能実習,333781.99999999994,3092466.123235664,0.10793392286243124,10.793392286243124
