年,表示区分,罪種00,検挙人員,総検挙人員,構成比,構成比_pct
2013,日本人,その他の刑法犯,46472.0,251934.0,0.18446100962950615,18.446100962950617
2013,日本人,凶悪犯,4398.0,251934.0,0.01745695301150301,1.7456953011503011
2013,日本人,知能犯,12688.0,251934.0,0.05036239650067081,5.03623965006708
2013,日本人,窃盗犯,133786.0,251934.0,0.5310359062294093,53.103590622940935
2013,日本人,粗暴犯,48991.0,251934.0,0.1944596600697008,19.44596600697008
2013,日本人,風俗犯,5599.0,251934.0,0.022224074559209953,2.222407455920995
2013,外国人計,その他の刑法犯,1834.0,10477.0,0.17505010976424548,17.505010976424547
2013,外国人計,凶悪犯,245.0,10477.0,0.02338455664789539,2.338455664789539
2013,外国人計,知能犯,834.0,10477.0,0.07960293977283574,7.960293977283574
2013,外国人計,窃盗犯,5128.0,10477.0,0.4894530877159492,48.94530877159492
2013,外国人計,粗暴犯,2268.0,10477.0,0.2164741815405173,21.64741815405173
2013,外国人計,風俗犯,168.0,10477.0,0.016035124558556837,1.6035124558556837
2013,来日外国人計,その他の刑法犯,1035.0,5620.0,0.18416370106761565,18.416370106761565
2013,来日外国人計,凶悪犯,120.0,5620.0,0.021352313167259787,2.135231316725979
2013,来日外国人計,知能犯,539.0,5620.0,0.09590747330960854,9.590747330960854
2013,来日外国人計,窃盗犯,2812.0,5620.0,0.500355871886121,50.0355871886121
2013,来日外国人計,粗暴犯,1033.0,5620.0,0.18380782918149466,18.380782918149468
2013,来日外国人計,風俗犯,81.0,5620.0,0.014412811387900355,1.4412811387900355
2013,永住者等,その他の刑法犯,799.0,4857.0,0.16450483837759936,16.450483837759936
2013,永住者等,凶悪犯,125.0,4857.0,0.025736051060325303,2.5736051060325305
2013,永住者等,知能犯,295.0,4857.0,0.060737080502367716,6.073708050236772
2013,永住者等,窃盗犯,2316.0,4857.0,0.4768375540457072,47.68375540457072
2013,永住者等,粗暴犯,1235.0,4857.0,0.254272184476014,25.4272184476014
2013,永住者等,風俗犯,87.0,4857.0,0.017912291537986413,1.7912291537986413
2013,定住者,その他の刑法犯,222.0,1227.0,0.18092909535452323,18.09290953545232
2013,定住者,凶悪犯,30.0,1227.0,0.02444987775061125,2.444987775061125
2013,定住者,知能犯,87.0,1227.0,0.07090464547677261,7.090464547677261
2013,定住者,窃盗犯,587.0,1227.0,0.47840260798696005,47.84026079869601
2013,定住者,粗暴犯,287.0,1227.0,0.2339038304808476,23.390383048084757
2013,定住者,風俗犯,14.0,1227.0,0.011409942950285249,1.140994295028525
2013,日本人の配偶者等,その他の刑法犯,124.0,1008.0,0.12301587301587301,12.3015873015873
2013,日本人の配偶者等,凶悪犯,17.0,1008.0,0.016865079365079364,1.6865079365079365
2013,日本人の配偶者等,知能犯,175.0,1008.0,0.1736111111111111,17.36111111111111
2013,日本人の配偶者等,窃盗犯,397.0,1008.0,0.39384920634920634,39.38492063492063
2013,日本人の配偶者等,粗暴犯,279.0,1008.0,0.2767857142857143,27.67857142857143
2013,日本人の配偶者等,風俗犯,16.0,1008.0,0.015873015873015872,1.5873015873015872
2013,技能実習,その他の刑法犯,51.0,411.0,0.12408759124087591,12.408759124087592
2013,技能実習,凶悪犯,15.0,411.0,0.0364963503649635,3.64963503649635
2013,技能実習,知能犯,27.0,411.0,0.06569343065693431,6.569343065693431
2013,技能実習,窃盗犯,292.0,411.0,0.7104622871046229,71.04622871046229
2013,技能実習,粗暴犯,22.0,411.0,0.0535279805352798,5.35279805352798
2013,技能実習,風俗犯,4.0,411.0,0.009732360097323601,0.9732360097323601
2013,留学,その他の刑法犯,288.0,1130.0,0.25486725663716814,25.486725663716815
2013,留学,凶悪犯,11.0,1130.0,0.009734513274336283,0.9734513274336283
2013,留学,知能犯,111.0,1130.0,0.09823008849557523,9.823008849557523
2013,留学,窃盗犯,579.0,1130.0,0.5123893805309735,51.23893805309735
2013,留学,粗暴犯,132.0,1130.0,0.1168141592920354,11.68141592920354
2013,留学,風俗犯,9.0,1130.0,0.007964601769911504,0.7964601769911505
2013,短期滞在,その他の刑法犯,72.0,356.0,0.20224719101123595,20.224719101123593
2013,短期滞在,凶悪犯,13.0,356.0,0.03651685393258427,3.651685393258427
2013,短期滞在,知能犯,24.0,356.0,0.06741573033707865,6.741573033707865
2013,短期滞在,窃盗犯,183.0,356.0,0.5140449438202247,51.40449438202247
2013,短期滞在,粗暴犯,57.0,356.0,0.1601123595505618,16.01123595505618
2013,短期滞在,風俗犯,7.0,356.0,0.019662921348314606,1.9662921348314606
2013,その他,その他の刑法犯,278.0,1488.0,0.1868279569892473,18.682795698924732
2013,その他,凶悪犯,34.0,1488.0,0.0228494623655914,2.28494623655914
2013,その他,知能犯,115.0,1488.0,0.07728494623655914,7.728494623655914
2013,その他,窃盗犯,774.0,1488.0,0.5201612903225806,52.016129032258064
2013,その他,粗暴犯,256.0,1488.0,0.17204301075268819,17.20430107526882
2013,その他,風俗犯,31.0,1488.0,0.020833333333333332,2.083333333333333
2014,日本人,その他の刑法犯,41948.0,240596.0,0.1743503632645597,17.43503632645597
2014,日本人,凶悪犯,4333.0,240596.0,0.018009443216013565,1.8009443216013565
2014,日本人,知能犯,12395.0,240596.0,0.05151789722189895,5.151789722189895
2014,日本人,窃盗犯,126245.0,240596.0,0.5247177841693129,52.47177841693129
2014,日本人,粗暴犯,50210.0,240596.0,0.20869008628572377,20.869008628572377
2014,日本人,風俗犯,5465.0,240596.0,0.022714425842491146,2.271442584249115
2014,外国人計,その他の刑法犯,1663.0,10468.0,0.1588651127244937,15.886511272449368
2014,外国人計,凶悪犯,242.0,10468.0,0.02311807413068399,2.311807413068399
2014,外国人計,知能犯,730.0,10468.0,0.06973633931983186,6.973633931983186
2014,外国人計,窃盗犯,5230.0,10468.0,0.4996178830722201,49.96178830722201
2014,外国人計,粗暴犯,2394.0,10468.0,0.22869698127627053,22.869698127627053
2014,外国人計,風俗犯,209.0,10468.0,0.01996560947649981,1.996560947649981
2014,来日外国人計,その他の刑法犯,986.0,5787.0,0.17038189044409885,17.038189044409886
2014,来日外国人計,凶悪犯,131.0,5787.0,0.02263694487644721,2.2636944876447207
2014,来日外国人計,知能犯,454.0,5787.0,0.07845170209089339,7.845170209089339
2014,来日外国人計,窃盗犯,3012.0,5787.0,0.5204769310523587,52.04769310523587
2014,来日外国人計,粗暴犯,1082.0,5787.0,0.18697079661309832,18.697079661309832
2014,来日外国人計,風俗犯,122.0,5787.0,0.021081734923103508,2.108173492310351
2014,永住者等,その他の刑法犯,677.0,4681.0,0.1446272164067507,14.462721640675069
2014,永住者等,凶悪犯,111.0,4681.0,0.023712881862849818,2.371288186284982
2014,永住者等,知能犯,276.0,4681.0,0.05896176030762658,5.896176030762658
2014,永住者等,窃盗犯,2218.0,4681.0,0.47383037812433243,47.383037812433244
2014,永住者等,粗暴犯,1312.0,4681.0,0.28028199102755824,28.028199102755824
2014,永住者等,風俗犯,87.0,4681.0,0.01858577227088229,1.858577227088229
2014,定住者,その他の刑法犯,205.0,1198.0,0.17111853088480802,17.111853088480803
2014,定住者,凶悪犯,28.0,1198.0,0.02337228714524207,2.337228714524207
2014,定住者,知能犯,73.0,1198.0,0.06093489148580968,6.093489148580968
2014,定住者,窃盗犯,537.0,1198.0,0.44824707846410683,44.82470784641068
2014,定住者,粗暴犯,327.0,1198.0,0.27295492487479134,27.295492487479134
2014,定住者,風俗犯,28.0,1198.0,0.02337228714524207,2.337228714524207
2014,日本人の配偶者等,その他の刑法犯,113.0,977.0,0.11566018423746162,11.566018423746161
2014,日本人の配偶者等,凶悪犯,22.0,977.0,0.022517911975435005,2.2517911975435005
2014,日本人の配偶者等,知能犯,163.0,977.0,0.1668372569089048,16.68372569089048
2014,日本人の配偶者等,窃盗犯,380.0,977.0,0.3889457523029683,38.89457523029683
2014,日本人の配偶者等,粗暴犯,280.0,977.0,0.2865916069600819,28.65916069600819
2014,日本人の配偶者等,風俗犯,19.0,977.0,0.019447287615148412,1.9447287615148412
2014,技能実習,その他の刑法犯,63.0,507.0,0.1242603550295858,12.42603550295858
2014,技能実習,凶悪犯,10.0,507.0,0.01972386587771203,1.9723865877712032
2014,技能実習,知能犯,25.0,507.0,0.04930966469428008,4.930966469428008
2014,技能実習,窃盗犯,367.0,507.0,0.7238658777120316,72.38658777120315
2014,技能実習,粗暴犯,37.0,507.0,0.07297830374753451,7.297830374753452
2014,技能実習,風俗犯,5.0,507.0,0.009861932938856016,0.9861932938856016
2014,留学,その他の刑法犯,279.0,1274.0,0.21899529042386184,21.899529042386185
2014,留学,凶悪犯,30.0,1274.0,0.023547880690737835,2.3547880690737837
2014,留学,知能犯,78.0,1274.0,0.061224489795918366,6.122448979591836
2014,留学,窃盗犯,748.0,1274.0,0.5871271585557299,58.712715855572995
2014,留学,粗暴犯,120.0,1274.0,0.09419152276295134,9.419152276295135
2014,留学,風俗犯,19.0,1274.0,0.014913657770800628,1.4913657770800628
2014,短期滞在,その他の刑法犯,88.0,420.0,0.20952380952380953,20.952380952380953
2014,短期滞在,凶悪犯,14.0,420.0,0.03333333333333333,3.3333333333333335
2014,短期滞在,知能犯,23.0,420.0,0.05476190476190476,5.476190476190476
2014,短期滞在,窃盗犯,233.0,420.0,0.5547619047619048,55.47619047619048
2014,短期滞在,粗暴犯,52.0,420.0,0.12380952380952381,12.380952380952381
2014,短期滞在,風俗犯,10.0,420.0,0.023809523809523808,2.380952380952381
2014,その他,その他の刑法犯,238.0,1411.0,0.1686746987951807,16.867469879518072
2014,その他,凶悪犯,27.0,1411.0,0.01913536498936924,1.9135364989369241
2014,その他,知能犯,92.0,1411.0,0.06520198440822111,6.520198440822112
2014,その他,窃盗犯,747.0,1411.0,0.5294117647058824,52.94117647058824
2014,その他,粗暴犯,266.0,1411.0,0.18851878100637845,18.851878100637844
2014,その他,風俗犯,41.0,1411.0,0.029057406094968107,2.9057406094968106
2015,日本人,その他の刑法犯,37912.0,228309.0,0.1660556526461944,16.60556526461944
2015,日本人,凶悪犯,4147.0,228309.0,0.018163979518985233,1.8163979518985234
2015,日本人,知能犯,12287.0,228309.0,0.0538174141185849,5.38174141185849
2015,日本人,窃盗犯,118506.0,228309.0,0.5190596954127958,51.90596954127958
2015,日本人,粗暴犯,49871.0,228309.0,0.2184364173116259,21.84364173116259
2015,日本人,風俗犯,5586.0,228309.0,0.024466840991813725,2.4466840991813723
2015,外国人計,その他の刑法犯,1798.0,10964.0,0.16399124407150675,16.399124407150676
2015,外国人計,凶悪犯,252.0,10964.0,0.022984312294782927,2.2984312294782927
2015,外国人計,知能犯,729.0,10964.0,0.06649033199562203,6.6490331995622025
2015,外国人計,窃盗犯,5316.0,10964.0,0.4848595403137541,48.485954031375414
2015,外国人計,粗暴犯,2640.0,10964.0,0.24078803356439255,24.078803356439256
2015,外国人計,風俗犯,229.0,10964.0,0.020886537759941627,2.0886537759941626
2015,来日外国人計,その他の刑法犯,1065.0,6187.0,0.17213512203006304,17.213512203006303
2015,来日外国人計,凶悪犯,167.0,6187.0,0.02699208016809439,2.6992080168094392
2015,来日外国人計,知能犯,429.0,6187.0,0.06933893647971553,6.933893647971553
2015,来日外国人計,窃盗犯,3168.0,6187.0,0.5120413770809762,51.20413770809762
2015,来日外国人計,粗暴犯,1238.0,6187.0,0.20009697753353806,20.009697753353805
2015,来日外国人計,風俗犯,120.0,6187.0,0.019395506707612736,1.9395506707612735
2015,永住者等,その他の刑法犯,733.0,4777.0,0.15344358383922965,15.344358383922966
2015,永住者等,凶悪犯,85.0,4777.0,0.017793594306049824,1.7793594306049825
2015,永住者等,知能犯,300.0,4777.0,0.06280092108017585,6.280092108017585
2015,永住者等,窃盗犯,2148.0,4777.0,0.449654594934059,44.9654594934059
2015,永住者等,粗暴犯,1402.0,4777.0,0.2934896378480218,29.34896378480218
2015,永住者等,風俗犯,109.0,4777.0,0.02281766799246389,2.281766799246389
2015,定住者,その他の刑法犯,191.0,1207.0,0.15824357912178957,15.824357912178957
2015,定住者,凶悪犯,38.0,1207.0,0.03148301574150787,3.1483015741507874
2015,定住者,知能犯,63.0,1207.0,0.05219552609776305,5.219552609776304
2015,定住者,窃盗犯,532.0,1207.0,0.4407622203811102,44.07622203811102
2015,定住者,粗暴犯,371.0,1207.0,0.30737365368682684,30.737365368682685
2015,定住者,風俗犯,12.0,1207.0,0.009942004971002486,0.9942004971002486
2015,日本人の配偶者等,その他の刑法犯,117.0,928.0,0.12607758620689655,12.607758620689655
2015,日本人の配偶者等,凶悪犯,22.0,928.0,0.023706896551724137,2.3706896551724137
2015,日本人の配偶者等,知能犯,148.0,928.0,0.15948275862068967,15.948275862068966
2015,日本人の配偶者等,窃盗犯,349.0,928.0,0.3760775862068966,37.60775862068966
2015,日本人の配偶者等,粗暴犯,274.0,928.0,0.2952586206896552,29.52586206896552
2015,日本人の配偶者等,風俗犯,18.0,928.0,0.01939655172413793,1.9396551724137931
2015,技能実習,その他の刑法犯,83.0,604.0,0.13741721854304637,13.741721854304636
2015,技能実習,凶悪犯,15.0,604.0,0.024834437086092714,2.4834437086092715
2015,技能実習,知能犯,42.0,604.0,0.0695364238410596,6.95364238410596
2015,技能実習,窃盗犯,428.0,604.0,0.7086092715231788,70.86092715231787
2015,技能実習,粗暴犯,34.0,604.0,0.056291390728476824,5.629139072847682
