年,年代,滞在期間,人数
2024,45~49歳,3月以内,7330.0
2024,45~49歳,6月以内,875.0
2024,45~49歳,1年以内,57.0
2024,45~49歳,2年以内,16.0
2024,45~49歳,3年以内,5.0
2024,45~49歳,5年以内,8.0
2024,45~49歳,10年以内,17.0
2024,45~49歳,10年を超える,15.0
2024,45~49歳,不詳,6.0
2024,50~54歳,(空白),226.0
2024,50~54歳,5日以内,1434901.0
2024,50~54歳,10日以内,628012.0
2024,50~54歳,15日以内,182805.0
2024,50~54歳,20日以内,45988.0
2024,50~54歳,1月以内,27846.0
2024,50~54歳,2月以内,10144.0
2024,50~54歳,3月以内,8670.0
2024,50~54歳,6月以内,1964.0
2024,50~54歳,1年以内,90.0
2024,50~54歳,2年以内,15.0
2024,50~54歳,3年以内,6.0
2024,50~54歳,5年以内,7.0
2024,50~54歳,10年以内,20.0
2024,50~54歳,10年を超える,15.0
2024,50~54歳,不詳,3.0
2024,55~59歳,(空白),227.0
2024,55~59歳,5日以内,1224583.0
2024,55~59歳,10日以内,535161.0
2024,55~59歳,15日以内,159960.0
2024,55~59歳,20日以内,42834.0
2024,55~59歳,1月以内,28867.0
2024,55~59歳,2月以内,11969.0
2024,55~59歳,3月以内,11394.0
2024,55~59歳,6月以内,3716.0
2024,55~59歳,1年以内,149.0
2024,55~59歳,2年以内,10.0
2024,55~59歳,3年以内,3.0
2024,55~59歳,5年以内,7.0
2024,55~59歳,10年以内,4.0
2024,55~59歳,10年を超える,8.0
2024,55~59歳,不詳,
2024,60~64歳,(空白),256.0
2024,60~64歳,5日以内,1038977.0
2024,60~64歳,10日以内,480176.0
2024,60~64歳,15日以内,148457.0
2024,60~64歳,20日以内,42194.0
2024,60~64歳,1月以内,30834.0
2024,60~64歳,2月以内,13615.0
2024,60~64歳,3月以内,14289.0
2024,60~64歳,6月以内,4991.0
2024,60~64歳,1年以内,239.0
2024,60~64歳,2年以内,7.0
2024,60~64歳,3年以内,4.0
2024,60~64歳,5年以内,4.0
2024,60~64歳,10年以内,3.0
2024,60~64歳,10年を超える,11.0
2024,60~64歳,不詳,2.0
2024,65~69歳,(空白),195.0
2024,65~69歳,5日以内,725574.0
2024,65~69歳,10日以内,342210.0
2024,65~69歳,15日以内,111711.0
2024,65~69歳,20日以内,33737.0
2024,65~69歳,1月以内,25234.0
2024,65~69歳,2月以内,12020.0
2024,65~69歳,3月以内,13657.0
2024,65~69歳,6月以内,4194.0
2024,65~69歳,1年以内,243.0
2024,65~69歳,2年以内,10.0
2024,65~69歳,3年以内,2.0
2024,65~69歳,5年以内,7.0
2024,65~69歳,10年以内,8.0
2024,65~69歳,10年を超える,6.0
2024,65~69歳,不詳,1.0
2024,70歳以上,(空白),209.0
2024,70歳以上,5日以内,643842.0
2024,70歳以上,10日以内,338084.0
2024,70歳以上,15日以内,119854.0
2024,70歳以上,20日以内,36564.0
2024,70歳以上,1月以内,25414.0
2024,70歳以上,2月以内,13102.0
2024,70歳以上,3月以内,14738.0
2024,70歳以上,6月以内,3414.0
2024,70歳以上,1年以内,380.0
2024,70歳以上,2年以内,17.0
2024,70歳以上,3年以内,2.0
2024,70歳以上,5年以内,
2024,70歳以上,10年以内,3.0
2024,70歳以上,10年を超える,5.0
2024,70歳以上,不詳,2.0
2023,00~04歳,5日以内,221914.0
2023,00~04歳,10日以内,136118.0
2023,00~04歳,15日以内,35323.0
2023,00~04歳,20日以内,8398.0
2023,00~04歳,1月以内,6293.0
2023,00~04歳,2月以内,2826.0
2023,00~04歳,3月以内,1769.0
2023,00~04歳,6月以内,218.0
2023,00~04歳,1年以内,19.0
2023,00~04歳,2年以内,9.0
2023,00~04歳,3年以内,
2023,00~04歳,5年以内,
2023,00~04歳,10年以内,1.0
2023,00~04歳,10年を超える,
2023,00~04歳,不詳,117.0
2023,00~04歳,(空白),23.0
2023,05~09歳,5日以内,378189.0
2023,05~09歳,10日以内,246561.0
2023,05~09歳,15日以内,61530.0
2023,05~09歳,20日以内,13334.0
2023,05~09歳,1月以内,8431.0
2023,05~09歳,2月以内,3891.0
2023,05~09歳,3月以内,1426.0
2023,05~09歳,6月以内,174.0
2023,05~09歳,1年以内,19.0
2023,05~09歳,2年以内,6.0
2023,05~09歳,3年以内,
2023,05~09歳,5年以内,3.0
2023,05~09歳,10年以内,4.0
2023,05~09歳,10年を超える,
2023,05~09歳,不詳,11.0
2023,05~09歳,(空白),45.0
2023,10~14歳,5日以内,418035.0
2023,10~14歳,10日以内,257427.0
2023,10~14歳,15日以内,80062.0
2023,10~14歳,20日以内,18905.0
2023,10~14歳,1月以内,10285.0
2023,10~14歳,2月以内,3961.0
2023,10~14歳,3月以内,1035.0
2023,10~14歳,6月以内,116.0
2023,10~14歳,1年以内,13.0
2023,10~14歳,2年以内,1.0
2023,10~14歳,3年以内,6.0
2023,10~14歳,5年以内,5.0
2023,10~14歳,10年以内,9.0
2023,10~14歳,10年を超える,
2023,10~14歳,不詳,8.0
2023,10~14歳,(空白),36.0
2023,15~19歳,5日以内,503260.0
2023,15~19歳,10日以内,288218.0
2023,15~19歳,15日以内,99440.0
2023,15~19歳,20日以内,26183.0
2023,15~19歳,1月以内,16270.0
2023,15~19歳,2月以内,6879.0
2023,15~19歳,3月以内,3194.0
2023,15~19歳,6月以内,353.0
2023,15~19歳,1年以内,41.0
2023,15~19歳,2年以内,16.0
