年,区分00,区分01,在留資格,罪種00,罪種01,推定検挙人員
2019,計,計,計,風俗犯,計,5406.0
2020,計,計,計,その他の刑法犯,計,25969.999999994943
2020,計,計,計,凶悪犯,計,4291.0
2020,計,計,計,知能犯,計,10546.999999996904
2020,計,計,計,窃盗犯,計,88463.99999999533
2020,計,計,計,粗暴犯,計,48107.999999994994
2020,計,計,計,風俗犯,計,5202.0
2021,計,計,計,その他の刑法犯,計,22958.999999996344
2021,計,計,計,凶悪犯,計,4093.0
2021,計,計,計,知能犯,計,12482.999999997252
2021,計,計,計,窃盗犯,計,84359.99999999139
2021,計,計,計,粗暴犯,計,45723.99999999593
2021,計,計,計,風俗犯,計,5422.0
2022,計,計,計,その他の刑法犯,計,22548.999999995776
2022,計,計,計,凶悪犯,計,3978.0
2022,計,計,計,知能犯,計,12533.999999996468
2022,計,計,計,窃盗犯,計,79233.99999999303
2022,計,計,計,粗暴犯,計,45681.99999999442
2022,計,計,計,風俗犯,計,5432.0
2023,計,計,計,その他の刑法犯,計,24220.999999994852
2023,計,計,計,凶悪犯,計,4860.0
2023,計,計,計,知能犯,計,11966.999999997472
2023,計,計,計,窃盗犯,計,85534.9999999963
2023,計,計,計,粗暴犯,計,49845.999999995314
2023,計,計,計,風俗犯,計,6839.999999998613
2024,計,計,計,その他の刑法犯,計,25119.99999999569
2024,計,計,計,凶悪犯,計,6300.0
2024,計,計,計,知能犯,計,11545.999999996868
2024,計,計,計,窃盗犯,計,88301.99999999389
2024,計,計,計,粗暴犯,計,49483.99999999578
2024,計,計,計,風俗犯,計,11073.999999997013
2013,計,計,計,凶悪犯,不同意性交等,936.9999999999999
2013,計,計,計,凶悪犯,強盗,2255.0
2013,計,計,計,凶悪犯,放火,549.0
2013,計,計,計,凶悪犯,殺人,906.0
2014,計,計,計,凶悪犯,不同意性交等,919.0
2014,計,計,計,凶悪犯,強盗,2096.0
2014,計,計,計,凶悪犯,放火,598.0
2014,計,計,計,凶悪犯,殺人,967.0
2015,計,計,計,凶悪犯,不同意性交等,933.0
2015,計,計,計,凶悪犯,強盗,1972.0
2015,計,計,計,凶悪犯,放火,591.0
2015,計,計,計,凶悪犯,殺人,913.0
2016,計,計,計,凶悪犯,不同意性交等,875.0
2016,計,計,計,凶悪犯,強盗,1984.0
2016,計,計,計,凶悪犯,放火,577.0
2016,計,計,計,凶悪犯,殺人,816.0
2017,計,計,計,凶悪犯,不同意性交等,910.0
2017,計,計,計,凶悪犯,強盗,1704.0
2017,計,計,計,凶悪犯,放火,579.0
2017,計,計,計,凶悪犯,殺人,874.0
2018,計,計,計,凶悪犯,不同意性交等,1088.0
2018,計,計,計,凶悪犯,強盗,1732.0
2018,計,計,計,凶悪犯,放火,537.0
2018,計,計,計,凶悪犯,殺人,836.0
2019,計,計,計,凶悪犯,不同意性交等,1178.0
2019,計,計,計,凶悪犯,強盗,1604.0
2019,計,計,計,凶悪犯,放火,519.0
2019,計,計,計,凶悪犯,殺人,924.0
2020,計,計,計,凶悪犯,不同意性交等,1177.0
2020,計,計,計,凶悪犯,強盗,1654.0
2020,計,計,計,凶悪犯,放火,582.0
2020,計,計,計,凶悪犯,殺人,878.0
2021,計,計,計,凶悪犯,不同意性交等,1251.0
2021,計,計,計,凶悪犯,強盗,1460.0
2021,計,計,計,凶悪犯,放火,534.0
2021,計,計,計,凶悪犯,殺人,848.0
2022,計,計,計,凶悪犯,不同意性交等,1339.0
2022,計,計,計,凶悪犯,強盗,1322.0
2022,計,計,計,凶悪犯,放火,532.0
2022,計,計,計,凶悪犯,殺人,785.0
2023,計,計,計,凶悪犯,不同意性交等,1875.0000000000002
2023,計,計,計,凶悪犯,強盗,1601.0
2023,計,計,計,凶悪犯,放火,576.0
2023,計,計,計,凶悪犯,殺人,808.0
2024,計,計,計,凶悪犯,不同意性交等,3086.0000000000005
2024,計,計,計,凶悪犯,強盗,1780.0
2024,計,計,計,凶悪犯,放火,511.0
2024,計,計,計,凶悪犯,殺人,923.0
2013,外国人,計,計,計,計,5365.019194665458
2013,日本人,計,計,計,計,257120.9808053138
2014,外国人,計,計,計,計,5397.560632494092
2014,日本人,計,計,計,計,245717.43936748366
2015,外国人,計,計,計,計,5620.350857461441
2015,日本人,計,計,計,計,233734.64914252004
2016,外国人,計,計,計,計,5838.644818701623
2016,日本人,計,計,計,計,220537.35518127502
2017,外国人,計,計,計,計,6078.17441907637
2017,日本人,計,計,計,計,208924.82558090112
2018,外国人,計,計,計,計,6340.1043644749925
2018,日本人,計,計,計,計,199753.89563550512
2019,外国人,計,計,計,計,6414.982172894889
2019,日本人,計,計,計,計,186192.0178270865
2020,外国人,計,計,計,計,5521.0966978113565
2020,日本人,計,計,計,計,177060.9033021708
2021,外国人,計,計,計,計,5046.70347164228
2021,日本人,計,計,計,計,169994.29652833863
2022,外国人,計,計,計,計,5247.617558120741
2022,日本人,計,計,計,計,164161.38244185894
2023,外国人,計,計,計,計,6802.365315029112
2023,日本人,計,計,計,計,176466.63468495343
2024,外国人,計,計,計,計,8298.933246961386
2024,日本人,計,計,計,計,183527.06675301786
2013,外国人,計,計,その他の刑法犯,計,1071.832023924845
2013,外国人,計,計,凶悪犯,計,117.54585175328918
2013,外国人,計,計,知能犯,計,339.73092199871127
2013,外国人,計,計,窃盗犯,計,2498.998476309273
2013,外国人,計,計,粗暴犯,計,1189.1902913357712
2013,外国人,計,計,風俗犯,計,147.72162934356749
2013,日本人,計,計,その他の刑法犯,計,47253.16797606858
2013,日本人,計,計,凶悪犯,計,4529.454148246711
2013,日本人,計,計,知能犯,計,13183.269077998191
2013,日本人,計,計,窃盗犯,計,136448.00152368337
2013,日本人,計,計,粗暴犯,計,50084.80970866052
2013,日本人,計,計,風俗犯,計,5622.278370656433
2014,外国人,計,計,その他の刑法犯,計,1019.0730021929395
2014,外国人,計,計,凶悪犯,計,120.7640785542996
2014,外国人,計,計,知能犯,計,342.506503403944
2014,外国人,計,計,窃盗犯,計,2481.474033880176
2014,外国人,計,計,粗暴犯,計,1280.918821841348
2014,外国人,計,計,風俗犯,計,152.82419262138407
2014,日本人,計,計,その他の刑法犯,計,42604.92699780123
2014,日本人,計,計,凶悪犯,計,4459.235921445701
2014,日本人,計,計,知能犯,計,12782.493496592653
2014,日本人,計,計,窃盗犯,計,129008.52596611346
2014,日本人,計,計,粗暴犯,計,51337.08117815202
2014,日本人,計,計,風俗犯,計,5525.175807378616
2015,外国人,計,計,その他の刑法犯,計,1031.9415533920999
2015,外国人,計,計,凶悪犯,計,127.34525448464606
2015,外国人,計,計,知能犯,計,372.42295697974834
2015,外国人,計,計,窃盗犯,計,2537.853567501738
2015,外国人,計,計,粗暴犯,計,1385.3096399455385
2015,外国人,計,計,風俗犯,計,165.4778851576701
2015,日本人,計,計,その他の刑法犯,計,38695.05844660065
2015,日本人,計,計,凶悪犯,計,4281.654745515354
2015,日本人,計,計,知能犯,計,12643.577043017365
2015,日本人,計,計,窃盗犯,計,121309.14643249399
2015,日本人,計,計,粗暴犯,計,51155.690360050365
2015,日本人,計,計,風俗犯,計,5649.52211484233
2016,外国人,計,計,その他の刑法犯,計,1032.542705682626
2016,外国人,計,計,凶悪犯,計,136.56793857085012
2016,外国人,計,計,知能犯,計,405.0463564851909
2016,外国人,計,計,窃盗犯,計,2579.0824508837954
2016,外国人,計,計,粗暴犯,計,1504.9838457205433
