年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員
2019,外国人,来日外国人,短期滞在,風俗犯,,10.0
2019,外国人,永住者等,,その他の刑法犯,,492.0
2019,外国人,永住者等,,凶悪犯,不同意性交等,25.0
2019,外国人,永住者等,,凶悪犯,強盗,51.0
2019,外国人,永住者等,,凶悪犯,放火,14.0
2019,外国人,永住者等,,凶悪犯,殺人,27.0
2019,外国人,永住者等,,知能犯,,214.0
2019,外国人,永住者等,,窃盗犯,,1779.0
2019,外国人,永住者等,,粗暴犯,,1289.0
2019,外国人,永住者等,,風俗犯,,82.0
2019,日本人,,,その他の刑法犯,,25626.0
2019,日本人,,,凶悪犯,不同意性交等,1119.0
2019,日本人,,,凶悪犯,強盗,1481.0
2019,日本人,,,凶悪犯,放火,500.0
2019,日本人,,,凶悪犯,殺人,848.0
2019,日本人,,,知能犯,,10292.0
2019,日本人,,,窃盗犯,,89815.0
2019,日本人,,,粗暴犯,,48150.0
2019,日本人,,,風俗犯,,5173.0
2020,外国人,来日外国人,その他,その他の刑法犯,,347.0
2020,外国人,来日外国人,その他,凶悪犯,不同意性交等,18.0
2020,外国人,来日外国人,その他,凶悪犯,強盗,26.0
2020,外国人,来日外国人,その他,凶悪犯,殺人,10.0
2020,外国人,来日外国人,その他,知能犯,,126.0
2020,外国人,来日外国人,その他,窃盗犯,,660.0
2020,外国人,来日外国人,その他,粗暴犯,,386.0
2020,外国人,来日外国人,その他,風俗犯,,84.0
2020,外国人,来日外国人,定住者,その他の刑法犯,,133.0
2020,外国人,来日外国人,定住者,凶悪犯,不同意性交等,12.0
2020,外国人,来日外国人,定住者,凶悪犯,強盗,19.0
2020,外国人,来日外国人,定住者,凶悪犯,放火,1.0
2020,外国人,来日外国人,定住者,凶悪犯,殺人,9.0
2020,外国人,来日外国人,定住者,知能犯,,59.0
2020,外国人,来日外国人,定住者,窃盗犯,,362.0
2020,外国人,来日外国人,定住者,粗暴犯,,309.0
2020,外国人,来日外国人,定住者,風俗犯,,22.0
2020,外国人,来日外国人,技能実習,その他の刑法犯,,160.0
2020,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,4.0
2020,外国人,来日外国人,技能実習,凶悪犯,強盗,14.0
2020,外国人,来日外国人,技能実習,凶悪犯,放火,1.0
2020,外国人,来日外国人,技能実習,凶悪犯,殺人,32.0
2020,外国人,来日外国人,技能実習,知能犯,,32.0
2020,外国人,来日外国人,技能実習,窃盗犯,,689.0
2020,外国人,来日外国人,技能実習,粗暴犯,,129.0
2020,外国人,来日外国人,技能実習,風俗犯,,15.0
2020,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,71.0
2020,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,4.0
2020,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,7.0
2020,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,1.0
2020,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,2.0
2020,外国人,来日外国人,日本人の配偶者等,知能犯,,51.0
2020,外国人,来日外国人,日本人の配偶者等,窃盗犯,,231.0
2020,外国人,来日外国人,日本人の配偶者等,粗暴犯,,229.0
2020,外国人,来日外国人,日本人の配偶者等,風俗犯,,17.0
2020,外国人,来日外国人,留学,その他の刑法犯,,291.0
2020,外国人,来日外国人,留学,凶悪犯,不同意性交等,5.0
2020,外国人,来日外国人,留学,凶悪犯,強盗,10.0
2020,外国人,来日外国人,留学,凶悪犯,放火,3.0
2020,外国人,来日外国人,留学,凶悪犯,殺人,4.0
2020,外国人,来日外国人,留学,知能犯,,114.0
2020,外国人,来日外国人,留学,窃盗犯,,349.0
2020,外国人,来日外国人,留学,粗暴犯,,148.0
2020,外国人,来日外国人,留学,風俗犯,,28.0
2020,外国人,来日外国人,短期滞在,その他の刑法犯,,80.0
2020,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,3.0
2020,外国人,来日外国人,短期滞在,凶悪犯,強盗,4.0
2020,外国人,来日外国人,短期滞在,凶悪犯,放火,1.0
2020,外国人,来日外国人,短期滞在,凶悪犯,殺人,2.0
2020,外国人,来日外国人,短期滞在,知能犯,,46.0
2020,外国人,来日外国人,短期滞在,窃盗犯,,212.0
2020,外国人,来日外国人,短期滞在,粗暴犯,,51.0
2020,外国人,来日外国人,短期滞在,風俗犯,,11.0
2020,外国人,永住者等,,その他の刑法犯,,485.0
2020,外国人,永住者等,,凶悪犯,不同意性交等,24.0
2020,外国人,永住者等,,凶悪犯,強盗,51.0
2020,外国人,永住者等,,凶悪犯,放火,6.0
2020,外国人,永住者等,,凶悪犯,殺人,23.0
2020,外国人,永住者等,,知能犯,,213.0
2020,外国人,永住者等,,窃盗犯,,1701.0
2020,外国人,永住者等,,粗暴犯,,1252.0
2020,外国人,永住者等,,風俗犯,,81.0
2020,日本人,,,その他の刑法犯,,24388.0
2020,日本人,,,凶悪犯,不同意性交等,1107.0
2020,日本人,,,凶悪犯,強盗,1520.0
2020,日本人,,,凶悪犯,放火,569.0
2020,日本人,,,凶悪犯,殺人,796.0
2020,日本人,,,知能犯,,9905.0
2020,日本人,,,窃盗犯,,84234.0
2020,日本人,,,粗暴犯,,45593.0
2020,日本人,,,風俗犯,,4941.0
2021,外国人,来日外国人,その他,その他の刑法犯,,385.0
2021,外国人,来日外国人,その他,凶悪犯,不同意性交等,19.0
2021,外国人,来日外国人,その他,凶悪犯,強盗,30.0
2021,外国人,来日外国人,その他,凶悪犯,放火,3.0
2021,外国人,来日外国人,その他,凶悪犯,殺人,17.0
2021,外国人,来日外国人,その他,知能犯,,155.0
2021,外国人,来日外国人,その他,窃盗犯,,730.0
2021,外国人,来日外国人,その他,粗暴犯,,457.0
2021,外国人,来日外国人,その他,風俗犯,,83.0
2021,外国人,来日外国人,定住者,その他の刑法犯,,125.0
2021,外国人,来日外国人,定住者,凶悪犯,不同意性交等,18.0
2021,外国人,来日外国人,定住者,凶悪犯,強盗,17.0
2021,外国人,来日外国人,定住者,凶悪犯,放火,4.0
2021,外国人,来日外国人,定住者,凶悪犯,殺人,7.0
2021,外国人,来日外国人,定住者,知能犯,,68.0
2021,外国人,来日外国人,定住者,窃盗犯,,367.0
2021,外国人,来日外国人,定住者,粗暴犯,,319.0
2021,外国人,来日外国人,定住者,風俗犯,,32.0
2021,外国人,来日外国人,技能実習,その他の刑法犯,,233.0
2021,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,6.0
2021,外国人,来日外国人,技能実習,凶悪犯,強盗,9.0
2021,外国人,来日外国人,技能実習,凶悪犯,殺人,32.0
2021,外国人,来日外国人,技能実習,知能犯,,63.0
2021,外国人,来日外国人,技能実習,窃盗犯,,592.0
2021,外国人,来日外国人,技能実習,粗暴犯,,150.0
2021,外国人,来日外国人,技能実習,風俗犯,,19.0
2021,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,62.0
2021,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,6.0
2021,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,5.0
2021,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,5.0
2021,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,3.0
2021,外国人,来日外国人,日本人の配偶者等,知能犯,,58.0
2021,外国人,来日外国人,日本人の配偶者等,窃盗犯,,198.0
2021,外国人,来日外国人,日本人の配偶者等,粗暴犯,,242.0
2021,外国人,来日外国人,日本人の配偶者等,風俗犯,,24.0
2021,外国人,来日外国人,留学,その他の刑法犯,,211.0
2021,外国人,来日外国人,留学,凶悪犯,不同意性交等,6.0
2021,外国人,来日外国人,留学,凶悪犯,強盗,20.0
2021,外国人,来日外国人,留学,凶悪犯,殺人,4.0
2021,外国人,来日外国人,留学,知能犯,,79.0
2021,外国人,来日外国人,留学,窃盗犯,,325.0
2021,外国人,来日外国人,留学,粗暴犯,,136.0
2021,外国人,来日外国人,留学,風俗犯,,26.0
2021,外国人,来日外国人,短期滞在,その他の刑法犯,,55.0
2021,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,1.0
2021,外国人,来日外国人,短期滞在,凶悪犯,強盗,6.0
2021,外国人,来日外国人,短期滞在,凶悪犯,殺人,6.0
2021,外国人,来日外国人,短期滞在,知能犯,,25.0
2021,外国人,来日外国人,短期滞在,窃盗犯,,81.0
2021,外国人,来日外国人,短期滞在,粗暴犯,,39.0
2021,外国人,来日外国人,短期滞在,風俗犯,,10.0
2021,外国人,永住者等,,その他の刑法犯,,444.0
2021,外国人,永住者等,,凶悪犯,不同意性交等,31.0
2021,外国人,永住者等,,凶悪犯,強盗,44.0
2021,外国人,永住者等,,凶悪犯,放火,6.0
2021,外国人,永住者等,,凶悪犯,殺人,12.0
2021,外国人,永住者等,,知能犯,,232.0
2021,外国人,永住者等,,窃盗犯,,1682.0
2021,外国人,永住者等,,粗暴犯,,1196.0
2021,外国人,永住者等,,風俗犯,,108.0
2021,日本人,,,その他の刑法犯,,21427.0
2021,日本人,,,凶悪犯,不同意性交等,1154.0
2021,日本人,,,凶悪犯,強盗,1329.0
2021,日本人,,,凶悪犯,放火,516.0
2021,日本人,,,凶悪犯,殺人,767.0
2021,日本人,,,知能犯,,11803.0
2021,日本人,,,窃盗犯,,80351.0
2021,日本人,,,粗暴犯,,43175.0
2021,日本人,,,風俗犯,,5115.0
2022,外国人,来日外国人,その他,その他の刑法犯,,338.0
2022,外国人,来日外国人,その他,凶悪犯,不同意性交等,22.0
2022,外国人,来日外国人,その他,凶悪犯,強盗,49.0
2022,外国人,来日外国人,その他,凶悪犯,放火,3.0
2022,外国人,来日外国人,その他,凶悪犯,殺人,14.0
2022,外国人,来日外国人,その他,知能犯,,188.0
2022,外国人,来日外国人,その他,窃盗犯,,676.0
2022,外国人,来日外国人,その他,粗暴犯,,449.0
2022,外国人,来日外国人,その他,風俗犯,,106.0
2022,外国人,来日外国人,定住者,その他の刑法犯,,137.0
2022,外国人,来日外国人,定住者,凶悪犯,不同意性交等,7.0
2022,外国人,来日外国人,定住者,凶悪犯,強盗,11.0
2022,外国人,来日外国人,定住者,凶悪犯,放火,1.0
2022,外国人,来日外国人,定住者,凶悪犯,殺人,4.0
2022,外国人,来日外国人,定住者,知能犯,,54.0
2022,外国人,来日外国人,定住者,窃盗犯,,364.0
2022,外国人,来日外国人,定住者,粗暴犯,,299.0
2022,外国人,来日外国人,定住者,風俗犯,,25.0
2022,外国人,来日外国人,技能実習,その他の刑法犯,,132.0
2022,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,2.0
2022,外国人,来日外国人,技能実習,凶悪犯,強盗,19.0
2022,外国人,来日外国人,技能実習,凶悪犯,放火,0.0
2022,外国人,来日外国人,技能実習,凶悪犯,殺人,17.0
2022,外国人,来日外国人,技能実習,知能犯,,86.0
2022,外国人,来日外国人,技能実習,窃盗犯,,414.0
2022,外国人,来日外国人,技能実習,粗暴犯,,118.0
2022,外国人,来日外国人,技能実習,風俗犯,,22.0
2022,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,60.0
2022,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,9.0
2022,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,4.0
2022,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,3.0
2022,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,5.0
2022,外国人,来日外国人,日本人の配偶者等,知能犯,,37.0
2022,外国人,来日外国人,日本人の配偶者等,窃盗犯,,179.0
2022,外国人,来日外国人,日本人の配偶者等,粗暴犯,,247.0
2022,外国人,来日外国人,日本人の配偶者等,風俗犯,,26.0
2022,外国人,来日外国人,留学,その他の刑法犯,,158.0
2022,外国人,来日外国人,留学,凶悪犯,不同意性交等,4.0
2022,外国人,来日外国人,留学,凶悪犯,強盗,7.0
2022,外国人,来日外国人,留学,凶悪犯,放火,0.0
2022,外国人,来日外国人,留学,凶悪犯,殺人,2.0
2022,外国人,来日外国人,留学,知能犯,,82.0
2022,外国人,来日外国人,留学,窃盗犯,,237.0
2022,外国人,来日外国人,留学,粗暴犯,,118.0
2022,外国人,来日外国人,留学,風俗犯,,19.0
2022,外国人,来日外国人,短期滞在,その他の刑法犯,,62.0
2022,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,2.0
2022,外国人,来日外国人,短期滞在,凶悪犯,強盗,9.0
2022,外国人,来日外国人,短期滞在,凶悪犯,放火,0.0
2022,外国人,来日外国人,短期滞在,凶悪犯,殺人,2.0
2022,外国人,来日外国人,短期滞在,知能犯,,19.0
2022,外国人,来日外国人,短期滞在,窃盗犯,,122.0
2022,外国人,来日外国人,短期滞在,粗暴犯,,36.0
2022,外国人,来日外国人,短期滞在,風俗犯,,8.0
2022,外国人,永住者等,,その他の刑法犯,,430.0
2022,外国人,永住者等,,凶悪犯,不同意性交等,24.0
2022,外国人,永住者等,,凶悪犯,強盗,40.0
2022,外国人,永住者等,,凶悪犯,放火,10.0
2022,外国人,永住者等,,凶悪犯,殺人,18.0
2022,外国人,永住者等,,知能犯,,222.0
2022,外国人,永住者等,,窃盗犯,,1633.0
2022,外国人,永住者等,,粗暴犯,,1145.0
2022,外国人,永住者等,,風俗犯,,75.0
2022,日本人,,,その他の刑法犯,,21199.0
2022,日本人,,,凶悪犯,不同意性交等,1267.0
2022,日本人,,,凶悪犯,強盗,1183.0
2022,日本人,,,凶悪犯,放火,515.0
2022,日本人,,,凶悪犯,殺人,723.0
2022,日本人,,,知能犯,,11843.0
2022,日本人,,,窃盗犯,,75586.0
2022,日本人,,,粗暴犯,,43243.0
2022,日本人,,,風俗犯,,5148.0
2023,外国人,来日外国人,その他,その他の刑法犯,,338.0
2023,外国人,来日外国人,その他,凶悪犯,不同意性交等,40.0
2023,外国人,来日外国人,その他,凶悪犯,強盗,34.0
2023,外国人,来日外国人,その他,凶悪犯,放火,0.0
2023,外国人,来日外国人,その他,凶悪犯,殺人,13.0
2023,外国人,来日外国人,その他,知能犯,,161.0
2023,外国人,来日外国人,その他,窃盗犯,,761.0
2023,外国人,来日外国人,その他,粗暴犯,,473.0
2023,外国人,来日外国人,その他,風俗犯,,94.0
2023,外国人,来日外国人,定住者,その他の刑法犯,,140.0
2023,外国人,来日外国人,定住者,凶悪犯,不同意性交等,6.0
2023,外国人,来日外国人,定住者,凶悪犯,強盗,23.0
2023,外国人,来日外国人,定住者,凶悪犯,放火,3.0
2023,外国人,来日外国人,定住者,凶悪犯,殺人,9.0
2023,外国人,来日外国人,定住者,知能犯,,53.0
2023,外国人,来日外国人,定住者,窃盗犯,,411.0
2023,外国人,来日外国人,定住者,粗暴犯,,343.0
2023,外国人,来日外国人,定住者,風俗犯,,17.0
2023,外国人,来日外国人,技能実習,その他の刑法犯,,149.0
2023,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,6.0
2023,外国人,来日外国人,技能実習,凶悪犯,強盗,13.0
2023,外国人,来日外国人,技能実習,凶悪犯,放火,0.0
2023,外国人,来日外国人,技能実習,凶悪犯,殺人,21.0
2023,外国人,来日外国人,技能実習,知能犯,,70.0
2023,外国人,来日外国人,技能実習,窃盗犯,,514.0
2023,外国人,来日外国人,技能実習,粗暴犯,,140.0
2023,外国人,来日外国人,技能実習,風俗犯,,20.0
2023,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,78.0
2023,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,12.0
2023,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,9.0
2023,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,1.0
2023,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,5.0
2023,外国人,来日外国人,日本人の配偶者等,知能犯,,33.0
2023,外国人,来日外国人,日本人の配偶者等,窃盗犯,,188.0
2023,外国人,来日外国人,日本人の配偶者等,粗暴犯,,253.0
2023,外国人,来日外国人,日本人の配偶者等,風俗犯,,26.0
2023,外国人,来日外国人,留学,その他の刑法犯,,189.0
2023,外国人,来日外国人,留学,凶悪犯,不同意性交等,8.0
2023,外国人,来日外国人,留学,凶悪犯,強盗,11.0
2023,外国人,来日外国人,留学,凶悪犯,放火,0.0
2023,外国人,来日外国人,留学,凶悪犯,殺人,1.0
2023,外国人,来日外国人,留学,知能犯,,80.0
2023,外国人,来日外国人,留学,窃盗犯,,294.0
2023,外国人,来日外国人,留学,粗暴犯,,134.0
2023,外国人,来日外国人,留学,風俗犯,,28.0
2023,外国人,来日外国人,短期滞在,その他の刑法犯,,111.0
2023,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,5.0
2023,外国人,来日外国人,短期滞在,凶悪犯,強盗,17.0
2023,外国人,来日外国人,短期滞在,凶悪犯,放火,1.0
2023,外国人,来日外国人,短期滞在,凶悪犯,殺人,7.0
2023,外国人,来日外国人,短期滞在,知能犯,,28.0
2023,外国人,来日外国人,短期滞在,窃盗犯,,246.0
2023,外国人,来日外国人,短期滞在,粗暴犯,,99.0
2023,外国人,来日外国人,短期滞在,風俗犯,,19.0
2023,外国人,永住者等,,その他の刑法犯,,470.0
2023,外国人,永住者等,,凶悪犯,不同意性交等,40.0
2023,外国人,永住者等,,凶悪犯,強盗,44.0
2023,外国人,永住者等,,凶悪犯,放火,10.0
2023,外国人,永住者等,,凶悪犯,殺人,19.0
2023,外国人,永住者等,,知能犯,,205.0
2023,外国人,永住者等,,窃盗犯,,1766.0
2023,外国人,永住者等,,粗暴犯,,1249.0
2023,外国人,永住者等,,風俗犯,,88.0
2023,日本人,,,その他の刑法犯,,22716.0
2023,日本人,,,凶悪犯,不同意性交等,1755.0
2023,日本人,,,凶悪犯,強盗,1450.0
2023,日本人,,,凶悪犯,放火,561.0
2023,日本人,,,凶悪犯,殺人,733.0
2023,日本人,,,知能犯,,11331.0
2023,日本人,,,窃盗犯,,81318.0
2023,日本人,,,粗暴犯,,47132.0
2023,日本人,,,風俗犯,,6547.0
2024,外国人,来日外国人,その他,その他の刑法犯,,435.0
2024,外国人,来日外国人,その他,凶悪犯,不同意性交等,40.0
2024,外国人,来日外国人,その他,凶悪犯,強盗,43.0
2024,外国人,来日外国人,その他,凶悪犯,放火,3.0
2024,外国人,来日外国人,その他,凶悪犯,殺人,16.0
2024,外国人,来日外国人,その他,知能犯,,183.0
2024,外国人,来日外国人,その他,窃盗犯,,819.0
2024,外国人,来日外国人,その他,粗暴犯,,460.0
2024,外国人,来日外国人,その他,風俗犯,,132.0
2024,外国人,来日外国人,定住者,その他の刑法犯,,167.0
2024,外国人,来日外国人,定住者,凶悪犯,不同意性交等,20.0
2024,外国人,来日外国人,定住者,凶悪犯,強盗,21.0
2024,外国人,来日外国人,定住者,凶悪犯,放火,4.0
2024,外国人,来日外国人,定住者,凶悪犯,殺人,12.0
2024,外国人,来日外国人,定住者,知能犯,,63.0
2024,外国人,来日外国人,定住者,窃盗犯,,420.0
2024,外国人,来日外国人,定住者,粗暴犯,,351.0
2024,外国人,来日外国人,定住者,風俗犯,,41.0
2024,外国人,来日外国人,技能実習,その他の刑法犯,,173.0
2024,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,6.0
2024,外国人,来日外国人,技能実習,凶悪犯,強盗,16.0
2024,外国人,来日外国人,技能実習,凶悪犯,放火,0.0
2024,外国人,来日外国人,技能実習,凶悪犯,殺人,29.0
2024,外国人,来日外国人,技能実習,知能犯,,50.0
2024,外国人,来日外国人,技能実習,窃盗犯,,565.0
2024,外国人,来日外国人,技能実習,粗暴犯,,126.0
2024,外国人,来日外国人,技能実習,風俗犯,,21.0
2024,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,84.0
2024,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,11.0
2024,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,8.0
2024,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,4.0
2024,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,5.0
2024,外国人,来日外国人,日本人の配偶者等,知能犯,,37.0
2024,外国人,来日外国人,日本人の配偶者等,窃盗犯,,197.0
2024,外国人,来日外国人,日本人の配偶者等,粗暴犯,,234.0
2024,外国人,来日外国人,日本人の配偶者等,風俗犯,,19.0
2024,外国人,来日外国人,留学,その他の刑法犯,,234.0
2024,外国人,来日外国人,留学,凶悪犯,不同意性交等,22.0
2024,外国人,来日外国人,留学,凶悪犯,強盗,4.0
2024,外国人,来日外国人,留学,凶悪犯,放火,0.0
2024,外国人,来日外国人,留学,凶悪犯,殺人,3.0
2024,外国人,来日外国人,留学,知能犯,,65.0
2024,外国人,来日外国人,留学,窃盗犯,,336.0
2024,外国人,来日外国人,留学,粗暴犯,,183.0
2024,外国人,来日外国人,留学,風俗犯,,27.0
2024,外国人,来日外国人,短期滞在,その他の刑法犯,,123.0
2024,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,8.0
2024,外国人,来日外国人,短期滞在,凶悪犯,強盗,22.0
2024,外国人,来日外国人,短期滞在,凶悪犯,放火,1.0
2024,外国人,来日外国人,短期滞在,凶悪犯,殺人,4.0
2024,外国人,来日外国人,短期滞在,知能犯,,80.0
2024,外国人,来日外国人,短期滞在,窃盗犯,,308.0
2024,外国人,来日外国人,短期滞在,粗暴犯,,105.0
2024,外国人,来日外国人,短期滞在,風俗犯,,28.0
2024,外国人,永住者等,,その他の刑法犯,,490.0
2024,外国人,永住者等,,凶悪犯,不同意性交等,55.0
2024,外国人,永住者等,,凶悪犯,強盗,54.0
2024,外国人,永住者等,,凶悪犯,放火,11.0
2024,外国人,永住者等,,凶悪犯,殺人,22.0
2024,外国人,永住者等,,知能犯,,230.0
2024,外国人,永住者等,,窃盗犯,,1824.0
2024,外国人,永住者等,,粗暴犯,,1182.0
2024,外国人,永住者等,,風俗犯,,118.0
2024,日本人,,,その他の刑法犯,,23367.0
2024,日本人,,,凶悪犯,不同意性交等,2920.0
2024,日本人,,,凶悪犯,強盗,1609.0
2024,日本人,,,凶悪犯,放火,488.0
2024,日本人,,,凶悪犯,殺人,831.0
2024,日本人,,,知能犯,,10838.0
2024,日本人,,,窃盗犯,,83810.0
2024,日本人,,,粗暴犯,,46816.0
2024,日本人,,,風俗犯,,10683.0
