年,区分00,区分01,在留資格,年代,人数
2024,外国人,永住者等,,60代,167761.0
2024,外国人,永住者等,,70代以上,131486.0
2024,日本人,,,0~13歳,12511687.977456173
2024,日本人,,,10代(14歳以上),6376840.971246644
2024,日本人,,,20代,11599710.720787372
2024,日本人,,,30代,12465689.124597875
2024,日本人,,,40代,15910603.213659298
2024,日本人,,,50代,17946552.44016991
2024,日本人,,,60代,14649634.66030474
2024,日本人,,,70代以上,28835280.89177799
