在留資格,在留資格_名寄せ後
日本人の配偶者等,日本人の配偶者等
技能実習,技能実習
留学,留学
定住者,定住者
その他,その他
"",その他
短期滞在,短期滞在
研修,その他
興行,その他
技能実習（不法含む）,技能実習
留学（就学・不法含む）,留学
特定活動,その他
技術・人文知識・国際業務,その他
短期滞在（不法含む）,短期滞在
短期滞在（査免・不法含む）,短期滞在
特定技能（不法含む）,その他
