年,在留資格,性別,年齢,人口
2020,教授,男,0歳,0
2020,芸術,男,0歳,0
2020,宗教,男,0歳,0
2020,報道,男,0歳,0
2020,高度専門職1号イ,男,0歳,0
2020,高度専門職1号ロ,男,0歳,0
2020,高度専門職1号ハ,男,0歳,0
2020,高度専門職2号,男,0歳,0
2020,経営・管理,男,0歳,0
2020,法律・会計業務,男,0歳,0
2020,医療,男,0歳,0
2020,研究,男,0歳,0
2020,教育,男,0歳,0
2020,技術・人文知識・国際業務,男,0歳,0
2020,企業内転勤,男,0歳,0
2020,介護,男,0歳,0
2020,興行,男,0歳,0
2020,技能,男,0歳,0
2020,特定技能1号,男,0歳,0
2020,特定技能2号,男,0歳,0
2020,技能実習1号イ,男,0歳,0
2020,技能実習1号ロ,男,0歳,0
2020,技能実習2号イ,男,0歳,0
2020,技能実習2号ロ,男,0歳,0
2020,技能実習3号イ,男,0歳,0
2020,技能実習3号ロ,男,0歳,0
2020,文化活動,男,0歳,0
2020,留学,男,0歳,0
2020,研修,男,0歳,0
2020,家族滞在,男,0歳,4311
2020,特定活動,男,0歳,58
2020,永住者,男,0歳,1170
2020,日本人の配偶者等,男,0歳,7
2020,永住者の配偶者等,男,0歳,1312
2020,定住者,男,0歳,1193
2020,特別永住者,男,0歳,290
2020,教授,女,0歳,0
2020,芸術,女,0歳,0
2020,宗教,女,0歳,0
2020,報道,女,0歳,0
2020,高度専門職1号イ,女,0歳,0
2020,高度専門職1号ロ,女,0歳,0
2020,高度専門職1号ハ,女,0歳,0
2020,高度専門職2号,女,0歳,0
2020,経営・管理,女,0歳,0
2020,法律・会計業務,女,0歳,0
2020,医療,女,0歳,0
2020,研究,女,0歳,0
2020,教育,女,0歳,0
2020,技術・人文知識・国際業務,女,0歳,0
2020,企業内転勤,女,0歳,0
2020,介護,女,0歳,0
2020,興行,女,0歳,0
2020,技能,女,0歳,0
2020,特定技能1号,女,0歳,0
2020,特定技能2号,女,0歳,0
2020,技能実習1号イ,女,0歳,0
2020,技能実習1号ロ,女,0歳,0
2020,技能実習2号イ,女,0歳,0
2020,技能実習2号ロ,女,0歳,0
2020,技能実習3号イ,女,0歳,0
2020,技能実習3号ロ,女,0歳,0
2020,文化活動,女,0歳,0
2020,留学,女,0歳,0
2020,研修,女,0歳,0
2020,家族滞在,女,0歳,4131
2020,特定活動,女,0歳,53
2020,永住者,女,0歳,1042
2020,日本人の配偶者等,女,0歳,11
2020,永住者の配偶者等,女,0歳,1212
2020,定住者,女,0歳,1139
2020,特別永住者,女,0歳,303
2020,教授,男,1歳,0
2020,芸術,男,1歳,0
2020,宗教,男,1歳,0
2020,報道,男,1歳,0
2020,高度専門職1号イ,男,1歳,0
2020,高度専門職1号ロ,男,1歳,0
2020,高度専門職1号ハ,男,1歳,0
2020,高度専門職2号,男,1歳,0
2020,経営・管理,男,1歳,0
2020,法律・会計業務,男,1歳,0
2020,医療,男,1歳,0
2020,研究,男,1歳,0
2020,教育,男,1歳,0
2020,技術・人文知識・国際業務,男,1歳,0
2020,企業内転勤,男,1歳,0
2020,介護,男,1歳,0
2020,興行,男,1歳,0
2020,技能,男,1歳,0
2020,特定技能1号,男,1歳,0
2020,特定技能2号,男,1歳,0
2020,技能実習1号イ,男,1歳,0
2020,技能実習1号ロ,男,1歳,0
2020,技能実習2号イ,男,1歳,0
2020,技能実習2号ロ,男,1歳,0
2020,技能実習3号イ,男,1歳,0
2020,技能実習3号ロ,男,1歳,0
2020,文化活動,男,1歳,0
2020,留学,男,1歳,0
2020,研修,男,1歳,0
2020,家族滞在,男,1歳,4958
2020,特定活動,男,1歳,108
2020,永住者,男,1歳,1571
2020,日本人の配偶者等,男,1歳,28
2020,永住者の配偶者等,男,1歳,1261
2020,定住者,男,1歳,1458
2020,特別永住者,男,1歳,351
2020,教授,女,1歳,0
2020,芸術,女,1歳,0
2020,宗教,女,1歳,0
2020,報道,女,1歳,0
2020,高度専門職1号イ,女,1歳,0
2020,高度専門職1号ロ,女,1歳,0
2020,高度専門職1号ハ,女,1歳,0
2020,高度専門職2号,女,1歳,0
2020,経営・管理,女,1歳,0
2020,法律・会計業務,女,1歳,0
2020,医療,女,1歳,0
2020,研究,女,1歳,0
2020,教育,女,1歳,0
2020,技術・人文知識・国際業務,女,1歳,0
2020,企業内転勤,女,1歳,0
2020,介護,女,1歳,0
2020,興行,女,1歳,0
2020,技能,女,1歳,0
2020,特定技能1号,女,1歳,0
2020,特定技能2号,女,1歳,0
2020,技能実習1号イ,女,1歳,0
2020,技能実習1号ロ,女,1歳,0
2020,技能実習2号イ,女,1歳,0
2020,技能実習2号ロ,女,1歳,0
2020,技能実習3号イ,女,1歳,0
2020,技能実習3号ロ,女,1歳,0
2020,文化活動,女,1歳,0
2020,留学,女,1歳,0
2020,研修,女,1歳,0
2020,家族滞在,女,1歳,4606
2020,特定活動,女,1歳,106
2020,永住者,女,1歳,1474
2020,日本人の配偶者等,女,1歳,31
2020,永住者の配偶者等,女,1歳,1162
2020,定住者,女,1歳,1348
2020,特別永住者,女,1歳,305
2020,教授,男,2歳,0
2020,芸術,男,2歳,0
2020,宗教,男,2歳,0
2020,報道,男,2歳,0
2020,高度専門職1号イ,男,2歳,0
2020,高度専門職1号ロ,男,2歳,0
2020,高度専門職1号ハ,男,2歳,0
2020,高度専門職2号,男,2歳,0
2020,経営・管理,男,2歳,0
2020,法律・会計業務,男,2歳,0
2020,医療,男,2歳,0
2020,研究,男,2歳,0
2020,教育,男,2歳,0
2020,技術・人文知識・国際業務,男,2歳,0
2020,企業内転勤,男,2歳,0
2020,介護,男,2歳,0
2020,興行,男,2歳,0
2020,技能,男,2歳,0
2020,特定技能1号,男,2歳,0
2020,特定技能2号,男,2歳,0
2020,技能実習1号イ,男,2歳,0
2020,技能実習1号ロ,男,2歳,0
2020,技能実習2号イ,男,2歳,0
2020,技能実習2号ロ,男,2歳,0
2020,技能実習3号イ,男,2歳,0
2020,技能実習3号ロ,男,2歳,0
2020,文化活動,男,2歳,0
2020,留学,男,2歳,0
2020,研修,男,2歳,0
2020,家族滞在,男,2歳,4765
2020,特定活動,男,2歳,121
2020,永住者,男,2歳,1676
2020,日本人の配偶者等,男,2歳,52
2020,永住者の配偶者等,男,2歳,1288
2020,定住者,男,2歳,1559
2020,特別永住者,男,2歳,381
2020,教授,女,2歳,0
2020,芸術,女,2歳,0
2020,宗教,女,2歳,0
2020,報道,女,2歳,0
2020,高度専門職1号イ,女,2歳,0
2020,高度専門職1号ロ,女,2歳,0
2020,高度専門職1号ハ,女,2歳,0
2020,高度専門職2号,女,2歳,0
2020,経営・管理,女,2歳,0
2020,法律・会計業務,女,2歳,0
2020,医療,女,2歳,0
2020,研究,女,2歳,0
2020,教育,女,2歳,0
2020,技術・人文知識・国際業務,女,2歳,0
2020,企業内転勤,女,2歳,0
2020,介護,女,2歳,0
2020,興行,女,2歳,0
2020,技能,女,2歳,0
2020,特定技能1号,女,2歳,0
2020,特定技能2号,女,2歳,0
2020,技能実習1号イ,女,2歳,0
2020,技能実習1号ロ,女,2歳,0
2020,技能実習2号イ,女,2歳,0
2020,技能実習2号ロ,女,2歳,0
2020,技能実習3号イ,女,2歳,0
2020,技能実習3号ロ,女,2歳,0
2020,文化活動,女,2歳,0
2020,留学,女,2歳,0
2020,研修,女,2歳,0
2020,家族滞在,女,2歳,4335
2020,特定活動,女,2歳,106
2020,永住者,女,2歳,1554
2020,日本人の配偶者等,女,2歳,41
2020,永住者の配偶者等,女,2歳,1202
2020,定住者,女,2歳,1470
2020,特別永住者,女,2歳,375
2020,教授,男,3歳,0
2020,芸術,男,3歳,0
2020,宗教,男,3歳,0
2020,報道,男,3歳,0
2020,高度専門職1号イ,男,3歳,0
2020,高度専門職1号ロ,男,3歳,0
2020,高度専門職1号ハ,男,3歳,0
2020,高度専門職2号,男,3歳,0
2020,経営・管理,男,3歳,0
2020,法律・会計業務,男,3歳,0
2020,医療,男,3歳,0
2020,研究,男,3歳,0
2020,教育,男,3歳,0
2020,技術・人文知識・国際業務,男,3歳,0
2020,企業内転勤,男,3歳,0
2020,介護,男,3歳,0
2020,興行,男,3歳,0
2020,技能,男,3歳,0
2020,特定技能1号,男,3歳,0
2020,特定技能2号,男,3歳,0
2020,技能実習1号イ,男,3歳,0
2020,技能実習1号ロ,男,3歳,0
2020,技能実習2号イ,男,3歳,0
2020,技能実習2号ロ,男,3歳,0
2020,技能実習3号イ,男,3歳,0
2020,技能実習3号ロ,男,3歳,0
2020,文化活動,男,3歳,0
2020,留学,男,3歳,0
2020,研修,男,3歳,0
2020,家族滞在,男,3歳,4437
2020,特定活動,男,3歳,87
2020,永住者,男,3歳,2252
2020,日本人の配偶者等,男,3歳,56
2020,永住者の配偶者等,男,3歳,974
2020,定住者,男,3歳,1695
2020,特別永住者,男,3歳,399
2020,教授,女,3歳,0
2020,芸術,女,3歳,0
2020,宗教,女,3歳,0
2020,報道,女,3歳,0
2020,高度専門職1号イ,女,3歳,0
2020,高度専門職1号ロ,女,3歳,0
2020,高度専門職1号ハ,女,3歳,0
2020,高度専門職2号,女,3歳,0
2020,経営・管理,女,3歳,0
2020,法律・会計業務,女,3歳,0
2020,医療,女,3歳,0
2020,研究,女,3歳,0
2020,教育,女,3歳,0
2020,技術・人文知識・国際業務,女,3歳,0
2020,企業内転勤,女,3歳,0
2020,介護,女,3歳,0
2020,興行,女,3歳,0
2020,技能,女,3歳,0
2020,特定技能1号,女,3歳,0
2020,特定技能2号,女,3歳,0
2020,技能実習1号イ,女,3歳,0
2020,技能実習1号ロ,女,3歳,0
2020,技能実習2号イ,女,3歳,0
2020,技能実習2号ロ,女,3歳,0
2020,技能実習3号イ,女,3歳,0
2020,技能実習3号ロ,女,3歳,0
2020,文化活動,女,3歳,0
2020,留学,女,3歳,0
2020,研修,女,3歳,0
2020,家族滞在,女,3歳,4107
2020,特定活動,女,3歳,93
2020,永住者,女,3歳,2202
2020,日本人の配偶者等,女,3歳,54
2020,永住者の配偶者等,女,3歳,891
2020,定住者,女,3歳,1622
2020,特別永住者,女,3歳,412
2020,教授,男,4歳,0
2020,芸術,男,4歳,0
2020,宗教,男,4歳,0
2020,報道,男,4歳,0
2020,高度専門職1号イ,男,4歳,0
2020,高度専門職1号ロ,男,4歳,0
2020,高度専門職1号ハ,男,4歳,0
2020,高度専門職2号,男,4歳,0
2020,経営・管理,男,4歳,0
2020,法律・会計業務,男,4歳,0
2020,医療,男,4歳,0
2020,研究,男,4歳,0
2020,教育,男,4歳,0
