年,在留資格,性別,年齢,人口
2015,教授,男,0歳,0
2015,芸術,男,0歳,0
2015,宗教,男,0歳,0
2015,報道,男,0歳,0
2015,高度専門職1号イ,男,0歳,0
2015,高度専門職1号ロ,男,0歳,0
2015,高度専門職1号ハ,男,0歳,0
2015,高度専門職2号,男,0歳,0
2015,経営・管理,男,0歳,0
2015,法律・会計業務,男,0歳,0
2015,医療,男,0歳,0
2015,研究,男,0歳,0
2015,教育,男,0歳,0
2015,技術・人文知識・国際業務,男,0歳,0
2015,企業内転勤,男,0歳,0
2015,興行,男,0歳,0
2015,技能,男,0歳,0
2015,技能実習1号イ,男,0歳,0
2015,技能実習1号ロ,男,0歳,0
2015,技能実習2号イ,男,0歳,0
2015,技能実習2号ロ,男,0歳,0
2015,文化活動,男,0歳,0
2015,留学,男,0歳,0
2015,研修,男,0歳,0
2015,家族滞在,男,0歳,3115
2015,特定活動,男,0歳,174
2015,永住者,男,0歳,1678
2015,日本人の配偶者等,男,0歳,20
2015,永住者の配偶者等,男,0歳,762
2015,定住者,男,0歳,1108
2015,特別永住者,男,0歳,431
2015,教授,女,0歳,0
2015,芸術,女,0歳,0
2015,宗教,女,0歳,0
2015,報道,女,0歳,0
2015,高度専門職1号イ,女,0歳,0
2015,高度専門職1号ロ,女,0歳,0
2015,高度専門職1号ハ,女,0歳,0
2015,高度専門職2号,女,0歳,0
2015,経営・管理,女,0歳,0
2015,法律・会計業務,女,0歳,0
2015,医療,女,0歳,0
2015,研究,女,0歳,0
2015,教育,女,0歳,0
2015,技術・人文知識・国際業務,女,0歳,0
2015,企業内転勤,女,0歳,0
2015,興行,女,0歳,0
2015,技能,女,0歳,0
2015,技能実習1号イ,女,0歳,0
2015,技能実習1号ロ,女,0歳,0
2015,技能実習2号イ,女,0歳,0
2015,技能実習2号ロ,女,0歳,0
2015,文化活動,女,0歳,0
2015,留学,女,0歳,0
2015,研修,女,0歳,0
2015,家族滞在,女,0歳,2863
2015,特定活動,女,0歳,187
2015,永住者,女,0歳,1584
2015,日本人の配偶者等,女,0歳,20
2015,永住者の配偶者等,女,0歳,709
2015,定住者,女,0歳,1043
2015,特別永住者,女,0歳,453
2015,教授,男,1歳,0
2015,芸術,男,1歳,0
2015,宗教,男,1歳,0
2015,報道,男,1歳,0
2015,高度専門職1号イ,男,1歳,0
2015,高度専門職1号ロ,男,1歳,0
2015,高度専門職1号ハ,男,1歳,0
2015,高度専門職2号,男,1歳,0
2015,経営・管理,男,1歳,0
2015,法律・会計業務,男,1歳,0
2015,医療,男,1歳,0
2015,研究,男,1歳,0
2015,教育,男,1歳,0
2015,技術・人文知識・国際業務,男,1歳,0
2015,企業内転勤,男,1歳,0
2015,興行,男,1歳,0
2015,技能,男,1歳,0
2015,技能実習1号イ,男,1歳,0
2015,技能実習1号ロ,男,1歳,0
2015,技能実習2号イ,男,1歳,0
2015,技能実習2号ロ,男,1歳,0
2015,文化活動,男,1歳,0
2015,留学,男,1歳,0
2015,研修,男,1歳,0
2015,家族滞在,男,1歳,3329
2015,特定活動,男,1歳,157
2015,永住者,男,1歳,1927
2015,日本人の配偶者等,男,1歳,54
2015,永住者の配偶者等,男,1歳,732
2015,定住者,男,1歳,1328
2015,特別永住者,男,1歳,522
2015,教授,女,1歳,0
2015,芸術,女,1歳,0
2015,宗教,女,1歳,0
2015,報道,女,1歳,0
2015,高度専門職1号イ,女,1歳,0
2015,高度専門職1号ロ,女,1歳,0
2015,高度専門職1号ハ,女,1歳,0
2015,高度専門職2号,女,1歳,0
2015,経営・管理,女,1歳,0
2015,法律・会計業務,女,1歳,0
2015,医療,女,1歳,0
2015,研究,女,1歳,0
2015,教育,女,1歳,0
2015,技術・人文知識・国際業務,女,1歳,0
2015,企業内転勤,女,1歳,0
2015,興行,女,1歳,0
2015,技能,女,1歳,0
2015,技能実習1号イ,女,1歳,0
2015,技能実習1号ロ,女,1歳,0
2015,技能実習2号イ,女,1歳,0
2015,技能実習2号ロ,女,1歳,0
2015,文化活動,女,1歳,0
2015,留学,女,1歳,0
2015,研修,女,1歳,0
2015,家族滞在,女,1歳,3204
2015,特定活動,女,1歳,135
2015,永住者,女,1歳,1704
2015,日本人の配偶者等,女,1歳,52
2015,永住者の配偶者等,女,1歳,710
2015,定住者,女,1歳,1345
2015,特別永住者,女,1歳,459
2015,教授,男,2歳,0
2015,芸術,男,2歳,0
2015,宗教,男,2歳,0
2015,報道,男,2歳,0
2015,高度専門職1号イ,男,2歳,0
2015,高度専門職1号ロ,男,2歳,0
2015,高度専門職1号ハ,男,2歳,0
2015,高度専門職2号,男,2歳,0
2015,経営・管理,男,2歳,0
2015,法律・会計業務,男,2歳,0
2015,医療,男,2歳,0
2015,研究,男,2歳,0
2015,教育,男,2歳,0
2015,技術・人文知識・国際業務,男,2歳,0
2015,企業内転勤,男,2歳,0
2015,興行,男,2歳,0
2015,技能,男,2歳,0
2015,技能実習1号イ,男,2歳,0
