年,在留資格,性別,年齢,人口
2019,教授,男,0歳,0
2019,芸術,男,0歳,0
2019,宗教,男,0歳,0
2019,報道,男,0歳,0
2019,高度専門職1号イ,男,0歳,0
2019,高度専門職1号ロ,男,0歳,0
2019,高度専門職1号ハ,男,0歳,0
2019,高度専門職2号,男,0歳,0
2019,経営・管理,男,0歳,0
2019,法律・会計業務,男,0歳,0
2019,医療,男,0歳,0
2019,研究,男,0歳,0
2019,教育,男,0歳,0
2019,技術・人文知識・国際業務,男,0歳,0
2019,企業内転勤,男,0歳,0
2019,介護,男,0歳,0
2019,興行,男,0歳,0
2019,技能,男,0歳,0
2019,特定技能1号,男,0歳,0
2019,特定技能2号,男,0歳,0
2019,技能実習1号イ,男,0歳,0
2019,技能実習1号ロ,男,0歳,0
2019,技能実習2号イ,男,0歳,0
2019,技能実習2号ロ,男,0歳,0
2019,技能実習3号イ,男,0歳,0
2019,技能実習3号ロ,男,0歳,0
2019,文化活動,男,0歳,0
2019,留学,男,0歳,0
2019,研修,男,0歳,0
2019,家族滞在,男,0歳,4331
2019,特定活動,男,0歳,64
2019,永住者,男,0歳,1341
2019,日本人の配偶者等,男,0歳,9
2019,永住者の配偶者等,男,0歳,1176
2019,定住者,男,0歳,1183
2019,特別永住者,男,0歳,317
2019,教授,女,0歳,0
2019,芸術,女,0歳,0
2019,宗教,女,0歳,0
2019,報道,女,0歳,0
2019,高度専門職1号イ,女,0歳,0
2019,高度専門職1号ロ,女,0歳,0
2019,高度専門職1号ハ,女,0歳,0
2019,高度専門職2号,女,0歳,0
2019,経営・管理,女,0歳,0
2019,法律・会計業務,女,0歳,0
2019,医療,女,0歳,0
2019,研究,女,0歳,0
2019,教育,女,0歳,0
2019,技術・人文知識・国際業務,女,0歳,0
2019,企業内転勤,女,0歳,0
2019,介護,女,0歳,0
2019,興行,女,0歳,0
2019,技能,女,0歳,0
2019,特定技能1号,女,0歳,0
2019,特定技能2号,女,0歳,0
2019,技能実習1号イ,女,0歳,0
2019,技能実習1号ロ,女,0歳,0
2019,技能実習2号イ,女,0歳,0
2019,技能実習2号ロ,女,0歳,0
2019,技能実習3号イ,女,0歳,0
2019,技能実習3号ロ,女,0歳,0
2019,文化活動,女,0歳,0
2019,留学,女,0歳,0
2019,研修,女,0歳,0
2019,家族滞在,女,0歳,3956
2019,特定活動,女,0歳,58
2019,永住者,女,0歳,1265
2019,日本人の配偶者等,女,0歳,15
2019,永住者の配偶者等,女,0歳,1135
2019,定住者,女,0歳,1128
2019,特別永住者,女,0歳,277
2019,教授,男,1歳,0
2019,芸術,男,1歳,0
2019,宗教,男,1歳,0
2019,報道,男,1歳,0
2019,高度専門職1号イ,男,1歳,0
2019,高度専門職1号ロ,男,1歳,0
2019,高度専門職1号ハ,男,1歳,0
2019,高度専門職2号,男,1歳,0
2019,経営・管理,男,1歳,0
2019,法律・会計業務,男,1歳,0
2019,医療,男,1歳,0
2019,研究,男,1歳,0
2019,教育,男,1歳,0
2019,技術・人文知識・国際業務,男,1歳,0
2019,企業内転勤,男,1歳,0
2019,介護,男,1歳,0
2019,興行,男,1歳,0
2019,技能,男,1歳,0
2019,特定技能1号,男,1歳,0
2019,特定技能2号,男,1歳,0
2019,技能実習1号イ,男,1歳,0
2019,技能実習1号ロ,男,1歳,0
2019,技能実習2号イ,男,1歳,0
2019,技能実習2号ロ,男,1歳,0
2019,技能実習3号イ,男,1歳,0
2019,技能実習3号ロ,男,1歳,0
2019,文化活動,男,1歳,0
2019,留学,男,1歳,0
2019,研修,男,1歳,0
2019,家族滞在,男,1歳,4911
2019,特定活動,男,1歳,146
2019,永住者,男,1歳,1469
2019,日本人の配偶者等,男,1歳,34
2019,永住者の配偶者等,男,1歳,1390
2019,定住者,男,1歳,1450
2019,特別永住者,男,1歳,381
2019,教授,女,1歳,0
2019,芸術,女,1歳,0
2019,宗教,女,1歳,0
2019,報道,女,1歳,0
2019,高度専門職1号イ,女,1歳,0
2019,高度専門職1号ロ,女,1歳,0
2019,高度専門職1号ハ,女,1歳,0
2019,高度専門職2号,女,1歳,0
2019,経営・管理,女,1歳,0
2019,法律・会計業務,女,1歳,0
2019,医療,女,1歳,0
2019,研究,女,1歳,0
2019,教育,女,1歳,0
2019,技術・人文知識・国際業務,女,1歳,0
2019,企業内転勤,女,1歳,0
2019,介護,女,1歳,0
2019,興行,女,1歳,0
2019,技能,女,1歳,0
2019,特定技能1号,女,1歳,0
2019,特定技能2号,女,1歳,0
2019,技能実習1号イ,女,1歳,0
2019,技能実習1号ロ,女,1歳,0
2019,技能実習2号イ,女,1歳,0
2019,技能実習2号ロ,女,1歳,0
2019,技能実習3号イ,女,1歳,0
2019,技能実習3号ロ,女,1歳,0
2019,文化活動,女,1歳,0
2019,留学,女,1歳,0
2019,研修,女,1歳,0
2019,家族滞在,女,1歳,4549
2019,特定活動,女,1歳,117
2019,永住者,女,1歳,1347
2019,日本人の配偶者等,女,1歳,33
2019,永住者の配偶者等,女,1歳,1297
2019,定住者,女,1歳,1358
2019,特別永住者,女,1歳,378
2019,教授,男,2歳,0
2019,芸術,男,2歳,0
2019,宗教,男,2歳,0
2019,報道,男,2歳,0
2019,高度専門職1号イ,男,2歳,0
2019,高度専門職1号ロ,男,2歳,0
2019,高度専門職1号ハ,男,2歳,0
2019,高度専門職2号,男,2歳,0
2019,経営・管理,男,2歳,0
2019,法律・会計業務,男,2歳,0
2019,医療,男,2歳,0
2019,研究,男,2歳,0
2019,教育,男,2歳,0
2019,技術・人文知識・国際業務,男,2歳,0
2019,企業内転勤,男,2歳,0
2019,介護,男,2歳,0
2019,興行,男,2歳,0
2019,技能,男,2歳,0
2019,特定技能1号,男,2歳,0
2019,特定技能2号,男,2歳,0
2019,技能実習1号イ,男,2歳,0
2019,技能実習1号ロ,男,2歳,0
2019,技能実習2号イ,男,2歳,0
2019,技能実習2号ロ,男,2歳,0
2019,技能実習3号イ,男,2歳,0
2019,技能実習3号ロ,男,2歳,0
2019,文化活動,男,2歳,0
2019,留学,男,2歳,0
2019,研修,男,2歳,0
2019,家族滞在,男,2歳,4749
2019,特定活動,男,2歳,114
2019,永住者,男,2歳,1997
2019,日本人の配偶者等,男,2歳,34
2019,永住者の配偶者等,男,2歳,1086
2019,定住者,男,2歳,1613
2019,特別永住者,男,2歳,403
2019,教授,女,2歳,0
2019,芸術,女,2歳,0
2019,宗教,女,2歳,0
2019,報道,女,2歳,0
2019,高度専門職1号イ,女,2歳,0
2019,高度専門職1号ロ,女,2歳,0
2019,高度専門職1号ハ,女,2歳,0
2019,高度専門職2号,女,2歳,0
2019,経営・管理,女,2歳,0
2019,法律・会計業務,女,2歳,0
2019,医療,女,2歳,0
2019,研究,女,2歳,0
2019,教育,女,2歳,0
2019,技術・人文知識・国際業務,女,2歳,0
2019,企業内転勤,女,2歳,0
2019,介護,女,2歳,0
2019,興行,女,2歳,0
2019,技能,女,2歳,0
2019,特定技能1号,女,2歳,0
2019,特定技能2号,女,2歳,0
2019,技能実習1号イ,女,2歳,0
2019,技能実習1号ロ,女,2歳,0
2019,技能実習2号イ,女,2歳,0
2019,技能実習2号ロ,女,2歳,0
2019,技能実習3号イ,女,2歳,0
2019,技能実習3号ロ,女,2歳,0
2019,文化活動,女,2歳,0
2019,留学,女,2歳,0
2019,研修,女,2歳,0
2019,家族滞在,女,2歳,4451
2019,特定活動,女,2歳,119
2019,永住者,女,2歳,1947
2019,日本人の配偶者等,女,2歳,47
2019,永住者の配偶者等,女,2歳,1010
2019,定住者,女,2歳,1558
2019,特別永住者,女,2歳,415
2019,教授,男,3歳,0
2019,芸術,男,3歳,0
2019,宗教,男,3歳,0
2019,報道,男,3歳,0
2019,高度専門職1号イ,男,3歳,0
2019,高度専門職1号ロ,男,3歳,0
2019,高度専門職1号ハ,男,3歳,0
2019,高度専門職2号,男,3歳,0
2019,経営・管理,男,3歳,0
2019,法律・会計業務,男,3歳,0
2019,医療,男,3歳,0
2019,研究,男,3歳,0
2019,教育,男,3歳,0
2019,技術・人文知識・国際業務,男,3歳,0
2019,企業内転勤,男,3歳,0
2019,介護,男,3歳,0
2019,興行,男,3歳,0
2019,技能,男,3歳,0
2019,特定技能1号,男,3歳,0
2019,特定技能2号,男,3歳,0
2019,技能実習1号イ,男,3歳,0
2019,技能実習1号ロ,男,3歳,0
2019,技能実習2号イ,男,3歳,0
2019,技能実習2号ロ,男,3歳,0
2019,技能実習3号イ,男,3歳,0
2019,技能実習3号ロ,男,3歳,0
2019,文化活動,男,3歳,0
2019,留学,男,3歳,0
2019,研修,男,3歳,0
2019,家族滞在,男,3歳,3917
2019,特定活動,男,3歳,95
2019,永住者,男,3歳,2392
2019,日本人の配偶者等,男,3歳,73
2019,永住者の配偶者等,男,3歳,752
2019,定住者,男,3歳,1657
2019,特別永住者,男,3歳,465
2019,教授,女,3歳,0
2019,芸術,女,3歳,0
2019,宗教,女,3歳,0
