年,在留資格,性別,年齢,人口
2016,教授,男,0歳,0
2016,芸術,男,0歳,0
2016,宗教,男,0歳,0
2016,報道,男,0歳,0
2016,高度専門職1号イ,男,0歳,0
2016,高度専門職1号ロ,男,0歳,0
2016,高度専門職1号ハ,男,0歳,0
2016,高度専門職2号,男,0歳,0
2016,経営・管理,男,0歳,0
2016,法律・会計業務,男,0歳,0
2016,医療,男,0歳,0
2016,研究,男,0歳,0
2016,教育,男,0歳,0
2016,技術・人文知識・国際業務,男,0歳,0
2016,企業内転勤,男,0歳,0
2016,興行,男,0歳,0
2016,技能,男,0歳,0
2016,技能実習1号イ,男,0歳,0
2016,技能実習1号ロ,男,0歳,0
2016,技能実習2号イ,男,0歳,0
2016,技能実習2号ロ,男,0歳,0
2016,文化活動,男,0歳,0
2016,留学,男,0歳,0
2016,研修,男,0歳,0
2016,家族滞在,男,0歳,3249
2016,特定活動,男,0歳,133
2016,永住者,男,0歳,1674
2016,日本人の配偶者等,男,0歳,7
2016,永住者の配偶者等,男,0歳,780
2016,定住者,男,0歳,1049
2016,特別永住者,男,0歳,443
2016,教授,女,0歳,0
2016,芸術,女,0歳,0
2016,宗教,女,0歳,0
2016,報道,女,0歳,0
2016,高度専門職1号イ,女,0歳,0
2016,高度専門職1号ロ,女,0歳,0
2016,高度専門職1号ハ,女,0歳,0
2016,高度専門職2号,女,0歳,0
2016,経営・管理,女,0歳,0
2016,法律・会計業務,女,0歳,0
2016,医療,女,0歳,0
2016,研究,女,0歳,0
2016,教育,女,0歳,0
2016,技術・人文知識・国際業務,女,0歳,0
2016,企業内転勤,女,0歳,0
2016,興行,女,0歳,0
2016,技能,女,0歳,0
2016,技能実習1号イ,女,0歳,0
2016,技能実習1号ロ,女,0歳,0
2016,技能実習2号イ,女,0歳,0
2016,技能実習2号ロ,女,0歳,0
2016,文化活動,女,0歳,0
2016,留学,女,0歳,0
2016,研修,女,0歳,0
2016,家族滞在,女,0歳,3073
2016,特定活動,女,0歳,139
2016,永住者,女,0歳,1548
2016,日本人の配偶者等,女,0歳,26
2016,永住者の配偶者等,女,0歳,731
2016,定住者,女,0歳,1028
2016,特別永住者,女,0歳,364
2016,教授,男,1歳,0
2016,芸術,男,1歳,0
2016,宗教,男,1歳,0
2016,報道,男,1歳,0
2016,高度専門職1号イ,男,1歳,0
2016,高度専門職1号ロ,男,1歳,0
2016,高度専門職1号ハ,男,1歳,0
2016,高度専門職2号,男,1歳,0
2016,経営・管理,男,1歳,0
2016,法律・会計業務,男,1歳,0
2016,医療,男,1歳,0
2016,研究,男,1歳,0
2016,教育,男,1歳,0
2016,技術・人文知識・国際業務,男,1歳,0
2016,企業内転勤,男,1歳,0
2016,興行,男,1歳,0
2016,技能,男,1歳,0
2016,技能実習1号イ,男,1歳,0
2016,技能実習1号ロ,男,1歳,0
2016,技能実習2号イ,男,1歳,0
2016,技能実習2号ロ,男,1歳,0
2016,文化活動,男,1歳,0
2016,留学,男,1歳,0
2016,研修,男,1歳,0
2016,家族滞在,男,1歳,3790
2016,特定活動,男,1歳,201
2016,永住者,男,1歳,2076
2016,日本人の配偶者等,男,1歳,39
2016,永住者の配偶者等,男,1歳,802
2016,定住者,男,1歳,1428
2016,特別永住者,男,1歳,476
2016,教授,女,1歳,0
2016,芸術,女,1歳,0
2016,宗教,女,1歳,0
2016,報道,女,1歳,0
2016,高度専門職1号イ,女,1歳,0
2016,高度専門職1号ロ,女,1歳,0
2016,高度専門職1号ハ,女,1歳,0
2016,高度専門職2号,女,1歳,0
2016,経営・管理,女,1歳,0
2016,法律・会計業務,女,1歳,0
2016,医療,女,1歳,0
2016,研究,女,1歳,0
2016,教育,女,1歳,0
2016,技術・人文知識・国際業務,女,1歳,0
2016,企業内転勤,女,1歳,0
2016,興行,女,1歳,0
2016,技能,女,1歳,0
2016,技能実習1号イ,女,1歳,0
2016,技能実習1号ロ,女,1歳,0
2016,技能実習2号イ,女,1歳,0
2016,技能実習2号ロ,女,1歳,0
2016,文化活動,女,1歳,0
2016,留学,女,1歳,0
2016,研修,女,1歳,0
2016,家族滞在,女,1歳,3473
2016,特定活動,女,1歳,204
2016,永住者,女,1歳,1940
2016,日本人の配偶者等,女,1歳,42
2016,永住者の配偶者等,女,1歳,755
2016,定住者,女,1歳,1308
2016,特別永住者,女,1歳,487
2016,教授,男,2歳,0
2016,芸術,男,2歳,0
2016,宗教,男,2歳,0
2016,報道,男,2歳,0
2016,高度専門職1号イ,男,2歳,0
2016,高度専門職1号ロ,男,2歳,0
2016,高度専門職1号ハ,男,2歳,0
2016,高度専門職2号,男,2歳,0
2016,経営・管理,男,2歳,0
2016,法律・会計業務,男,2歳,0
2016,医療,男,2歳,0
2016,研究,男,2歳,0
2016,教育,男,2歳,0
2016,技術・人文知識・国際業務,男,2歳,0
2016,企業内転勤,男,2歳,0
2016,興行,男,2歳,0
2016,技能,男,2歳,0
2016,技能実習1号イ,男,2歳,0
2016,技能実習1号ロ,男,2歳,0
2016,技能実習2号イ,男,2歳,0
2016,技能実習2号ロ,男,2歳,0
2016,文化活動,男,2歳,0
2016,留学,男,2歳,0
2016,研修,男,2歳,0
2016,家族滞在,男,2歳,3364
2016,特定活動,男,2歳,140
2016,永住者,男,2歳,2207
2016,日本人の配偶者等,男,2歳,70
2016,永住者の配偶者等,男,2歳,648
2016,定住者,男,2歳,1448
2016,特別永住者,男,2歳,517
2016,教授,女,2歳,0
2016,芸術,女,2歳,0
2016,宗教,女,2歳,0
2016,報道,女,2歳,0
2016,高度専門職1号イ,女,2歳,0
2016,高度専門職1号ロ,女,2歳,0
2016,高度専門職1号ハ,女,2歳,0
2016,高度専門職2号,女,2歳,0
2016,経営・管理,女,2歳,0
2016,法律・会計業務,女,2歳,0
2016,医療,女,2歳,0
2016,研究,女,2歳,0
2016,教育,女,2歳,0
2016,技術・人文知識・国際業務,女,2歳,0
2016,企業内転勤,女,2歳,0
2016,興行,女,2歳,0
2016,技能,女,2歳,0
2016,技能実習1号イ,女,2歳,0
2016,技能実習1号ロ,女,2歳,0
2016,技能実習2号イ,女,2歳,0
2016,技能実習2号ロ,女,2歳,0
2016,文化活動,女,2歳,0
2016,留学,女,2歳,0
2016,研修,女,2歳,0
2016,家族滞在,女,2歳,3259
2016,特定活動,女,2歳,134
2016,永住者,女,2歳,1951
2016,日本人の配偶者等,女,2歳,61
2016,永住者の配偶者等,女,2歳,631
2016,定住者,女,2歳,1462
2016,特別永住者,女,2歳,455
2016,教授,男,3歳,0
2016,芸術,男,3歳,0
2016,宗教,男,3歳,0
2016,報道,男,3歳,0
2016,高度専門職1号イ,男,3歳,0
2016,高度専門職1号ロ,男,3歳,0
2016,高度専門職1号ハ,男,3歳,0
2016,高度専門職2号,男,3歳,0
2016,経営・管理,男,3歳,0
2016,法律・会計業務,男,3歳,0
2016,医療,男,3歳,0
2016,研究,男,3歳,0
2016,教育,男,3歳,0
2016,技術・人文知識・国際業務,男,3歳,0
2016,企業内転勤,男,3歳,0
2016,興行,男,3歳,0
2016,技能,男,3歳,0
2016,技能実習1号イ,男,3歳,0
2016,技能実習1号ロ,男,3歳,0
2016,技能実習2号イ,男,3歳,0
2016,技能実習2号ロ,男,3歳,0
2016,文化活動,男,3歳,0
2016,留学,男,3歳,0
2016,研修,男,3歳,0
2016,家族滞在,男,3歳,3092
2016,特定活動,男,3歳,155
2016,永住者,男,3歳,2441
2016,日本人の配偶者等,男,3歳,85
2016,永住者の配偶者等,男,3歳,484
2016,定住者,男,3歳,1663
2016,特別永住者,男,3歳,550
2016,教授,女,3歳,0
2016,芸術,女,3歳,0
2016,宗教,女,3歳,0
2016,報道,女,3歳,0
2016,高度専門職1号イ,女,3歳,0
2016,高度専門職1号ロ,女,3歳,0
2016,高度専門職1号ハ,女,3歳,0
2016,高度専門職2号,女,3歳,0
2016,経営・管理,女,3歳,0
2016,法律・会計業務,女,3歳,0
2016,医療,女,3歳,0
2016,研究,女,3歳,0
2016,教育,女,3歳,0
2016,技術・人文知識・国際業務,女,3歳,0
2016,企業内転勤,女,3歳,0
2016,興行,女,3歳,0
2016,技能,女,3歳,0
2016,技能実習1号イ,女,3歳,0
2016,技能実習1号ロ,女,3歳,0
2016,技能実習2号イ,女,3歳,0
2016,技能実習2号ロ,女,3歳,0
2016,文化活動,女,3歳,0
2016,留学,女,3歳,0
2016,研修,女,3歳,0
2016,家族滞在,女,3歳,2960
2016,特定活動,女,3歳,126
2016,永住者,女,3歳,2339
2016,日本人の配偶者等,女,3歳,77
2016,永住者の配偶者等,女,3歳,505
2016,定住者,女,3歳,1519
2016,特別永住者,女,3歳,488
2016,教授,男,4歳,0
2016,芸術,男,4歳,0
2016,宗教,男,4歳,0
2016,報道,男,4歳,0
2016,高度専門職1号イ,男,4歳,0
2016,高度専門職1号ロ,男,4歳,0
2016,高度専門職1号ハ,男,4歳,0
2016,高度専門職2号,男,4歳,0
2016,経営・管理,男,4歳,0
2016,法律・会計業務,男,4歳,0
2016,医療,男,4歳,0
2016,研究,男,4歳,0
2016,教育,男,4歳,0
2016,技術・人文知識・国際業務,男,4歳,0
2016,企業内転勤,男,4歳,0
2016,興行,男,4歳,0
2016,技能,男,4歳,0
2016,技能実習1号イ,男,4歳,0
2016,技能実習1号ロ,男,4歳,0
2016,技能実習2号イ,男,4歳,0
2016,技能実習2号ロ,男,4歳,0
2016,文化活動,男,4歳,0
2016,留学,男,4歳,0
2016,研修,男,4歳,0
2016,家族滞在,男,4歳,2631
2016,特定活動,男,4歳,114
2016,永住者,男,4歳,2741
2016,日本人の配偶者等,男,4歳,105
2016,永住者の配偶者等,男,4歳,209
2016,定住者,男,4歳,1643
2016,特別永住者,男,4歳,590
2016,教授,女,4歳,0
2016,芸術,女,4歳,0
2016,宗教,女,4歳,0
2016,報道,女,4歳,0
2016,高度専門職1号イ,女,4歳,0
2016,高度専門職1号ロ,女,4歳,0
2016,高度専門職1号ハ,女,4歳,0
2016,高度専門職2号,女,4歳,0
2016,経営・管理,女,4歳,0
2016,法律・会計業務,女,4歳,0
2016,医療,女,4歳,0
2016,研究,女,4歳,0
2016,教育,女,4歳,0
2016,技術・人文知識・国際業務,女,4歳,0
2016,企業内転勤,女,4歳,0
2016,興行,女,4歳,0
2016,技能,女,4歳,0
2016,技能実習1号イ,女,4歳,0
2016,技能実習1号ロ,女,4歳,0
2016,技能実習2号イ,女,4歳,0
2016,技能実習2号ロ,女,4歳,0
2016,文化活動,女,4歳,0
2016,留学,女,4歳,0
2016,研修,女,4歳,0
2016,家族滞在,女,4歳,2492
2016,特定活動,女,4歳,106
2016,永住者,女,4歳,2450
2016,日本人の配偶者等,女,4歳,88
2016,永住者の配偶者等,女,4歳,171
2016,定住者,女,4歳,1520
2016,特別永住者,女,4歳,514
2016,教授,男,5歳,0
2016,芸術,男,5歳,0
2016,宗教,男,5歳,0
2016,報道,男,5歳,0
2016,高度専門職1号イ,男,5歳,0
2016,高度専門職1号ロ,男,5歳,0
2016,高度専門職1号ハ,男,5歳,0
2016,高度専門職2号,男,5歳,0
2016,経営・管理,男,5歳,0
2016,法律・会計業務,男,5歳,0
2016,医療,男,5歳,0
2016,研究,男,5歳,0
2016,教育,男,5歳,0
2016,技術・人文知識・国際業務,男,5歳,0
2016,企業内転勤,男,5歳,0
2016,興行,男,5歳,0
2016,技能,男,5歳,0
2016,技能実習1号イ,男,5歳,0
2016,技能実習1号ロ,男,5歳,0
2016,技能実習2号イ,男,5歳,0
2016,技能実習2号ロ,男,5歳,0
2016,文化活動,男,5歳,0
2016,留学,男,5歳,0
2016,研修,男,5歳,0
2016,家族滞在,男,5歳,2085
2016,特定活動,男,5歳,88
2016,永住者,男,5歳,2721
2016,日本人の配偶者等,男,5歳,81
2016,永住者の配偶者等,男,5歳,188
2016,定住者,男,5歳,1560
2016,特別永住者,男,5歳,589
2016,教授,女,5歳,0
2016,芸術,女,5歳,0
2016,宗教,女,5歳,0
2016,報道,女,5歳,0
2016,高度専門職1号イ,女,5歳,0
2016,高度専門職1号ロ,女,5歳,0
2016,高度専門職1号ハ,女,5歳,0
2016,高度専門職2号,女,5歳,0
2016,経営・管理,女,5歳,0
2016,法律・会計業務,女,5歳,0
2016,医療,女,5歳,0
2016,研究,女,5歳,0
2016,教育,女,5歳,0
2016,技術・人文知識・国際業務,女,5歳,0
2016,企業内転勤,女,5歳,0
2016,興行,女,5歳,0
2016,技能,女,5歳,0
2016,技能実習1号イ,女,5歳,0
2016,技能実習1号ロ,女,5歳,0
2016,技能実習2号イ,女,5歳,0
2016,技能実習2号ロ,女,5歳,0
2016,文化活動,女,5歳,0
2016,留学,女,5歳,0
2016,研修,女,5歳,0
2016,家族滞在,女,5歳,2052
2016,特定活動,女,5歳,84
2016,永住者,女,5歳,2440
2016,日本人の配偶者等,女,5歳,68
2016,永住者の配偶者等,女,5歳,163
2016,定住者,女,5歳,1448
2016,特別永住者,女,5歳,546
2016,教授,男,6歳,0
2016,芸術,男,6歳,0
2016,宗教,男,6歳,0
2016,報道,男,6歳,0
2016,高度専門職1号イ,男,6歳,0
2016,高度専門職1号ロ,男,6歳,0
2016,高度専門職1号ハ,男,6歳,0
2016,高度専門職2号,男,6歳,0
2016,経営・管理,男,6歳,0
2016,法律・会計業務,男,6歳,0
2016,医療,男,6歳,0
2016,研究,男,6歳,0
2016,教育,男,6歳,0
2016,技術・人文知識・国際業務,男,6歳,0
2016,企業内転勤,男,6歳,0
2016,興行,男,6歳,0
2016,技能,男,6歳,0
2016,技能実習1号イ,男,6歳,0
2016,技能実習1号ロ,男,6歳,0
2016,技能実習2号イ,男,6歳,0
2016,技能実習2号ロ,男,6歳,0
2016,文化活動,男,6歳,0
2016,留学,男,6歳,1
2016,研修,男,6歳,0
2016,家族滞在,男,6歳,1836
2016,特定活動,男,6歳,77
2016,永住者,男,6歳,2612
2016,日本人の配偶者等,男,6歳,102
2016,永住者の配偶者等,男,6歳,135
2016,定住者,男,6歳,1458
2016,特別永住者,男,6歳,642
2016,教授,女,6歳,0
2016,芸術,女,6歳,0
2016,宗教,女,6歳,0
2016,報道,女,6歳,0
2016,高度専門職1号イ,女,6歳,0
2016,高度専門職1号ロ,女,6歳,0
2016,高度専門職1号ハ,女,6歳,0
2016,高度専門職2号,女,6歳,0
2016,経営・管理,女,6歳,0
2016,法律・会計業務,女,6歳,0
2016,医療,女,6歳,0
2016,研究,女,6歳,0
2016,教育,女,6歳,0
2016,技術・人文知識・国際業務,女,6歳,0
2016,企業内転勤,女,6歳,0
2016,興行,女,6歳,0
2016,技能,女,6歳,0
2016,技能実習1号イ,女,6歳,0
2016,技能実習1号ロ,女,6歳,0
2016,技能実習2号イ,女,6歳,0
2016,技能実習2号ロ,女,6歳,0
2016,文化活動,女,6歳,0
2016,留学,女,6歳,0
2016,研修,女,6歳,0
2016,家族滞在,女,6歳,1673
2016,特定活動,女,6歳,67
2016,永住者,女,6歳,2439
2016,日本人の配偶者等,女,6歳,87
2016,永住者の配偶者等,女,6歳,137
2016,定住者,女,6歳,1411
2016,特別永住者,女,6歳,566
2016,教授,男,7歳,0
2016,芸術,男,7歳,0
2016,宗教,男,7歳,0
2016,報道,男,7歳,0
2016,高度専門職1号イ,男,7歳,0
2016,高度専門職1号ロ,男,7歳,0
2016,高度専門職1号ハ,男,7歳,0
2016,高度専門職2号,男,7歳,0
2016,経営・管理,男,7歳,0
2016,法律・会計業務,男,7歳,0
2016,医療,男,7歳,0
2016,研究,男,7歳,0
2016,教育,男,7歳,0
2016,技術・人文知識・国際業務,男,7歳,0
2016,企業内転勤,男,7歳,0
2016,興行,男,7歳,0
2016,技能,男,7歳,0
2016,技能実習1号イ,男,7歳,0
2016,技能実習1号ロ,男,7歳,0
2016,技能実習2号イ,男,7歳,0
2016,技能実習2号ロ,男,7歳,0
2016,文化活動,男,7歳,0
2016,留学,男,7歳,0
2016,研修,男,7歳,0
2016,家族滞在,男,7歳,1477
2016,特定活動,男,7歳,68
2016,永住者,男,7歳,2758
2016,日本人の配偶者等,男,7歳,71
2016,永住者の配偶者等,男,7歳,115
2016,定住者,男,7歳,1402
2016,特別永住者,男,7歳,600
2016,教授,女,7歳,0
2016,芸術,女,7歳,0
2016,宗教,女,7歳,0
2016,報道,女,7歳,0
2016,高度専門職1号イ,女,7歳,0
2016,高度専門職1号ロ,女,7歳,0
2016,高度専門職1号ハ,女,7歳,0
2016,高度専門職2号,女,7歳,0
2016,経営・管理,女,7歳,0
2016,法律・会計業務,女,7歳,0
2016,医療,女,7歳,0
2016,研究,女,7歳,0
2016,教育,女,7歳,0
2016,技術・人文知識・国際業務,女,7歳,0
2016,企業内転勤,女,7歳,0
2016,興行,女,7歳,0
2016,技能,女,7歳,0
2016,技能実習1号イ,女,7歳,0
2016,技能実習1号ロ,女,7歳,0
2016,技能実習2号イ,女,7歳,0
2016,技能実習2号ロ,女,7歳,0
2016,文化活動,女,7歳,0
2016,留学,女,7歳,2
2016,研修,女,7歳,0
2016,家族滞在,女,7歳,1371
2016,特定活動,女,7歳,43
2016,永住者,女,7歳,2619
2016,日本人の配偶者等,女,7歳,81
2016,永住者の配偶者等,女,7歳,128
2016,定住者,女,7歳,1515
2016,特別永住者,女,7歳,634
2016,教授,男,8歳,0
2016,芸術,男,8歳,0
2016,宗教,男,8歳,0
2016,報道,男,8歳,0
2016,高度専門職1号イ,男,8歳,0
2016,高度専門職1号ロ,男,8歳,0
2016,高度専門職1号ハ,男,8歳,0
2016,高度専門職2号,男,8歳,0
2016,経営・管理,男,8歳,0
2016,法律・会計業務,男,8歳,0
2016,医療,男,8歳,0
2016,研究,男,8歳,0
2016,教育,男,8歳,0
2016,技術・人文知識・国際業務,男,8歳,0
2016,企業内転勤,男,8歳,0
2016,興行,男,8歳,0
2016,技能,男,8歳,0
2016,技能実習1号イ,男,8歳,0
2016,技能実習1号ロ,男,8歳,0
2016,技能実習2号イ,男,8歳,0
2016,技能実習2号ロ,男,8歳,0
2016,文化活動,男,8歳,0
2016,留学,男,8歳,3
2016,研修,男,8歳,0
2016,家族滞在,男,8歳,1291
2016,特定活動,男,8歳,50
2016,永住者,男,8歳,2807
2016,日本人の配偶者等,男,8歳,112
2016,永住者の配偶者等,男,8歳,94
2016,定住者,男,8歳,1435
2016,特別永住者,男,8歳,636
2016,教授,女,8歳,0
2016,芸術,女,8歳,0
2016,宗教,女,8歳,0
2016,報道,女,8歳,0
2016,高度専門職1号イ,女,8歳,0
2016,高度専門職1号ロ,女,8歳,0
2016,高度専門職1号ハ,女,8歳,0
2016,高度専門職2号,女,8歳,0
2016,経営・管理,女,8歳,0
2016,法律・会計業務,女,8歳,0
2016,医療,女,8歳,0
2016,研究,女,8歳,0
2016,教育,女,8歳,0
2016,技術・人文知識・国際業務,女,8歳,0
2016,企業内転勤,女,8歳,0
2016,興行,女,8歳,0
2016,技能,女,8歳,0
2016,技能実習1号イ,女,8歳,0
2016,技能実習1号ロ,女,8歳,0
2016,技能実習2号イ,女,8歳,0
2016,技能実習2号ロ,女,8歳,0
2016,文化活動,女,8歳,0
2016,留学,女,8歳,2
2016,研修,女,8歳,0
2016,家族滞在,女,8歳,1222
2016,特定活動,女,8歳,43
2016,永住者,女,8歳,2690
2016,日本人の配偶者等,女,8歳,93
2016,永住者の配偶者等,女,8歳,80
2016,定住者,女,8歳,1469
2016,特別永住者,女,8歳,668
2016,教授,男,9歳,0
2016,芸術,男,9歳,0
2016,宗教,男,9歳,0
2016,報道,男,9歳,0
2016,高度専門職1号イ,男,9歳,0
2016,高度専門職1号ロ,男,9歳,0
2016,高度専門職1号ハ,男,9歳,0
2016,高度専門職2号,男,9歳,0
2016,経営・管理,男,9歳,0
2016,法律・会計業務,男,9歳,0
2016,医療,男,9歳,0
2016,研究,男,9歳,0
2016,教育,男,9歳,0
2016,技術・人文知識・国際業務,男,9歳,0
2016,企業内転勤,男,9歳,0
2016,興行,男,9歳,0
2016,技能,男,9歳,0
2016,技能実習1号イ,男,9歳,0
2016,技能実習1号ロ,男,9歳,0
2016,技能実習2号イ,男,9歳,0
2016,技能実習2号ロ,男,9歳,0
2016,文化活動,男,9歳,0
2016,留学,男,9歳,0
2016,研修,男,9歳,0
2016,家族滞在,男,9歳,1116
2016,特定活動,男,9歳,25
2016,永住者,男,9歳,2704
2016,日本人の配偶者等,男,9歳,86
2016,永住者の配偶者等,男,9歳,65
2016,定住者,男,9歳,1388
2016,特別永住者,男,9歳,640
2016,教授,女,9歳,0
2016,芸術,女,9歳,0
2016,宗教,女,9歳,0
2016,報道,女,9歳,0
2016,高度専門職1号イ,女,9歳,0
2016,高度専門職1号ロ,女,9歳,0
2016,高度専門職1号ハ,女,9歳,0
2016,高度専門職2号,女,9歳,0
2016,経営・管理,女,9歳,0
2016,法律・会計業務,女,9歳,0
2016,医療,女,9歳,0
2016,研究,女,9歳,0
2016,教育,女,9歳,0
2016,技術・人文知識・国際業務,女,9歳,0
2016,企業内転勤,女,9歳,0
2016,興行,女,9歳,0
2016,技能,女,9歳,0
2016,技能実習1号イ,女,9歳,0
2016,技能実習1号ロ,女,9歳,0
2016,技能実習2号イ,女,9歳,0
2016,技能実習2号ロ,女,9歳,0
2016,文化活動,女,9歳,0
2016,留学,女,9歳,2
2016,研修,女,9歳,0
2016,家族滞在,女,9歳,1109
2016,特定活動,女,9歳,34
2016,永住者,女,9歳,2512
2016,日本人の配偶者等,女,9歳,98
2016,永住者の配偶者等,女,9歳,60
2016,定住者,女,9歳,1417
2016,特別永住者,女,9歳,610
2016,教授,男,10歳,0
2016,芸術,男,10歳,0
2016,宗教,男,10歳,0
2016,報道,男,10歳,0
2016,高度専門職1号イ,男,10歳,0
2016,高度専門職1号ロ,男,10歳,0
2016,高度専門職1号ハ,男,10歳,0
2016,高度専門職2号,男,10歳,0
2016,経営・管理,男,10歳,0
2016,法律・会計業務,男,10歳,0
2016,医療,男,10歳,0
2016,研究,男,10歳,0
2016,教育,男,10歳,0
2016,技術・人文知識・国際業務,男,10歳,0
2016,企業内転勤,男,10歳,0
2016,興行,男,10歳,0
2016,技能,男,10歳,0
2016,技能実習1号イ,男,10歳,0
2016,技能実習1号ロ,男,10歳,0
2016,技能実習2号イ,男,10歳,0
2016,技能実習2号ロ,男,10歳,0
2016,文化活動,男,10歳,1
2016,留学,男,10歳,5
2016,研修,男,10歳,0
2016,家族滞在,男,10歳,1038
2016,特定活動,男,10歳,35
2016,永住者,男,10歳,2520
2016,日本人の配偶者等,男,10歳,132
2016,永住者の配偶者等,男,10歳,57
2016,定住者,男,10歳,1400
2016,特別永住者,男,10歳,689
2016,教授,女,10歳,0
2016,芸術,女,10歳,0
2016,宗教,女,10歳,0
2016,報道,女,10歳,0
2016,高度専門職1号イ,女,10歳,0
2016,高度専門職1号ロ,女,10歳,0
2016,高度専門職1号ハ,女,10歳,0
2016,高度専門職2号,女,10歳,0
2016,経営・管理,女,10歳,0
2016,法律・会計業務,女,10歳,0
2016,医療,女,10歳,0
2016,研究,女,10歳,0
2016,教育,女,10歳,0
2016,技術・人文知識・国際業務,女,10歳,0
2016,企業内転勤,女,10歳,0
2016,興行,女,10歳,0
2016,技能,女,10歳,0
2016,技能実習1号イ,女,10歳,0
2016,技能実習1号ロ,女,10歳,0
2016,技能実習2号イ,女,10歳,0
2016,技能実習2号ロ,女,10歳,0
2016,文化活動,女,10歳,0
2016,留学,女,10歳,4
2016,研修,女,10歳,0
2016,家族滞在,女,10歳,970
2016,特定活動,女,10歳,31
2016,永住者,女,10歳,2429
2016,日本人の配偶者等,女,10歳,117
2016,永住者の配偶者等,女,10歳,41
2016,定住者,女,10歳,1298
2016,特別永住者,女,10歳,624
2016,教授,男,11歳,0
2016,芸術,男,11歳,0
2016,宗教,男,11歳,0
2016,報道,男,11歳,0
2016,高度専門職1号イ,男,11歳,0
2016,高度専門職1号ロ,男,11歳,0
2016,高度専門職1号ハ,男,11歳,0
2016,高度専門職2号,男,11歳,0
2016,経営・管理,男,11歳,0
2016,法律・会計業務,男,11歳,0
2016,医療,男,11歳,0
2016,研究,男,11歳,0
2016,教育,男,11歳,0
2016,技術・人文知識・国際業務,男,11歳,0
2016,企業内転勤,男,11歳,0
2016,興行,男,11歳,0
2016,技能,男,11歳,0
2016,技能実習1号イ,男,11歳,0
2016,技能実習1号ロ,男,11歳,0
2016,技能実習2号イ,男,11歳,0
2016,技能実習2号ロ,男,11歳,0
2016,文化活動,男,11歳,0
2016,留学,男,11歳,3
2016,研修,男,11歳,0
2016,家族滞在,男,11歳,958
2016,特定活動,男,11歳,33
2016,永住者,男,11歳,2591
2016,日本人の配偶者等,男,11歳,128
2016,永住者の配偶者等,男,11歳,34
2016,定住者,男,11歳,1302
2016,特別永住者,男,11歳,710
2016,教授,女,11歳,0
2016,芸術,女,11歳,0
2016,宗教,女,11歳,0
2016,報道,女,11歳,0
2016,高度専門職1号イ,女,11歳,0
2016,高度専門職1号ロ,女,11歳,0
2016,高度専門職1号ハ,女,11歳,0
2016,高度専門職2号,女,11歳,0
2016,経営・管理,女,11歳,0
2016,法律・会計業務,女,11歳,0
2016,医療,女,11歳,0
2016,研究,女,11歳,0
2016,教育,女,11歳,0
2016,技術・人文知識・国際業務,女,11歳,0
2016,企業内転勤,女,11歳,0
2016,興行,女,11歳,0
2016,技能,女,11歳,0
2016,技能実習1号イ,女,11歳,0
2016,技能実習1号ロ,女,11歳,0
2016,技能実習2号イ,女,11歳,0
2016,技能実習2号ロ,女,11歳,0
2016,文化活動,女,11歳,0
2016,留学,女,11歳,1
2016,研修,女,11歳,0
2016,家族滞在,女,11歳,921
2016,特定活動,女,11歳,19
2016,永住者,女,11歳,2396
2016,日本人の配偶者等,女,11歳,110
2016,永住者の配偶者等,女,11歳,28
2016,定住者,女,11歳,1345
2016,特別永住者,女,11歳,705
2016,教授,男,12歳,0
2016,芸術,男,12歳,0
2016,宗教,男,12歳,0
2016,報道,男,12歳,0
2016,高度専門職1号イ,男,12歳,0
2016,高度専門職1号ロ,男,12歳,0
2016,高度専門職1号ハ,男,12歳,0
2016,高度専門職2号,男,12歳,0
2016,経営・管理,男,12歳,0
2016,法律・会計業務,男,12歳,0
