年,表示区分,性別,人口,総人口,構成比,構成比_pct
2024,日本人の配偶者等,男,62247,150208,0.41440535790370686,41.44053579037069
2024,日本人の配偶者等,女,87960,150208,0.5855879846612697,58.55879846612697
2024,日本人の配偶者等,その他,1,150208,6.657435023434171e-06,0.0006657435023434171
