年,表示区分,年代,人数,総人数,構成比,構成比_pct
2024,日本人の配偶者等,0~13歳,1526,150208,0.010159245845760546,1.0159245845760545
2024,日本人の配偶者等,10代(14歳以上),1070,150208,0.007123455475074563,0.7123455475074563
2024,日本人の配偶者等,20代,14849,150208,0.09885625266297401,9.885625266297401
2024,日本人の配偶者等,30代,49151,150208,0.32721958883681296,32.721958883681296
2024,日本人の配偶者等,40代,39906,150208,0.26567160204516405,26.567160204516405
2024,日本人の配偶者等,50代,25434,150208,0.16932520238602472,16.93252023860247
2024,日本人の配偶者等,60代,13085,150208,0.08711253728163613,8.711253728163614
2024,日本人の配偶者等,70代以上,5187,150208,0.03453211546655305,3.4532115466553046
