在留資格,人数比_不法対正規
その他,0.010909518576856743
定住者,0.010909518576856741
技能実習,0.024832501376094475
日本人の配偶者等,0.02113677862954861
留学,0.013310715632773779
短期滞在,0.1052148747693373
