年,区分,性別,年齢,人口_千人
2020,日本人,男,0歳,419.99659643435973
2020,日本人,男,1歳,437.5081641261069
2020,日本人,男,2歳,459.99627228525117
2020,日本人,男,3歳,471.4848032365744
2020,日本人,男,4歳,492.99600486223665
2020,日本人,男,5歳,505.99589951377635
2020,日本人,男,6歳,504.99590761750403
2020,日本人,男,7歳,516.9958103727714
2020,日本人,男,8歳,518.995794165316
2020,日本人,男,9歳,532.995680713128
2020,日本人,男,10歳,537.9956401944895
2020,日本人,男,11歳,541.5084079362763
2020,日本人,男,12歳,550.9955348460292
2020,日本人,男,13歳,548.4829501654795
2020,日本人,男,14歳,544.5078284756751
2020,日本人,男,15歳,546.5087291009128
2020,日本人,男,16歳,568.9953889789302
2020,日本人,男,17歳,574.995340356564
2020,日本人,男,18歳,593.5081661109958
2020,日本人,男,19歳,599.9951377633711
2020,日本人,男,20歳,601.9951215559156
2020,日本人,男,21歳,598.4853627642333
2020,日本人,男,22歳,605.9950891410049
2020,日本人,男,23歳,603.9951053484602
2020,日本人,男,24歳,604.9950972447326
2020,日本人,男,25歳,612.9950324149107
2020,日本人,男,26歳,613.9950243111831
2020,日本人,男,27歳,598.9951458670988
2020,日本人,男,28歳,607.9950729335494
2020,日本人,男,29歳,603.4849743473213
2020,日本人,男,30歳,613.4854848719207
2020,日本人,男,31歳,627.4851747300511
2020,日本人,男,32歳,650.9947244732577
2020,日本人,男,33歳,669.9945705024312
2020,日本人,男,34歳,681.9944732576985
2020,日本人,男,35歳,707.9942625607779
2020,日本人,男,36歳,731.9940680713128
2020,日本人,男,37歳,741.9939870340356
2020,日本人,男,38歳,741.9939870340356
2020,日本人,男,39歳,751.9939059967586
2020,日本人,男,40歳,786.4848999213199
2020,日本人,男,41歳,807.9934521880066
2020,日本人,男,42歳,839.5016817003095
2020,日本人,男,43歳,862.9930064829823
2020,日本人,男,44歳,905.9926580226905
2020,日本人,男,45歳,942.9923581847651
2020,日本人,男,46歳,998.4832526935405
2020,日本人,男,47歳,1012.9917909238249
2020,日本人,男,48歳,995.991928687196
2020,日本人,男,49歳,964.9921799027552
2020,日本人,男,50歳,933.9924311183144
2020,日本人,男,51歳,917.4983562886804
2020,日本人,男,52歳,893.992755267423
2020,日本人,男,53歳,891.9927714748784
2020,日本人,男,54歳,690.9944003241491
2020,日本人,男,55歳,853.9930794165316
2020,日本人,男,56歳,797.9935332252836
2020,日本人,男,57歳,776.4949994346237
2020,日本人,男,58歳,750.4935850437904
2020,日本人,男,59歳,734.4933675453974
2020,日本人,男,60歳,735.994035656402
2020,日本人,男,61歳,747.9939384116694
2020,日本人,男,62歳,722.9941410048622
2020,日本人,男,63歳,699.9943273905997
2020,日本人,男,64歳,732.4863303901234
2020,日本人,男,65歳,751.9939059967585
2020,日本人,男,66歳,746.9939465153972
2020,日本人,男,67歳,785.4791015536907
2020,日本人,男,68歳,821.9933387358185
2020,日本人,男,69歳,862.9930064829821
2020,日本人,男,70歳,912.9926012965965
2020,日本人,男,71歳,989.5167051169032
2020,日本人,男,72歳,963.9921880064828
2020,日本人,男,73歳,901.5231471318034
2020,日本人,男,74歳,544.9955834683955
2020,日本人,男,75歳,568.4497934003242
2020,日本人,男,76歳,678.9944975688817
2020,日本人,男,77歳,640.9948055105349
2020,日本人,男,78歳,640.9948055105348
2020,日本人,男,79歳,602.9951134521881
2020,日本人,男,80歳,525.995737439222
2020,日本人,男,81歳,436.5738315349432
2020,日本人,男,82歳,439.99643435980545
2020,日本人,男,83歳,424.9965559157212
2020,日本人,男,84歳,395.9967909238249
2020,日本人,男,85歳,344.99720421393846
2020,日本人,男,86歳,295.99760129659643
2020,日本人,男,87歳,263.9978606158833
2020,日本人,男,88歳,227.33545341139242
2020,日本人,男,89歳,188.9984683954619
2020,日本人,男,90歳,151.99876823338735
2020,日本人,男,91歳,122.99900324149108
2020,日本人,男,92歳,96.99921393841166
2020,日本人,男,93歳,71.99941653160454
2020,日本人,男,94歳,53.76272221274418
2020,日本人,男,95歳,36.99970016207455
2020,日本人,男,96歳,24.19335232916819
2020,日本人,男,97歳,14.999878444084278
2020,日本人,男,98歳,9.999918962722854
2020,日本人,男,99歳,5.999951377633711
2020,日本人,男,100歳以上,9.999918962722852
2020,日本人,女,0歳,400.99675040518633
2020,日本人,女,1歳,417.48490718669694
2020,日本人,女,2歳,438.9964424635332
2020,日本人,女,3歳,450.50772512647256
2020,日本人,女,4歳,468.99619935170176
2020,日本人,女,5歳,481.99609400324147
2020,日本人,女,6歳,479.9961102106969
2020,日本人,女,7歳,492.9960048622366
2020,日本人,女,8歳,494.99598865478123
2020,日本人,女,9歳,506.9958914100486
2020,日本人,女,10歳,511.99585089141004
2020,日本人,女,11歳,514.4830345272569
2020,日本人,女,12歳,524.9957455429496
2020,日本人,女,13歳,521.5083788458658
2020,日本人,女,14歳,518.4835572617642
2020,日本人,女,15歳,518.4826404290711
2020,日本人,女,16歳,538.9956320907617
2020,日本人,女,17歳,542.9955996758509
2020,日本人,女,18歳,563.4824578760382
2020,日本人,女,19歳,571.9953646677471
2020,日本人,女,20歳,573.9953484602917
2020,日本人,女,21歳,575.5051234594296
2020,日本人,女,22歳,583.9952674230146
2020,日本人,女,23歳,582.9952755267423
2020,日本人,女,24歳,582.9952755267423
2020,日本人,女,25歳,589.9952188006483
2020,日本人,女,26歳,587.9952350081038
2020,日本人,女,27歳,573.9953484602917
2020,日本人,女,28歳,581.99528363047
2020,日本人,女,29歳,579.505438942792
2020,日本人,女,30歳,590.5047582399106
2020,日本人,女,31歳,603.504849581132
2020,日本人,女,32歳,624.9949351701782
2020,日本人,女,33歳,643.9947811993517
2020,日本人,女,34歳,655.9946839546191
2020,日本人,女,35歳,683.994457050243
2020,日本人,女,36歳,707.9942625607779
2020,日本人,女,37歳,716.9941896272285
2020,日本人,女,38歳,716.9941896272285
2020,日本人,女,39歳,725.9941166936792
2020,日本人,女,40歳,759.5025717156329
2020,日本人,女,41歳,777.9936952998379
2020,日本人,女,42歳,811.4849390452335
2020,日本人,女,43歳,833.9932414910859
2020,日本人,女,44歳,873.9929173419773
2020,日本人,女,45歳,911.9926094003242
2020,日本人,女,46歳,964.5008396889556
2020,日本人,女,47歳,984.9920178282009
2020,日本人,女,48歳,964.9921799027551
2020,日本人,女,49歳,936.9924068071313
2020,日本人,女,50歳,908.9926337115073
2020,日本人,女,51歳,896.486943549245
2020,日本人,女,52歳,875.992901134522
2020,日本人,女,53歳,875.992901134522
2020,日本人,女,54歳,683.994457050243
2020,日本人,女,55歳,844.9931523500811
2020,日本人,女,56歳,791.9935818476498
2020,日本人,女,57歳,772.4924478911462
2020,日本人,女,58歳,749.4942593646375
2020,日本人,女,59歳,736.4947118711342
2020,日本人,女,60歳,742.993978930308
2020,日本人,女,61歳,757.9938573743923
2020,日本人,女,62歳,737.9940194489466
2020,日本人,女,63歳,717.9941815235009
2020,日本人,女,64歳,755.5016112630369
2020,日本人,女,65歳,778.9936871961103
2020,日本人,女,66歳,780.9936709886549
2020,日本人,女,67歳,832.507786614867
2020,日本人,女,68歳,878.9928768233387
2020,日本人,女,69歳,929.9924635332252
2020,日本人,女,70歳,999.9918962722854
2020,日本人,女,71歳,1092.466422921995
2020,日本人,女,72歳,1079.9912479740678
2020,日本人,女,73歳,1018.4612937109841
2020,日本人,女,74歳,634.9948541329012
2020,日本人,女,75歳,682.5400688363046
2020,日本人,女,76歳,830.993265802269
2020,日本人,女,77歳,795.993549432739
2020,日本人,女,78歳,810.9934278768234
2020,日本人,女,79歳,778.9936871961103
2020,日本人,女,80歳,698.9943354943273
2020,日本人,女,81歳,596.4177973143275
2020,日本人,女,82歳,625.9949270664505
2020,日本人,女,83歳,626.9949189627227
2020,日本人,女,84歳,609.9950567260939
2020,日本人,女,85歳,562.9954376012967
2020,日本人,女,86歳,510.9958589951377
2020,日本人,女,87歳,487.99604538087516
2020,日本人,女,88歳,446.6590846761278
2020,日本人,女,89歳,401.9967423014587
2020,日本人,女,90歳,349.99716369529983
2020,日本人,女,91歳,308.99749594813613
2020,日本人,女,92歳,266.9978363047001
2020,日本人,女,93歳,209.9982982171799
2020,日本人,女,94歳,173.2354382410646
2020,日本人,女,95歳,134.99890599675848
2020,日本人,女,96歳,100.80563470486746
2020,日本人,女,97歳,75.99938411669368
