年,区分,性別,年齢,人口_千人
2012,日本人,男,0歳,528.4795078950036
2012,日本人,男,1歳,542.9913781468573
2012,日本人,男,2歳,528.9916004414135
2012,日本人,男,3歳,529.50319773391
2012,日本人,男,4歳,543.9913622686746
2012,日本人,男,5歳,542.5031894868198
2012,日本人,男,6歳,538.9914416595877
2012,日本人,男,7歳,537.4795722308837
2012,日本人,男,8歳,557.9911399741185
2012,日本人,男,9歳,568.9909653141101
2012,日本人,男,10歳,583.9907271413714
2012,日本人,男,11歳,591.9906001159106
2012,日本人,男,12歳,599.9904730904501
2012,日本人,男,13歳,598.9904889686326
2012,日本人,男,14歳,608.5021224505659
2012,日本人,男,15歳,605.5017972445072
2012,日本人,男,16歳,602.502773624582
2012,日本人,男,17歳,621.503354640061
2012,日本人,男,18歳,625.990060257703
2012,日本人,男,19歳,612.9902666740765
2012,日本人,男,20歳,619.9901555267984
2012,日本人,男,21歳,609.5038127586338
2012,日本人,男,22歳,614.9902349177113
2012,日本人,男,23歳,626.9900443795203
2012,日本人,男,24歳,645.9897426940512
2012,日本人,男,25歳,660.9895045213125
2012,日本人,男,26歳,674.9892822267562
2012,日本人,男,27歳,702.4986493426354
2012,日本人,男,28歳,723.9885041958098
2012,日本人,男,29歳,732.4789878652782
2012,日本人,男,30歳,731.4800519084251
2012,日本人,男,31歳,744.4970704807438
2012,日本人,男,32歳,777.9876467739501
2012,日本人,男,33歳,799.9872974539334
2012,日本人,男,34歳,834.9867417175429
2012,日本人,男,35歳,856.9863923975262
2012,日本人,男,36歳,901.4944377968814
2012,日本人,男,37歳,943.9850109956413
2012,日本人,男,38歳,996.4755040593872
2012,日本人,男,39歳,1012.47615403994
2012,日本人,男,40歳,994.9842012083298
2012,日本人,男,41歳,966.984645797442
2012,日本人,男,42歳,939.477248968389
2012,日本人,男,43歳,922.9853444374756
2012,日本人,男,44歳,902.9856620011274
2012,日本人,男,45歳,901.4797969607014
2012,日本人,男,46歳,700.9888693940092
2012,日本人,男,47歳,868.9862018593352
2012,日本人,男,48歳,812.9870910375598
2012,日本人,男,49歳,792.4909129882813
2012,日本人,男,50歳,765.9878373121411
2012,日本人,男,51歳,754.4903516530308
2012,日本人,男,52歳,759.9879325812368
2012,日本人,男,53歳,771.9877420430458
2012,日本人,男,54歳,749.9880913630626
2012,日本人,男,55歳,728.9884248048968
2012,日本人,男,56歳,765.9878373121412
2012,日本人,男,57歳,791.9874244793941
2012,日本人,男,58歳,791.4908806395952
2012,日本人,男,59歳,838.4807900111102
2012,日本人,男,60歳,882.9859795647791
2012,日本人,男,61歳,934.9851538992846
2012,日本人,男,62歳,1002.984074182869
2012,日本人,男,63歳,1094.4931263031738
2012,日本人,男,64歳,1081.4706438234743
2012,日本人,男,65歳,1023.9837407410347
2012,日本人,男,66歳,632.9899491104248
2012,日本人,男,67歳,669.9893616176693
2012,日本人,男,68歳,808.9871545502901
2012,日本人,男,69歳,777.9876467739502
2012,日本人,男,70歳,791.5160033933944
2012,日本人,男,71歳,761.9879008248715
2012,日本人,男,72歳,680.9891869576609
2012,日本人,男,73歳,582.5291509823255
2012,日本人,男,74歳,608.9903301868068
2012,日本人,男,75歳,610.9902984304416
2012,日本人,男,76歳,593.9905683595456
2012,日本人,男,77歳,548.9912828777618
2012,日本人,男,78歳,498.9920767868909
2012,日本人,男,79歳,476.9924261069078
2012,日本人,男,80歳,444.9929342087504
2012,日本人,男,81歳,404.3979831974338
2012,日本人,男,82歳,359.3879338330364
2012,日本人,男,83歳,323.99485546884307
2012,日本人,男,84歳,289.99539532705086
2012,日本人,男,85歳,255.35409144414837
2012,日本人,男,86歳,221.99647504346652
2012,日本人,男,87歳,177.9971736835002
2012,日本人,男,88歳,138.29715329846252
2012,日本人,男,89歳,105.26755928516421
2012,日本人,男,90歳,82.74868608039124
2012,日本人,男,91歳,64.9989679181321
2012,日本人,男,92歳,53.99914257814051
2012,日本人,男,93歳,34.99944426360958
2012,日本人,男,94歳,27.99955541088767
2012,日本人,男,95歳,21.999650679983173
2012,日本人,男,96歳,15.999745949078667
2012,日本人,男,97歳,9.999841218174167
2012,日本人,男,98歳,7.9998729745393335
2012,日本人,男,99歳,4.999920609087083
2012,日本人,男,100歳以上,6.999888852721918
2012,日本人,女,0歳,503.5041058205706
2012,日本人,女,1歳,514.9918227359695
2012,日本人,女,2歳,504.9919815177955
2012,日本人,女,3歳,505.4803683471163
2012,日本人,女,4歳,519.9917433450566
2012,日本人,女,5歳,517.4799796396418
2012,日本人,女,6歳,513.9918386141522
2012,日本人,女,7歳,512.503755677404
2012,日本人,女,8歳,532.9915369286831
2012,日本人,女,9歳,540.9914099032226
2012,日本人,女,10歳,556.9911558523012
2012,日本人,女,11歳,563.991044705023
2012,日本人,女,12歳,567.9909811922927
2012,日本人,女,13歳,570.9909335577449
2012,日本人,女,14歳,580.4789983903426
2012,日本人,女,15歳,578.4794029873143
2012,日本人,女,16歳,573.4785536327001
2012,日本人,女,17歳,589.4774168808308
2012,日本人,女,18歳,591.9906001159109
2012,日本人,女,19歳,579.9907906541017
2012,日本人,女,20歳,584.9907112631888
2012,日本人,女,21歳,577.4773398386399
2012,日本人,女,22歳,584.9907112631888
2012,日本人,女,23歳,597.9905048468153
2012,日本人,女,24歳,614.9902349177113
2012,日本人,女,25歳,630.9899808667899
2012,日本人,女,26歳,644.9897585722339
