年,区分,性別,年齢,人口_千人
2014,日本人,男,0歳,517.0
2014,日本人,男,1歳,527.0
2014,日本人,男,2歳,527.4878758486906
2014,日本人,男,3歳,543.0000000000001
2014,日本人,男,4歳,529.0
2014,日本人,男,5歳,529.5116054158608
2014,日本人,男,6歳,544.0
2014,日本人,男,7歳,542.5118035882908
2014,日本人,男,8歳,539.0
2014,日本人,男,9歳,538.0
2014,日本人,男,10歳,558.0
2014,日本人,男,11歳,569.0
2014,日本人,男,12歳,585.0
2014,日本人,男,13歳,593.0
2014,日本人,男,14歳,600.0
2014,日本人,男,15歳,599.0
2014,日本人,男,16歳,608.0
2014,日本人,男,17歳,605.0
2014,日本人,男,18歳,602.0000000000001
2014,日本人,男,19歳,620.5132450331125
2014,日本人,男,20歳,623.4851485148515
2014,日本人,男,21歳,610.5143338954468
2014,日本人,男,22歳,619.0
2014,日本人,男,23歳,609.0
2014,日本人,男,24歳,614.4875
2014,日本人,男,25歳,626.0
2014,日本人,男,26歳,645.0
2014,日本人,男,27歳,659.0
2014,日本人,男,28歳,673.4886191198785
2014,日本人,男,29歳,700.0
2014,日本人,男,30歳,722.4904862579281
2014,日本人,男,31歳,730.4909470752089
2014,日本人,男,32歳,730.0
2014,日本人,男,33歳,743.0
2014,日本人,男,34歳,776.9999999999999
2014,日本人,男,35歳,798.0
2014,日本人,男,36歳,832.9999999999999
2014,日本人,男,37歳,855.0
2014,日本人,男,38歳,900.0
2014,日本人,男,39歳,942.0
2014,日本人,男,40歳,994.5084398976983
2014,日本人,男,41歳,1009.9999999999999
2014,日本人,男,42歳,992.0000000000001
2014,日本人,男,43歳,964.0000000000001
2014,日本人,男,44歳,937.0000000000001
2014,日本人,男,45歳,919.4942275975811
2014,日本人,男,46歳,899.0000000000001
2014,日本人,男,47歳,897.0
2014,日本人,男,48歳,698.0
2014,日本人,男,49歳,864.0
2014,日本人,男,50歳,809.5040498442368
2014,日本人,男,51歳,787.0
2014,日本人,男,52歳,761.0
