年,区分,性別,年齢,人口_千人
2015,日本人,男,0歳,483.992275835654
2015,日本人,男,1歳,491.9921481635161
2015,日本人,男,2歳,509.48084701252714
2015,日本人,男,3歳,512.991813024154
2015,日本人,男,4歳,528.9915576798782
2015,日本人,男,5歳,531.9915098028264
2015,日本人,男,6歳,536.9914300077402
2015,日本人,男,7歳,547.5034345284455
2015,日本人,男,8歳,543.9913182946194
2015,日本人,男,9歳,538.9913980897057
2015,日本人,男,10歳,540.9913661716712
2015,日本人,男,11歳,558.9910789093608
2015,日本人,男,12歳,570.9908874011538
2015,日本人,男,13歳,587.9906160978607
2015,日本人,男,14歳,596.4775940539334
2015,日本人,男,15歳,612.9902171224296
2015,日本人,男,16歳,611.9902330814468
2015,日本人,男,17歳,620.9900894502917
2015,日本人,男,18歳,615.990169245378
2015,日本人,男,19歳,610.990249040464
2015,日本人,男,20歳,614.9901852043952
2015,日本人,男,21歳,608.9902809584985
2015,日本人,男,22歳,593.9905203437573
2015,日本人,男,23歳,600.9904086306366
2015,日本人,男,24歳,596.9904724667055
2015,日本人,男,25歳,604.9903447945675
2015,日本人,男,26歳,620.9900894502916
2015,日本人,男,27歳,644.4790257478653
2015,日本人,男,28歳,662.9894191715673
2015,日本人,男,29歳,677.4997456667026
2015,日本人,男,30歳,702.9887808108778
2015,日本人,男,31歳,725.9884137534812
2015,日本人,男,32歳,737.9882222452741
2015,日本人,男,33歳,737.4965059547771
2015,日本人,男,34歳,748.9880466960846
2015,日本人,男,35歳,782.9875040894981
2015,日本人,男,36歳,804.9871529911188
2015,日本人,男,37歳,837.9866263435497
2015,日本人,男,38歳,861.986243327136
2015,日本人,男,39歳,904.494287495822
2015,日本人,男,40歳,944.4765890252465
2015,日本人,男,41歳,998.9840569417736
2015,日本人,男,42歳,1012.983833515532
2015,日本人,男,43歳,996.984088859808
2015,日本人,男,44歳,967.9845516713082
2015,日本人,男,45歳,938.9850144828082
2015,日本人,男,46歳,922.9852698270842
2015,日本人,男,47歳,901.9856049664462
2015,日本人,男,48歳,901.4794402049611
2015,日本人,男,49歳,699.9888286879294
2015,日本人,男,50歳,866.9861635320497
2015,日本人,男,51歳,811.4914024218642
2015,日本人,男,52歳,789.9873923763776
2015,日本人,男,53歳,762.987823269843
2015,日本人,男,54歳,750.98801477805
2015,日本人,男,55歳,753.9879669009982
2015,日本人,男,56歳,767.9877434747568
2015,日本人,男,57歳,744.9881105321534
2015,日本人,男,58歳,722.9884616305328
2015,日本人,男,59歳,758.987887105912
2015,日本人,男,60歳,784.483996989335
2015,日本人,男,61歳,780.9875360075328
2015,日本人,男,62歳,826.4790626776518
2015,日本人,男,63歳,870.9860996959807
2015,日本人,男,64歳,918.9853336631531
2015,日本人,男,65歳,980.9843442040838
2015,日本人,男,66歳,1067.9829557695837
2015,日本人,男,67歳,1050.499571653147
2015,日本人,男,68歳,990.9841846139115
2015,日本人,男,69歳,608.9902809584986
2015,日本人,男,70歳,641.9897543109295
2015,日本人,男,71歳,771.456096384824
2015,日本人,男,72歳,737.522026274178
2015,日本人,男,73歳,745.9880945731362
2015,日本人,男,74歳,711.9886371797224
2015,日本人,男,75歳,632.9898979420847
2015,日本人,男,76歳,536.9914300077402
2015,日本人,男,77歳,554.5482128629513
2015,日本人,男,78歳,550.9912065814987
2015,日本人,男,79歳,530.4217296605693
2015,日本人,男,80歳,480.9923237127058
2015,日本人,男,81歳,430.99312166356793
2015,日本人,男,82歳,403.9935525570335
2015,日本人,男,83歳,367.9941270816543
2015,日本人,男,84歳,325.9947973603786
2015,日本人,男,85歳,279.99553147517173
2015,日本人,男,86歳,244.9960900407753
2015,日本人,男,87歳,211.99661668834435
2015,日本人,男,88歳,178.99714333591336
2015,日本人,男,89歳,148.69354532662163
2015,日本人,男,90歳,113.99818067203422
2015,日本人,男,91歳,84.99864348353428
2015,日本人,男,92歳,61.23008341850854
2015,日本人,男,93歳,43.78466708224986
2015,日本人,男,94歳,31.9994893114482
2015,日本人,男,95歳,24.99960102456891
2015,日本人,男,96歳,14.999760614741346
2015,日本人,男,97歳,10.99982445081032
2015,日本人,男,98歳,7.8332083210315915
2015,日本人,男,99歳,5.146976681528893
2015,日本人,男,100歳以上,8.131017775859789
2015,日本人,女,0歳,463.992595015999
2015,日本人,女,1歳,468.9925152209127
2015,日本人,女,2歳,487.50324184728095
2015,日本人,女,3歳,490.9921641225333
2015,日本人,女,4歳,503.9919566553092
2015,日本人,女,5歳,504.991940696292
2015,日本人,女,6歳,510.99184494218855
2015,日本人,女,7歳,521.479505282121
2015,日本人,女,8歳,516.991749188085
2015,日本人,女,9歳,513.9917970651368
2015,日本人,女,10歳,514.9917811061196
2015,日本人,女,11歳,534.9914619257746
2015,日本人,女,12歳,542.9913342536366
2015,日本人,女,13歳,558.9910789093607
2015,日本人,女,14歳,566.5038456090122
2015,日本人,女,15歳,576.9907916470504
2015,日本人,女,16歳,578.990759729016
2015,日本人,女,17歳,586.990632056878
2015,日本人,女,18歳,584.9906639749124
2015,日本人,女,19歳,575.9908076060676
2015,日本人,女,20歳,581.9907118519641
2015,日本人,女,21歳,576.9907916470504
2015,日本人,女,22歳,564.9909831552574
2015,日本人,女,23歳,572.9908554831194
2015,日本人,女,24歳,570.9908874011538
2015,日本人,女,25歳,581.9907118519641
2015,日本人,女,26歳,596.9904724667056
2015,日本人,女,27歳,617.5008339723732
2015,日本人,女,28歳,636.9898341060157
