年,区分,性別,年齢,人口_千人
2017,日本人,男,0歳,485.00389098815054
2017,日本人,男,1歳,506.0040594639261
2017,日本人,男,2歳,483.0038749428386
2017,日本人,男,3歳,491.51593488959645
2017,日本人,男,4歳,509.0040835318941
2017,日本人,男,5歳,513.515585329021
2017,日本人,男,6歳,529.0042439850138
2017,日本人,男,7歳,532.0042680529816
2017,日本人,男,8歳,537.5167168572599
2017,日本人,男,9歳,548.0043964154772
2017,日本人,男,10歳,543.4921191607058
2017,日本人,男,11歳,539.4924797866141
2017,日本人,男,12歳,541.0043402568855
2017,日本人,男,13歳,560.0044926873489
2017,日本人,男,14歳,571.5171523736713
2017,日本人,男,15歳,588.0047173217166
2017,日本人,男,16歳,596.4918988129693
2017,日本人,男,17歳,612.4897877050167
2017,日本人,男,18歳,612.0049098654601
2017,日本人,男,19歳,620.5195009961243
2017,日本人,男,20歳,614.004925910772
2017,日本人,男,21歳,607.4900556937397
2017,日本人,男,22歳,614.5178790652504
2017,日本人,男,23歳,609.5175161727426
2017,日本人,男,24歳,594.0047654576524
2017,日本人,男,25歳,600.5167630932414
2017,日本人,男,26歳,596.0047815029644
2017,日本人,男,27歳,604.0048456842121
2017,日本人,男,28歳,620.0049740467078
2017,日本人,男,29歳,644.0051665904513
2017,日本人,男,30歳,662.0053109982591
2017,日本人,男,31歳,676.0054233154427
2017,日本人,男,32歳,702.0056319044983
2017,日本人,男,33歳,725.5135235799455
2017,日本人,男,34歳,737.0059126974577
2017,日本人,男,35歳,737.0059126974576
2017,日本人,男,36歳,748.0060009466735
2017,日本人,男,37歳,781.4978171020763
2017,日本人,男,38歳,804.515637327641
2017,日本人,男,39歳,836.4982054156906
2017,日本人,男,40歳,860.4983387486734
2017,日本人,男,41歳,903.0072444583503
2017,日本人,男,42歳,944.0075733872457
2017,日本人,男,43歳,997.5166761383127
2017,日本人,男,44歳,1011.5151360360416
2017,日本人,男,45歳,995.0079825427007
2017,日本人,男,46歳,966.0077498856772
2017,日本人,男,47歳,936.0075092059977
2017,日本人,男,48歳,920.0073808435022
2017,日本人,男,49歳,899.0072123677264
2017,日本人,男,50歳,897.5128373575455
2017,日本人,男,51歳,697.0055917912184
2017,日本人,男,52歳,862.0069155294551
2017,日本人,男,53歳,806.5027249236489
2017,日本人,男,54歳,784.509180262457
2017,日本人,男,55歳,758.0060811732332
2017,日本人,男,56歳,745.0059768787054
2017,日本人,男,57歳,748.0060009466733
2017,日本人,男,58歳,761.0061052412011
2017,日本人,男,59歳,737.0059126974577
2017,日本人,男,60歳,715.005736199026
2017,日本人,男,61歳,749.5010559018934
2017,日本人,男,62歳,772.5119520236144
2017,日本人,男,63歳,769.006169422449
2017,日本人,男,64歳,812.0065143966561
