在留資格,人数,総数,構成比,構成比_pct
永住者,902203,1232454,0.7320378691618511,73.20378691618511
永住者の配偶者等,52587,1232454,0.042668529616521185,4.266852961652119
特別永住者,277664,1232454,0.22529360122162775,22.529360122162775
