在留資格,人数,総数,構成比,構成比_pct
永住者,76275,352572,0.21633879037473197,21.633879037473196
永住者の配偶者等,2121,352572,0.006015792518974847,0.6015792518974847
特別永住者,274176,352572,0.7776454171062932,77.76454171062932
