在留資格,国籍・地域,人数,総数,構成比,構成比_pct,順位
永住者,中国,336086,902203,0.37251704993222146,37.25170499322215,1
永住者,フィリピン,140518,902203,0.1557498700403346,15.574987004033462,2
永住者,ブラジル,116014,902203,0.1285896854698998,12.85896854698998,3
永住者,韓国,75926,902203,0.08415622648117996,8.415622648117996,4
永住者,ペルー,33123,902203,0.03671346692484951,3.671346692484951,5
永住者,ベトナム,25919,902203,0.02872856773918952,2.8728567739189517,6
永住者,台湾,25181,902203,0.027910570015839006,2.7910570015839005,7
永住者,タイ,21840,902203,0.024207412300779316,2.4207412300779314,8
永住者,米国,20010,902203,0.02217904396238984,2.217904396238984,9
永住者,インド,8959,902203,0.00993013767411547,0.993013767411547,10
永住者,その他,98627,902203,0.10931796945920154,10.931796945920153,11
永住者の配偶者等,中国,20273,52587,0.38551352995987603,38.55135299598761,1
永住者の配偶者等,フィリピン,9152,52587,0.17403540799056802,17.403540799056803,2
永住者の配偶者等,ブラジル,5694,52587,0.10827771122140453,10.827771122140453,3
永住者の配偶者等,ベトナム,2518,52587,0.04788255652537699,4.788255652537699,4
永住者の配偶者等,ペルー,2406,52587,0.045752752581436476,4.575275258143647,5
永住者の配偶者等,韓国,2118,52587,0.040276113868446574,4.027611386844657,6
永住者の配偶者等,パキスタン,1273,52587,0.02420750375568106,2.420750375568106,7
永住者の配偶者等,ネパール,1105,52587,0.021012797839770284,2.1012797839770285,8
永住者の配偶者等,タイ,776,52587,0.014756498754445015,1.4756498754445015,9
永住者の配偶者等,インド,683,52587,0.012988000836708691,1.298800083670869,10
永住者の配偶者等,その他,6589,52587,0.12529712666628634,12.529712666628633,11
特別永住者,韓国,250881,277664,0.9035416906765011,90.35416906765012,1
特別永住者,朝鮮,23295,277664,0.0838963639506742,8.38963639506742,2
特別永住者,台湾,1030,277664,0.0037095194191540857,0.3709519419154086,3
特別永住者,米国,880,277664,0.0031692981445199954,0.3169298144519995,4
特別永住者,中国,653,277664,0.0023517632822404057,0.23517632822404058,5
特別永住者,オーストラリア,170,277664,0.0006122507779186355,0.06122507779186355,6
特別永住者,カナダ,127,277664,0.00045738734585686297,0.045738734585686294,7
特別永住者,フランス,103,277664,0.0003709519419154086,0.03709519419154086,8
特別永住者,英国,95,277664,0.00034214014060159043,0.034214014060159045,9
特別永住者,無国籍,72,277664,0.0002593062118243633,0.025930621182436327,10
特別永住者,その他,358,277664,0.0012893281087933619,0.1289328108793362,11
