年代,総検挙人員,窃盗犯検挙人員,構成比,構成比_pct
10代(14歳以上),22274,11264,0.5057017150040406,50.57017150040406
20代,33978,11976,0.3524633586438284,35.246335864382836
30代,27774,9180,0.3305249513933895,33.05249513933895
40代,28667,10199,0.35577493284961803,35.577493284961804
50代,27845,12111,0.4349434368827438,43.49434368827438
60代,19211,10718,0.5579095309978658,55.79095309978658
70代以上,32077,22854,0.712473111575272,71.24731115752721
