在留資格,国籍区分,人数,総数,構成比,構成比_pct
永住者,韓国・朝鮮籍,76275,902203,0.08454305738287281,8.45430573828728
永住者,それ以外,825928,902203,0.9154569426171272,91.54569426171271
永住者の配偶者等,韓国・朝鮮籍,2121,52587,0.04033316218837355,4.0333162188373555
永住者の配偶者等,それ以外,50466,52587,0.9596668378116264,95.96668378116264
特別永住者,韓国・朝鮮籍,274176,277664,0.9874380546271753,98.74380546271753
特別永住者,それ以外,3488,277664,0.012561945372824708,1.2561945372824708
