在留資格,国籍区分,人数,総数,構成比,構成比_pct
永住者等全体,韓国・朝鮮籍,352572,1232454,0.2860731516145836,28.60731516145836
永住者等全体,それ以外,879882,1232454,0.7139268483854164,71.39268483854164
