年,属性,罪種00,罪種01,罪種02,検挙人員
2011,在日米軍関係者,その他の刑法犯,,,36
2011,在日米軍関係者,凶悪犯,不同意性交等,,2
2011,在日米軍関係者,凶悪犯,強盗,,4
2011,在日米軍関係者,凶悪犯,放火,,0
2011,在日米軍関係者,凶悪犯,殺人,,1
2011,在日米軍関係者,知能犯,,,1
2011,在日米軍関係者,窃盗犯,,,34
2011,在日米軍関係者,粗暴犯,,,12
2011,在日米軍関係者,風俗犯,,,2
2011,在日米軍関係者以外,その他の刑法犯,,,2182
2011,在日米軍関係者以外,凶悪犯,不同意性交等,,33
2011,在日米軍関係者以外,凶悪犯,強盗,,139
2011,在日米軍関係者以外,凶悪犯,放火,,24
2011,在日米軍関係者以外,凶悪犯,殺人,,48
2011,在日米軍関係者以外,知能犯,,,655
2011,在日米軍関係者以外,窃盗犯,,,5577
2011,在日米軍関係者以外,粗暴犯,,,2054
2011,在日米軍関係者以外,風俗犯,,,177
2012,在日米軍関係者,その他の刑法犯,,,34
2012,在日米軍関係者,凶悪犯,不同意性交等,,3
2012,在日米軍関係者,凶悪犯,強盗,,2
2012,在日米軍関係者,凶悪犯,放火,,0
2012,在日米軍関係者,凶悪犯,殺人,,0
2012,在日米軍関係者,知能犯,,,1
2012,在日米軍関係者,窃盗犯,,,32
2012,在日米軍関係者,粗暴犯,,,20
2012,在日米軍関係者,風俗犯,,,5
2012,在日米軍関係者以外,その他の刑法犯,,,1919
2012,在日米軍関係者以外,凶悪犯,不同意性交等,,32
2012,在日米軍関係者以外,凶悪犯,強盗,,151
2012,在日米軍関係者以外,凶悪犯,放火,,17
2012,在日米軍関係者以外,凶悪犯,殺人,,40
2012,在日米軍関係者以外,知能犯,,,730
2012,在日米軍関係者以外,窃盗犯,,,5023
2012,在日米軍関係者以外,粗暴犯,,,2201
2012,在日米軍関係者以外,風俗犯,,,209
2013,在日米軍関係者,その他の刑法犯,,,19
2013,在日米軍関係者,凶悪犯,不同意性交等,,2
2013,在日米軍関係者,凶悪犯,強盗,,1
2013,在日米軍関係者,凶悪犯,放火,,1
2013,在日米軍関係者,凶悪犯,殺人,,0
2013,在日米軍関係者,知能犯,,,1
2013,在日米軍関係者,窃盗犯,,,33
2013,在日米軍関係者,粗暴犯,,,15
2013,在日米軍関係者,風俗犯,,,3
2013,在日米軍関係者以外,その他の刑法犯,,,1834
2013,在日米軍関係者以外,凶悪犯,不同意性交等,,30
2013,在日米軍関係者以外,凶悪犯,強盗,,161
2013,在日米軍関係者以外,凶悪犯,放火,,9
2013,在日米軍関係者以外,凶悪犯,殺人,,45
2013,在日米軍関係者以外,知能犯,,,834
2013,在日米軍関係者以外,窃盗犯,,,5128
2013,在日米軍関係者以外,粗暴犯,,,2268
2013,在日米軍関係者以外,風俗犯,,,168
2014,在日米軍関係者,その他の刑法犯,,,13
2014,在日米軍関係者,凶悪犯,不同意性交等,,2
2014,在日米軍関係者,凶悪犯,強盗,,3
2014,在日米軍関係者,凶悪犯,放火,,0
2014,在日米軍関係者,凶悪犯,殺人,,0
2014,在日米軍関係者,知能犯,,,0
2014,在日米軍関係者,窃盗犯,,,15
2014,在日米軍関係者,粗暴犯,,,14
2014,在日米軍関係者,風俗犯,,,4
2014,在日米軍関係者以外,その他の刑法犯,,,1663
2014,在日米軍関係者以外,凶悪犯,不同意性交等,,45
2014,在日米軍関係者以外,凶悪犯,強盗,,137
2014,在日米軍関係者以外,凶悪犯,放火,,13
2014,在日米軍関係者以外,凶悪犯,殺人,,47
2014,在日米軍関係者以外,知能犯,,,730
2014,在日米軍関係者以外,窃盗犯,,,5230
2014,在日米軍関係者以外,粗暴犯,,,2394
2014,在日米軍関係者以外,風俗犯,,,209
2015,在日米軍関係者,その他の刑法犯,,,17
2015,在日米軍関係者,凶悪犯,不同意性交等,,5
2015,在日米軍関係者,凶悪犯,強盗,,5
2015,在日米軍関係者,凶悪犯,放火,,0
2015,在日米軍関係者,凶悪犯,殺人,,0
2015,在日米軍関係者,知能犯,,,0
2015,在日米軍関係者,窃盗犯,,,25
2015,在日米軍関係者,粗暴犯,,,30
2015,在日米軍関係者,風俗犯,,,0
2015,在日米軍関係者以外,その他の刑法犯,,,1798
2015,在日米軍関係者以外,凶悪犯,不同意性交等,,50
2015,在日米軍関係者以外,凶悪犯,強盗,,134
2015,在日米軍関係者以外,凶悪犯,放火,,7
2015,在日米軍関係者以外,凶悪犯,殺人,,61
2015,在日米軍関係者以外,知能犯,,,729
2015,在日米軍関係者以外,窃盗犯,,,5316
2015,在日米軍関係者以外,粗暴犯,,,2640
2015,在日米軍関係者以外,風俗犯,,,229
2016,在日米軍関係者,その他の刑法犯,,,17
2016,在日米軍関係者,凶悪犯,不同意性交等,,4
2016,在日米軍関係者,凶悪犯,強盗,,0
2016,在日米軍関係者,凶悪犯,放火,,0
2016,在日米軍関係者,凶悪犯,殺人,,1
2016,在日米軍関係者,知能犯,,,0
2016,在日米軍関係者,窃盗犯,,,29
2016,在日米軍関係者,粗暴犯,,,19
2016,在日米軍関係者,風俗犯,,,2
2016,在日米軍関係者以外,その他の刑法犯,,,1773
2016,在日米軍関係者以外,凶悪犯,不同意性交等,,45
2016,在日米軍関係者以外,凶悪犯,強盗,,153
2016,在日米軍関係者以外,凶悪犯,放火,,8
2016,在日米軍関係者以外,凶悪犯,殺人,,70
2016,在日米軍関係者以外,知能犯,,,701
2016,在日米軍関係者以外,窃盗犯,,,5110
2016,在日米軍関係者以外,粗暴犯,,,2596
2016,在日米軍関係者以外,風俗犯,,,222
2017,在日米軍関係者,その他の刑法犯,,,12
2017,在日米軍関係者,凶悪犯,不同意性交等,,3
2017,在日米軍関係者,凶悪犯,強盗,,2
2017,在日米軍関係者,凶悪犯,放火,,0
2017,在日米軍関係者,凶悪犯,殺人,,0
2017,在日米軍関係者,知能犯,,,3
2017,在日米軍関係者,窃盗犯,,,32
2017,在日米軍関係者,粗暴犯,,,17
2017,在日米軍関係者,風俗犯,,,4
2017,在日米軍関係者以外,その他の刑法犯,,,1749
2017,在日米軍関係者以外,凶悪犯,不同意性交等,,55
2017,在日米軍関係者以外,凶悪犯,強盗,,127
2017,在日米軍関係者以外,凶悪犯,放火,,11
2017,在日米軍関係者以外,凶悪犯,殺人,,59
2017,在日米軍関係者以外,知能犯,,,826
2017,在日米軍関係者以外,窃盗犯,,,4872
2017,在日米軍関係者以外,粗暴犯,,,2581
2017,在日米軍関係者以外,風俗犯,,,227
2018,在日米軍関係者,その他の刑法犯,,,10
2018,在日米軍関係者,凶悪犯,不同意性交等,,1
2018,在日米軍関係者,凶悪犯,強盗,,0
2018,在日米軍関係者,凶悪犯,放火,,0
2018,在日米軍関係者,凶悪犯,殺人,,0
2018,在日米軍関係者,知能犯,,,5
2018,在日米軍関係者,窃盗犯,,,29
2018,在日米軍関係者,粗暴犯,,,17
2018,在日米軍関係者,風俗犯,,,0
2018,在日米軍関係者以外,その他の刑法犯,,,1615
2018,在日米軍関係者以外,凶悪犯,不同意性交等,,58
2018,在日米軍関係者以外,凶悪犯,強盗,,141
2018,在日米軍関係者以外,凶悪犯,放火,,9
2018,在日米軍関係者以外,凶悪犯,殺人,,57
2018,在日米軍関係者以外,知能犯,,,710
2018,在日米軍関係者以外,窃盗犯,,,4583
2018,在日米軍関係者以外,粗暴犯,,,2595
2018,在日米軍関係者以外,風俗犯,,,235
2019,在日米軍関係者,その他の刑法犯,,,29
2019,在日米軍関係者,凶悪犯,不同意性交等,,0
2019,在日米軍関係者,凶悪犯,強盗,,2
2019,在日米軍関係者,凶悪犯,放火,,0
2019,在日米軍関係者,凶悪犯,殺人,,1
2019,在日米軍関係者,知能犯,,,2
2019,在日米軍関係者,窃盗犯,,,22
2019,在日米軍関係者,粗暴犯,,,8
2019,在日米軍関係者,風俗犯,,,3
2019,在日米軍関係者以外,その他の刑法犯,,,1423
2019,在日米軍関係者以外,凶悪犯,不同意性交等,,59
2019,在日米軍関係者以外,凶悪犯,強盗,,121
2019,在日米軍関係者以外,凶悪犯,放火,,19
2019,在日米軍関係者以外,凶悪犯,殺人,,75
2019,在日米軍関係者以外,知能犯,,,671
2019,在日米軍関係者以外,窃盗犯,,,4307
2019,在日米軍関係者以外,粗暴犯,,,2631
2019,在日米軍関係者以外,風俗犯,,,230
2020,在日米軍関係者,その他の刑法犯,,,15
2020,在日米軍関係者,凶悪犯,不同意性交等,,0
2020,在日米軍関係者,凶悪犯,強盗,,3
2020,在日米軍関係者,凶悪犯,放火,,0
2020,在日米軍関係者,凶悪犯,殺人,,0
2020,在日米軍関係者,知能犯,,,1
2020,在日米軍関係者,窃盗犯,,,26
2020,在日米軍関係者,粗暴犯,,,11
2020,在日米軍関係者,風俗犯,,,3
2020,在日米軍関係者以外,その他の刑法犯,,,1567
2020,在日米軍関係者以外,凶悪犯,不同意性交等,,70
2020,在日米軍関係者以外,凶悪犯,強盗,,131
2020,在日米軍関係者以外,凶悪犯,放火,,13
2020,在日米軍関係者以外,凶悪犯,殺人,,82
2020,在日米軍関係者以外,知能犯,,,641
2020,在日米軍関係者以外,窃盗犯,,,4204
2020,在日米軍関係者以外,粗暴犯,,,2504
2020,在日米軍関係者以外,風俗犯,,,258
2021,在日米軍関係者,その他の刑法犯,,,17
2021,在日米軍関係者,凶悪犯,不同意性交等,,10
2021,在日米軍関係者,凶悪犯,強盗,,0
2021,在日米軍関係者,凶悪犯,放火,,0
2021,在日米軍関係者,凶悪犯,殺人,,0
2021,在日米軍関係者,知能犯,,,0
2021,在日米軍関係者,窃盗犯,,,34
2021,在日米軍関係者,粗暴犯,,,10
2021,在日米軍関係者,風俗犯,,,5
2021,在日米軍関係者以外,その他の刑法犯,,,1515
2021,在日米軍関係者以外,凶悪犯,不同意性交等,,87
2021,在日米軍関係者以外,凶悪犯,強盗,,131
2021,在日米軍関係者以外,凶悪犯,放火,,18
2021,在日米軍関係者以外,凶悪犯,殺人,,81
2021,在日米軍関係者以外,知能犯,,,680
2021,在日米軍関係者以外,窃盗犯,,,3975
2021,在日米軍関係者以外,粗暴犯,,,2539
2021,在日米軍関係者以外,風俗犯,,,302
2022,在日米軍関係者,その他の刑法犯,,,33
2022,在日米軍関係者,凶悪犯,不同意性交等,,2
2022,在日米軍関係者,凶悪犯,強盗,,0
2022,在日米軍関係者,凶悪犯,放火,,0
2022,在日米軍関係者,凶悪犯,殺人,,0
2022,在日米軍関係者,知能犯,,,3
2022,在日米軍関係者,窃盗犯,,,23
2022,在日米軍関係者,粗暴犯,,,27
2022,在日米軍関係者,風俗犯,,,3
2022,在日米軍関係者以外,その他の刑法犯,,,1317
2022,在日米軍関係者以外,凶悪犯,不同意性交等,,70
2022,在日米軍関係者以外,凶悪犯,強盗,,139
2022,在日米軍関係者以外,凶悪犯,放火,,17
2022,在日米軍関係者以外,凶悪犯,殺人,,62
2022,在日米軍関係者以外,知能犯,,,688
2022,在日米軍関係者以外,窃盗犯,,,3625
2022,在日米軍関係者以外,粗暴犯,,,2412
2022,在日米軍関係者以外,風俗犯,,,281
2023,在日米軍関係者,その他の刑法犯,,,30
2023,在日米軍関係者,凶悪犯,不同意性交等,,3
2023,在日米軍関係者,凶悪犯,強盗,,0
2023,在日米軍関係者,凶悪犯,放火,,0
2023,在日米軍関係者,凶悪犯,殺人,,0
2023,在日米軍関係者,知能犯,,,6
2023,在日米軍関係者,窃盗犯,,,37
2023,在日米軍関係者,粗暴犯,,,23
2023,在日米軍関係者,風俗犯,,,1
2023,在日米軍関係者以外,その他の刑法犯,,,1475
2023,在日米軍関係者以外,凶悪犯,不同意性交等,,117
2023,在日米軍関係者以外,凶悪犯,強盗,,151
2023,在日米軍関係者以外,凶悪犯,放火,,15
2023,在日米軍関係者以外,凶悪犯,殺人,,75
2023,在日米軍関係者以外,知能犯,,,630
2023,在日米軍関係者以外,窃盗犯,,,4180
2023,在日米軍関係者以外,粗暴犯,,,2691
2023,在日米軍関係者以外,風俗犯,,,292
2024,在日米軍関係者,その他の刑法犯,,,47
2024,在日米軍関係者,凶悪犯,不同意性交等,,4
2024,在日米軍関係者,凶悪犯,強盗,,3
2024,在日米軍関係者,凶悪犯,放火,,0
2024,在日米軍関係者,凶悪犯,殺人,,1
2024,在日米軍関係者,知能犯,,,0
2024,在日米軍関係者,窃盗犯,,,23
2024,在日米軍関係者,粗暴犯,,,27
2024,在日米軍関係者,風俗犯,,,5
2024,在日米軍関係者以外,その他の刑法犯,,,1706
2024,在日米軍関係者以外,凶悪犯,不同意性交等,,162
2024,在日米軍関係者以外,凶悪犯,強盗,,168
2024,在日米軍関係者以外,凶悪犯,放火,,23
2024,在日米軍関係者以外,凶悪犯,殺人,,91
2024,在日米軍関係者以外,知能犯,,,708
2024,在日米軍関係者以外,窃盗犯,,,4469
2024,在日米軍関係者以外,粗暴犯,,,2641
2024,在日米軍関係者以外,風俗犯,,,386
