年,罪種00,罪種01,罪種02,年代,検挙人員
2019,凶悪犯,強盗,,10代(14歳以上),270
2019,凶悪犯,強盗,,20代,504
2019,凶悪犯,強盗,,30代,265
2019,凶悪犯,強盗,,40代,222
2019,凶悪犯,強盗,,50代,166
2019,凶悪犯,強盗,,60代,107
2019,凶悪犯,強盗,,70代以上,70
2019,凶悪犯,放火,,10代(14歳以上),31
2019,凶悪犯,放火,,20代,97
2019,凶悪犯,放火,,30代,79
2019,凶悪犯,放火,,40代,87
2019,凶悪犯,放火,,50代,87
2019,凶悪犯,放火,,60代,84
2019,凶悪犯,放火,,70代以上,54
2019,凶悪犯,殺人,,10代(14歳以上),48
2019,凶悪犯,殺人,,20代,187
2019,凶悪犯,殺人,,30代,187
2019,凶悪犯,殺人,,40代,192
2019,凶悪犯,殺人,,50代,106
2019,凶悪犯,殺人,,60代,83
2019,凶悪犯,殺人,,70代以上,121
2019,知能犯,,,10代(14歳以上),976
2019,知能犯,,,20代,2954
2019,知能犯,,,30代,2048
2019,知能犯,,,40代,1970
2019,知能犯,,,50代,1476
2019,知能犯,,,60代,985
2019,知能犯,,,70代以上,556
2019,窃盗犯,,,10代(14歳以上),11019
2019,窃盗犯,,,20代,13231
2019,窃盗犯,,,30代,10356
2019,窃盗犯,,,40代,12448
2019,窃盗犯,,,50代,11790
2019,窃盗犯,,,60代,12507
2019,窃盗犯,,,70代以上,22793
2019,粗暴犯,,,10代(14歳以上),3543
2019,粗暴犯,,,20代,9599
2019,粗暴犯,,,30代,10174
2019,粗暴犯,,,40代,11254
2019,粗暴犯,,,50代,7257
2019,粗暴犯,,,60代,4795
2019,粗暴犯,,,70代以上,4167
2019,風俗犯,,,10代(14歳以上),519
2019,風俗犯,,,20代,1152
2019,風俗犯,,,30代,1193
2019,風俗犯,,,40代,1060
2019,風俗犯,,,50代,681
2019,風俗犯,,,60代,459
2019,風俗犯,,,70代以上,342
2020,その他の刑法犯,,,10代(14歳以上),3618
2020,その他の刑法犯,,,20代,5602
2020,その他の刑法犯,,,30代,3937
2020,その他の刑法犯,,,40代,4129
2020,その他の刑法犯,,,50代,3321
2020,その他の刑法犯,,,60代,2574
2020,その他の刑法犯,,,70代以上,2789
2020,凶悪犯,不同意性交等,,10代(14歳以上),134
2020,凶悪犯,不同意性交等,,20代,352
2020,凶悪犯,不同意性交等,,30代,305
2020,凶悪犯,不同意性交等,,40代,225
2020,凶悪犯,不同意性交等,,50代,101
2020,凶悪犯,不同意性交等,,60代,33
2020,凶悪犯,不同意性交等,,70代以上,27
2020,凶悪犯,強盗,,10代(14歳以上),341
2020,凶悪犯,強盗,,20代,531
2020,凶悪犯,強盗,,30代,260
2020,凶悪犯,強盗,,40代,213
2020,凶悪犯,強盗,,50代,146
2020,凶悪犯,強盗,,60代,86
2020,凶悪犯,強盗,,70代以上,77
2020,凶悪犯,放火,,10代(14歳以上),34
2020,凶悪犯,放火,,20代,110
2020,凶悪犯,放火,,30代,87
2020,凶悪犯,放火,,40代,109
2020,凶悪犯,放火,,50代,110
2020,凶悪犯,放火,,60代,68
2020,凶悪犯,放火,,70代以上,64
2020,凶悪犯,殺人,,10代(14歳以上),50
2020,凶悪犯,殺人,,20代,176
2020,凶悪犯,殺人,,30代,157
2020,凶悪犯,殺人,,40代,171
2020,凶悪犯,殺人,,50代,143
2020,凶悪犯,殺人,,60代,68
2020,凶悪犯,殺人,,70代以上,113
2020,知能犯,,,10代(14歳以上),792
2020,知能犯,,,20代,2793
2020,知能犯,,,30代,1983
2020,知能犯,,,40代,1971
2020,知能犯,,,50代,1496
2020,知能犯,,,60代,951
2020,知能犯,,,70代以上,561
2020,窃盗犯,,,10代(14歳以上),9403
2020,窃盗犯,,,20代,12202
2020,窃盗犯,,,30代,9583
2020,窃盗犯,,,40代,11594
2020,窃盗犯,,,50代,11341
2020,窃盗犯,,,60代,11589
2020,窃盗犯,,,70代以上,22752
2020,粗暴犯,,,10代(14歳以上),3115
2020,粗暴犯,,,20代,9226
2020,粗暴犯,,,30代,9381
2020,粗暴犯,,,40代,10416
2020,粗暴犯,,,50代,7062
2020,粗暴犯,,,60代,4446
2020,粗暴犯,,,70代以上,4462
2020,風俗犯,,,10代(14歳以上),417
2020,風俗犯,,,20代,1079
2020,風俗犯,,,30代,1145
2020,風俗犯,,,40代,1082
2020,風俗犯,,,50代,726
2020,風俗犯,,,60代,416
2020,風俗犯,,,70代以上,337
2021,その他の刑法犯,,,10代(14歳以上),2848
2021,その他の刑法犯,,,20代,4602
2021,その他の刑法犯,,,30代,3494
2021,その他の刑法犯,,,40代,3785
2021,その他の刑法犯,,,50代,3223
2021,その他の刑法犯,,,60代,2336
2021,その他の刑法犯,,,70代以上,2671
2021,凶悪犯,不同意性交等,,10代(14歳以上),150
2021,凶悪犯,不同意性交等,,20代,392
2021,凶悪犯,不同意性交等,,30代,307
2021,凶悪犯,不同意性交等,,40代,239
2021,凶悪犯,不同意性交等,,50代,98
2021,凶悪犯,不同意性交等,,60代,42
2021,凶悪犯,不同意性交等,,70代以上,23
2021,凶悪犯,強盗,,10代(14歳以上),235
2021,凶悪犯,強盗,,20代,509
2021,凶悪犯,強盗,,30代,255
2021,凶悪犯,強盗,,40代,163
2021,凶悪犯,強盗,,50代,119
2021,凶悪犯,強盗,,60代,104
2021,凶悪犯,強盗,,70代以上,75
2021,凶悪犯,放火,,10代(14歳以上),30
2021,凶悪犯,放火,,20代,88
2021,凶悪犯,放火,,30代,93
2021,凶悪犯,放火,,40代,92
2021,凶悪犯,放火,,50代,104
2021,凶悪犯,放火,,60代,68
2021,凶悪犯,放火,,70代以上,59
2021,凶悪犯,殺人,,10代(14歳以上),40
2021,凶悪犯,殺人,,20代,220
2021,凶悪犯,殺人,,30代,153
2021,凶悪犯,殺人,,40代,155
2021,凶悪犯,殺人,,50代,125
2021,凶悪犯,殺人,,60代,59
2021,凶悪犯,殺人,,70代以上,96
2021,知能犯,,,10代(14歳以上),1084
2021,知能犯,,,20代,4006
2021,知能犯,,,30代,2220
2021,知能犯,,,40代,2088
2021,知能犯,,,50代,1600
2021,知能犯,,,60代,924
2021,知能犯,,,70代以上,561
2021,窃盗犯,,,10代(14歳以上),7599
2021,窃盗犯,,,20代,11424
2021,窃盗犯,,,30代,8949
2021,窃盗犯,,,40代,11161
2021,窃盗犯,,,50代,11227
2021,窃盗犯,,,60代,10974
2021,窃盗犯,,,70代以上,23026
2021,粗暴犯,,,10代(14歳以上),2881
2021,粗暴犯,,,20代,8710
2021,粗暴犯,,,30代,8556
2021,粗暴犯,,,40代,9804
2021,粗暴犯,,,50代,7105
2021,粗暴犯,,,60代,4055
2021,粗暴犯,,,70代以上,4613
2021,風俗犯,,,10代(14歳以上),482
2021,風俗犯,,,20代,1180
2021,風俗犯,,,30代,1126
2021,風俗犯,,,40代,1112
2021,風俗犯,,,50代,708
2021,風俗犯,,,60代,431
2021,風俗犯,,,70代以上,383
2022,その他の刑法犯,,,10代(14歳以上),2883
2022,その他の刑法犯,,,20代,4537
2022,その他の刑法犯,,,30代,3377
2022,その他の刑法犯,,,40代,3567
2022,その他の刑法犯,,,50代,3208
2022,その他の刑法犯,,,60代,2255
2022,その他の刑法犯,,,70代以上,2722
2022,凶悪犯,不同意性交等,,10代(14歳以上),186
2022,凶悪犯,不同意性交等,,20代,428
2022,凶悪犯,不同意性交等,,30代,290
2022,凶悪犯,不同意性交等,,40代,251
2022,凶悪犯,不同意性交等,,50代,117
2022,凶悪犯,不同意性交等,,60代,41
2022,凶悪犯,不同意性交等,,70代以上,26
2022,凶悪犯,強盗,,10代(14歳以上),245
2022,凶悪犯,強盗,,20代,403
2022,凶悪犯,強盗,,30代,194
2022,凶悪犯,強盗,,40代,177
2022,凶悪犯,強盗,,50代,161
2022,凶悪犯,強盗,,60代,69
2022,凶悪犯,強盗,,70代以上,73
2022,凶悪犯,放火,,10代(14歳以上),40
2022,凶悪犯,放火,,20代,84
2022,凶悪犯,放火,,30代,91
2022,凶悪犯,放火,,40代,99
2022,凶悪犯,放火,,50代,107
2022,凶悪犯,放火,,60代,61
2022,凶悪犯,放火,,70代以上,50
2022,凶悪犯,殺人,,10代(14歳以上),51
2022,凶悪犯,殺人,,20代,171
2022,凶悪犯,殺人,,30代,170
2022,凶悪犯,殺人,,40代,133
2022,凶悪犯,殺人,,50代,116
2022,凶悪犯,殺人,,60代,59
2022,凶悪犯,殺人,,70代以上,85
2022,知能犯,,,10代(14歳以上),895
2022,知能犯,,,20代,4221
2022,知能犯,,,30代,2273
2022,知能犯,,,40代,1974
2022,知能犯,,,50代,1584
2022,知能犯,,,60代,918
2022,知能犯,,,70代以上,669
2022,窃盗犯,,,10代(14歳以上),7695
2022,窃盗犯,,,20代,10636
2022,窃盗犯,,,30代,8385
2022,窃盗犯,,,40代,10028
2022,窃盗犯,,,50代,10771
2022,窃盗犯,,,60代,9991
2022,窃盗犯,,,70代以上,21728
2022,粗暴犯,,,10代(14歳以上),2880
2022,粗暴犯,,,20代,8601
2022,粗暴犯,,,30代,8587
2022,粗暴犯,,,40代,9567
2022,粗暴犯,,,50代,7409
2022,粗暴犯,,,60代,4050
2022,粗暴犯,,,70代以上,4588
2022,風俗犯,,,10代(14歳以上),501
2022,風俗犯,,,20代,1184
2022,風俗犯,,,30代,1233
2022,風俗犯,,,40代,1030
2022,風俗犯,,,50代,734
2022,風俗犯,,,60代,408
2022,風俗犯,,,70代以上,342
2023,その他の刑法犯,,,10代(14歳以上),3548
2023,その他の刑法犯,,,20代,4825
2023,その他の刑法犯,,,30代,3499
2023,その他の刑法犯,,,40代,3670
2023,その他の刑法犯,,,50代,3533
2023,その他の刑法犯,,,60代,2310
2023,その他の刑法犯,,,70代以上,2836
2023,凶悪犯,不同意性交等,,10代(14歳以上),199
2023,凶悪犯,不同意性交等,,20代,559
2023,凶悪犯,不同意性交等,,30代,470
2023,凶悪犯,不同意性交等,,40代,337
2023,凶悪犯,不同意性交等,,50代,190
2023,凶悪犯,不同意性交等,,60代,74
2023,凶悪犯,不同意性交等,,70代以上,46
2023,凶悪犯,強盗,,10代(14歳以上),341
2023,凶悪犯,強盗,,20代,497
2023,凶悪犯,強盗,,30代,243
2023,凶悪犯,強盗,,40代,166
2023,凶悪犯,強盗,,50代,168
2023,凶悪犯,強盗,,60代,100
2023,凶悪犯,強盗,,70代以上,86
2023,凶悪犯,放火,,10代(14歳以上),45
2023,凶悪犯,放火,,20代,78
2023,凶悪犯,放火,,30代,105
2023,凶悪犯,放火,,40代,116
2023,凶悪犯,放火,,50代,93
2023,凶悪犯,放火,,60代,55
2023,凶悪犯,放火,,70代以上,84
2023,凶悪犯,殺人,,10代(14歳以上),45
2023,凶悪犯,殺人,,20代,168
2023,凶悪犯,殺人,,30代,155
2023,凶悪犯,殺人,,40代,134
2023,凶悪犯,殺人,,50代,124
2023,凶悪犯,殺人,,60代,70
2023,凶悪犯,殺人,,70代以上,112
2023,知能犯,,,10代(14歳以上),924
2023,知能犯,,,20代,3648
2023,知能犯,,,30代,2158
2023,知能犯,,,40代,1967
2023,知能犯,,,50代,1665
2023,知能犯,,,60代,965
2023,知能犯,,,70代以上,640
2023,窃盗犯,,,10代(14歳以上),10021
2023,窃盗犯,,,20代,11595
2023,窃盗犯,,,30代,8914
2023,窃盗犯,,,40代,10224
2023,窃盗犯,,,50代,11614
2023,窃盗犯,,,60代,10328
2023,窃盗犯,,,70代以上,22839
2023,粗暴犯,,,10代(14歳以上),3616
2023,粗暴犯,,,20代,9218
2023,粗暴犯,,,30代,9083
2023,粗暴犯,,,40代,10199
2023,粗暴犯,,,50代,8278
2023,粗暴犯,,,60代,4415
2023,粗暴犯,,,70代以上,5037
2023,風俗犯,,,10代(14歳以上),660
2023,風俗犯,,,20代,1523
2023,風俗犯,,,30代,1468
2023,風俗犯,,,40代,1280
2023,風俗犯,,,50代,968
2023,風俗犯,,,60代,465
2023,風俗犯,,,70代以上,476
2024,その他の刑法犯,,,10代(14歳以上),3851
2024,その他の刑法犯,,,20代,5085
2024,その他の刑法犯,,,30代,3559
2024,その他の刑法犯,,,40代,3761
2024,その他の刑法犯,,,50代,3616
2024,その他の刑法犯,,,60代,2372
2024,その他の刑法犯,,,70代以上,2876
2024,凶悪犯,不同意性交等,,10代(14歳以上),311
2024,凶悪犯,不同意性交等,,20代,1037
2024,凶悪犯,不同意性交等,,30代,743
2024,凶悪犯,不同意性交等,,40代,585
2024,凶悪犯,不同意性交等,,50代,249
2024,凶悪犯,不同意性交等,,60代,100
2024,凶悪犯,不同意性交等,,70代以上,61
2024,凶悪犯,強盗,,10代(14歳以上),481
2024,凶悪犯,強盗,,20代,542
2024,凶悪犯,強盗,,30代,224
2024,凶悪犯,強盗,,40代,186
2024,凶悪犯,強盗,,50代,169
2024,凶悪犯,強盗,,60代,85
2024,凶悪犯,強盗,,70代以上,93
2024,凶悪犯,放火,,10代(14歳以上),31
2024,凶悪犯,放火,,20代,85
2024,凶悪犯,放火,,30代,80
2024,凶悪犯,放火,,40代,93
2024,凶悪犯,放火,,50代,106
2024,凶悪犯,放火,,60代,53
2024,凶悪犯,放火,,70代以上,63
2024,凶悪犯,殺人,,10代(14歳以上),57
2024,凶悪犯,殺人,,20代,211
2024,凶悪犯,殺人,,30代,189
2024,凶悪犯,殺人,,40代,157
2024,凶悪犯,殺人,,50代,124
2024,凶悪犯,殺人,,60代,81
2024,凶悪犯,殺人,,70代以上,104
2024,知能犯,,,10代(14歳以上),954
2024,知能犯,,,20代,3229
2024,知能犯,,,30代,2265
2024,知能犯,,,40代,1948
2024,知能犯,,,50代,1645
2024,知能犯,,,60代,852
2024,知能犯,,,70代以上,653
2024,窃盗犯,,,10代(14歳以上),11264
2024,窃盗犯,,,20代,11976
2024,窃盗犯,,,30代,9180
2024,窃盗犯,,,40代,10199
2024,窃盗犯,,,50代,12111
2024,窃盗犯,,,60代,10718
2024,窃盗犯,,,70代以上,22854
2024,粗暴犯,,,10代(14歳以上),4074
2024,粗暴犯,,,20代,9279
2024,粗暴犯,,,30代,8982
2024,粗暴犯,,,40代,9621
2024,粗暴犯,,,50代,8381
2024,粗暴犯,,,60代,4276
2024,粗暴犯,,,70代以上,4871
2024,風俗犯,,,10代(14歳以上),1251
2024,風俗犯,,,20代,2534
2024,風俗犯,,,30代,2552
2024,風俗犯,,,40代,2117
2024,風俗犯,,,50代,1444
2024,風俗犯,,,60代,674
2024,風俗犯,,,70代以上,502
