年,在留資格,罪種00,罪種01,罪種02,検挙人員
2013,その他,その他の刑法犯,,,278.0
2013,その他,凶悪犯,不同意性交等,,1.0
2013,その他,凶悪犯,強盗,,27.0
2013,その他,凶悪犯,殺人,,6.0
2013,その他,知能犯,,,115.0
2013,その他,窃盗犯,,,774.0
2013,その他,粗暴犯,,,256.0
2013,その他,風俗犯,,,31.0
2013,定住者,その他の刑法犯,,,222.0
2013,定住者,凶悪犯,不同意性交等,,4.0
2013,定住者,凶悪犯,強盗,,23.0
2013,定住者,凶悪犯,放火,,2.0
2013,定住者,凶悪犯,殺人,,1.0
2013,定住者,知能犯,,,87.0
2013,定住者,窃盗犯,,,587.0
2013,定住者,粗暴犯,,,287.0
2013,定住者,風俗犯,,,14.0
2013,技能実習,その他の刑法犯,,,51.0
2013,技能実習,凶悪犯,不同意性交等,,3.0
2013,技能実習,凶悪犯,強盗,,7.0
2013,技能実習,凶悪犯,殺人,,5.0
2013,技能実習,知能犯,,,27.0
2013,技能実習,窃盗犯,,,292.0
2013,技能実習,粗暴犯,,,22.0
2013,技能実習,風俗犯,,,4.0
2013,日本人の配偶者等,その他の刑法犯,,,124.0
2013,日本人の配偶者等,凶悪犯,不同意性交等,,2.0
2013,日本人の配偶者等,凶悪犯,強盗,,9.0
2013,日本人の配偶者等,凶悪犯,放火,,2.0
2013,日本人の配偶者等,凶悪犯,殺人,,4.0
2013,日本人の配偶者等,知能犯,,,175.0
2013,日本人の配偶者等,窃盗犯,,,397.0
2013,日本人の配偶者等,粗暴犯,,,279.0
2013,日本人の配偶者等,風俗犯,,,16.0
2013,留学,その他の刑法犯,,,288.0
2013,留学,凶悪犯,不同意性交等,,1.0
2013,留学,凶悪犯,強盗,,9.0
2013,留学,凶悪犯,殺人,,1.0
2013,留学,知能犯,,,111.0
2013,留学,窃盗犯,,,579.0
2013,留学,粗暴犯,,,132.0
2013,留学,風俗犯,,,9.0
2013,短期滞在,その他の刑法犯,,,72.0
2013,短期滞在,凶悪犯,不同意性交等,,2.0
2013,短期滞在,凶悪犯,強盗,,11.0
2013,短期滞在,知能犯,,,24.0
2013,短期滞在,窃盗犯,,,183.0
2013,短期滞在,粗暴犯,,,57.0
2013,短期滞在,風俗犯,,,7.0
2014,その他,その他の刑法犯,,,238.0
2014,その他,凶悪犯,不同意性交等,,9.0
2014,その他,凶悪犯,強盗,,12.0
2014,その他,凶悪犯,殺人,,6.0
2014,その他,知能犯,,,92.0
2014,その他,窃盗犯,,,747.0
2014,その他,粗暴犯,,,266.0
2014,その他,風俗犯,,,41.0
2014,定住者,その他の刑法犯,,,205.0
2014,定住者,凶悪犯,不同意性交等,,4.0
2014,定住者,凶悪犯,強盗,,15.0
2014,定住者,凶悪犯,放火,,1.0
2014,定住者,凶悪犯,殺人,,8.0
2014,定住者,知能犯,,,73.0
2014,定住者,窃盗犯,,,537.0
2014,定住者,粗暴犯,,,327.0
2014,定住者,風俗犯,,,28.0
2014,技能実習,その他の刑法犯,,,63.0
2014,技能実習,凶悪犯,不同意性交等,,2.0
2014,技能実習,凶悪犯,強盗,,5.0
2014,技能実習,凶悪犯,殺人,,3.0
2014,技能実習,知能犯,,,25.0
2014,技能実習,窃盗犯,,,367.0
2014,技能実習,粗暴犯,,,37.0
2014,技能実習,風俗犯,,,5.0
2014,日本人の配偶者等,その他の刑法犯,,,113.0
2014,日本人の配偶者等,凶悪犯,不同意性交等,,6.0
2014,日本人の配偶者等,凶悪犯,強盗,,8.0
2014,日本人の配偶者等,凶悪犯,放火,,2.0
2014,日本人の配偶者等,凶悪犯,殺人,,6.0
2014,日本人の配偶者等,知能犯,,,163.0
2014,日本人の配偶者等,窃盗犯,,,380.0
2014,日本人の配偶者等,粗暴犯,,,280.0
2014,日本人の配偶者等,風俗犯,,,19.0
2014,留学,その他の刑法犯,,,279.0
2014,留学,凶悪犯,不同意性交等,,5.0
2014,留学,凶悪犯,強盗,,19.0
2014,留学,凶悪犯,放火,,1.0
2014,留学,凶悪犯,殺人,,5.0
2014,留学,知能犯,,,78.0
2014,留学,窃盗犯,,,748.0
2014,留学,粗暴犯,,,120.0
2014,留学,風俗犯,,,19.0
2014,短期滞在,その他の刑法犯,,,88.0
2014,短期滞在,凶悪犯,不同意性交等,,1.0
2014,短期滞在,凶悪犯,強盗,,12.0
2014,短期滞在,凶悪犯,放火,,1.0
2014,短期滞在,知能犯,,,23.0
2014,短期滞在,窃盗犯,,,233.0
2014,短期滞在,粗暴犯,,,52.0
2014,短期滞在,風俗犯,,,10.0
2015,その他,その他の刑法犯,,,266.0
2015,その他,凶悪犯,不同意性交等,,14.0
2015,その他,凶悪犯,強盗,,18.0
2015,その他,凶悪犯,放火,,1.0
2015,その他,凶悪犯,殺人,,4.0
2015,その他,知能犯,,,80.0
2015,その他,窃盗犯,,,669.0
2015,その他,粗暴犯,,,320.0
2015,その他,風俗犯,,,54.0
2015,定住者,その他の刑法犯,,,191.0
2015,定住者,凶悪犯,不同意性交等,,7.0
2015,定住者,凶悪犯,強盗,,20.0
2015,定住者,凶悪犯,放火,,3.0
2015,定住者,凶悪犯,殺人,,8.0
2015,定住者,知能犯,,,63.0
2015,定住者,窃盗犯,,,532.0
2015,定住者,粗暴犯,,,371.0
2015,定住者,風俗犯,,,12.0
2015,技能実習,その他の刑法犯,,,83.0
2015,技能実習,凶悪犯,不同意性交等,,3.0
2015,技能実習,凶悪犯,強盗,,4.0
2015,技能実習,凶悪犯,殺人,,8.0
2015,技能実習,知能犯,,,42.0
2015,技能実習,窃盗犯,,,428.0
2015,技能実習,粗暴犯,,,34.0
2015,技能実習,風俗犯,,,2.0
2015,日本人の配偶者等,その他の刑法犯,,,117.0
2015,日本人の配偶者等,凶悪犯,不同意性交等,,4.0
2015,日本人の配偶者等,凶悪犯,強盗,,10.0
2015,日本人の配偶者等,凶悪犯,放火,,1.0
2015,日本人の配偶者等,凶悪犯,殺人,,7.0
2015,日本人の配偶者等,知能犯,,,148.0
2015,日本人の配偶者等,窃盗犯,,,349.0
2015,日本人の配偶者等,粗暴犯,,,274.0
2015,日本人の配偶者等,風俗犯,,,18.0
2015,留学,その他の刑法犯,,,323.0
2015,留学,凶悪犯,不同意性交等,,4.0
2015,留学,凶悪犯,強盗,,23.0
2015,留学,凶悪犯,殺人,,11.0
2015,留学,知能犯,,,72.0
2015,留学,窃盗犯,,,917.0
2015,留学,粗暴犯,,,178.0
2015,留学,風俗犯,,,20.0
2015,短期滞在,その他の刑法犯,,,85.0
2015,短期滞在,凶悪犯,不同意性交等,,2.0
2015,短期滞在,凶悪犯,強盗,,11.0
2015,短期滞在,凶悪犯,殺人,,4.0
2015,短期滞在,知能犯,,,24.0
2015,短期滞在,窃盗犯,,,273.0
2015,短期滞在,粗暴犯,,,61.0
2015,短期滞在,風俗犯,,,14.0
2016,その他,その他の刑法犯,,,243.0
2016,その他,凶悪犯,不同意性交等,,12.0
2016,その他,凶悪犯,強盗,,16.0
2016,その他,凶悪犯,放火,,1.0
2016,その他,凶悪犯,殺人,,13.0
2016,その他,知能犯,,,77.0
2016,その他,窃盗犯,,,682.0
2016,その他,粗暴犯,,,319.0
2016,その他,風俗犯,,,48.0
2016,定住者,その他の刑法犯,,,155.0
2016,定住者,凶悪犯,不同意性交等,,9.0
2016,定住者,凶悪犯,強盗,,21.0
2016,定住者,凶悪犯,放火,,1.0
2016,定住者,凶悪犯,殺人,,3.0
2016,定住者,知能犯,,,59.0
2016,定住者,窃盗犯,,,472.0
2016,定住者,粗暴犯,,,346.0
2016,定住者,風俗犯,,,21.0
2016,技能実習,その他の刑法犯,,,98.0
2016,技能実習,凶悪犯,不同意性交等,,1.0
2016,技能実習,凶悪犯,強盗,,12.0
2016,技能実習,凶悪犯,殺人,,8.0
2016,技能実習,知能犯,,,50.0
2016,技能実習,窃盗犯,,,463.0
2016,技能実習,粗暴犯,,,39.0
2016,技能実習,風俗犯,,,7.0
