年,出典,日本人人口,外国人人口,総人口,日本人構成比_pct,外国人構成比_pct
2024,実データ,120296000.0,4251621.712852029,124547621.71285203,96.5863485352982,3.4136514647017986
2040,将来推計,106982000.0,5855000.0,112837000.0,94.81109919618564,5.188900803814351
2070,将来推計,77606000.0,9390000.0,86996000.0,89.2064002942664,10.793599705733598
