年,年代,人数,年別合計人数,年代構成比
2019,25~29歳,4007169.0,31187179.0,0.12848770323215192
2019,30~34歳,3981469.0,31187179.0,0.127663646654287
2019,35~39歳,3571529.0,31187179.0,0.11451914262588482
2019,40~44歳,2826860.0,31187179.0,0.09064173454097917
2019,45~49歳,2555217.0,31187179.0,0.0819316488996969
2019,50~54歳,2222187.0,31187179.0,0.07125322235781568
2019,55~59歳,1993995.0,31187179.0,0.06393636949337418
2019,5~9歳,1025634.0,31187179.0,0.032886398606299085
2019,60~64歳,1524573.0,31187179.0,0.04888460735740158
2019,65~69歳,971550.0,31187179.0,0.031152224444538572
2019,70歳以上,851955.0,31187179.0,0.027317475556221358
2020,0~4歳,98129.0,4307257.0,0.02278224865616331
2020,10~14歳,146692.0,4307257.0,0.03405694157557815
2020,15~19歳,201257.0,4307257.0,0.04672509673790071
2020,20~24歳,467231.0,4307257.0,0.10847530110230247
2020,25~29歳,602830.0,4307257.0,0.13995682170810797
2020,30~34歳,562719.0,4307257.0,0.13064439851162818
2020,35~39歳,492612.0,4307257.0,0.11436791442906703
2020,40~44歳,393130.0,4307257.0,0.09127154474413762
2020,45~49歳,332958.0,4307257.0,0.07730163303466685
2020,50~54歳,277774.0,4307257.0,0.064489766921268
2020,55~59歳,229636.0,4307257.0,0.05331374468716401
2020,5~9歳,167778.0,4307257.0,0.038952400564907085
2020,60~64歳,161718.0,4307257.0,0.03754547267553341
2020,65~69歳,97665.0,4307257.0,0.022674523484435685
2020,70歳以上,75128.0,4307257.0,0.01744219116713955
2021,0~4歳,9185.0,353119.0,0.026011061426884422
2021,10~14歳,4932.0,353119.0,0.013966962978486007
2021,15~19歳,14173.0,353119.0,0.040136611170738475
2021,20~24歳,45797.0,353119.0,0.12969282309929514
2021,25~29歳,52041.0,353119.0,0.14737524743783256
2021,30~34歳,49819.0,353119.0,0.14108275114055036
2021,35~39歳,39871.0,353119.0,0.11291094503552626
2021,40~44歳,33453.0,353119.0,0.09473576896173812
2021,45~49歳,28856.0,353119.0,0.08171749466893596
2021,50~54歳,25808.0,353119.0,0.07308584358247502
2021,55~59歳,19798.0,353119.0,0.056066085370654085
2021,5~9歳,6348.0,353119.0,0.017976942617078096
2021,60~64歳,12355.0,353119.0,0.03498820510932575
2021,65~69歳,6407.0,353119.0,0.018144025102019432
2021,70歳以上,4276.0,353119.0,0.012109232298460292
