年,正規・非正規区分,正規・非正規詳細,在留資格,罪種00,罪種01,罪種02,検挙人員
2013,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,殺人,,4
2013,正規滞在,正規滞在,技能実習,凶悪犯,殺人,,5
2013,正規滞在,正規滞在,留学,凶悪犯,殺人,,1
2013,正規滞在,正規滞在,定住者,凶悪犯,殺人,,1
2013,正規滞在,正規滞在,その他,凶悪犯,殺人,,5
2013,不法滞在,不法入国・上陸,,凶悪犯,殺人,,1
2013,正規滞在,正規滞在,短期滞在,凶悪犯,強盗,侵入強盗,1
2013,正規滞在,正規滞在,留学,凶悪犯,強盗,侵入強盗,1
2013,正規滞在,正規滞在,定住者,凶悪犯,強盗,侵入強盗,10
2013,不法滞在,不法入国・上陸,,凶悪犯,強盗,侵入強盗,1
2013,不法滞在,不法残留,技能実習,凶悪犯,強盗,侵入強盗,2
2013,不法滞在,不法残留,研修,凶悪犯,強盗,侵入強盗,1
2013,不法滞在,不法残留,その他,凶悪犯,強盗,侵入強盗,4
2013,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,放火,,2
2013,正規滞在,正規滞在,定住者,凶悪犯,放火,,2
2013,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強姦,,2
2013,正規滞在,正規滞在,技能実習,凶悪犯,強姦,,3
2013,正規滞在,正規滞在,短期滞在,凶悪犯,強姦,,1
2013,正規滞在,正規滞在,留学,凶悪犯,強姦,,1
2013,正規滞在,正規滞在,定住者,凶悪犯,強姦,,4
2013,正規滞在,正規滞在,その他,凶悪犯,強姦,,1
2013,不法滞在,不法残留,短期滞在,凶悪犯,強姦,,1
2013,正規滞在,正規滞在,日本人の配偶者等,粗暴犯,,,279
2013,正規滞在,正規滞在,興行,粗暴犯,,,6
2013,正規滞在,正規滞在,技能実習,粗暴犯,,,22
2013,正規滞在,正規滞在,短期滞在,粗暴犯,,,54
2013,正規滞在,正規滞在,留学,粗暴犯,,,125
2013,正規滞在,正規滞在,研修,粗暴犯,,,15
2013,正規滞在,正規滞在,定住者,粗暴犯,,,287
2013,正規滞在,正規滞在,その他,粗暴犯,,,202
2013,不法滞在,不法入国・上陸,,粗暴犯,,,4
2013,不法滞在,不法在留,,粗暴犯,,,5
2013,不法滞在,不法残留,短期滞在,粗暴犯,,,3
2013,不法滞在,不法残留,留学,粗暴犯,,,7
2013,不法滞在,不法残留,研修,粗暴犯,,,4
2013,不法滞在,不法残留,その他,粗暴犯,,,20
2013,正規滞在,正規滞在,日本人の配偶者等,窃盗犯,侵入盗,,14
2013,正規滞在,正規滞在,技能実習,窃盗犯,侵入盗,,7
2013,正規滞在,正規滞在,短期滞在,窃盗犯,侵入盗,,10
2013,正規滞在,正規滞在,留学,窃盗犯,侵入盗,,23
2013,正規滞在,正規滞在,研修,窃盗犯,侵入盗,,2
2013,正規滞在,正規滞在,定住者,窃盗犯,侵入盗,,46
2013,正規滞在,正規滞在,その他,窃盗犯,侵入盗,,22
2013,不法滞在,不法入国・上陸,,窃盗犯,侵入盗,,6
2013,不法滞在,不法在留,,窃盗犯,侵入盗,,6
2013,不法滞在,不法残留,技能実習,窃盗犯,侵入盗,,4
2013,不法滞在,不法残留,短期滞在,窃盗犯,侵入盗,,3
2013,不法滞在,不法残留,留学,窃盗犯,侵入盗,,11
2013,不法滞在,不法残留,研修,窃盗犯,侵入盗,,1
2013,不法滞在,不法残留,その他,窃盗犯,侵入盗,,3
2013,正規滞在,正規滞在,日本人の配偶者等,知能犯,,,175
2013,正規滞在,正規滞在,興行,知能犯,,,1
2013,正規滞在,正規滞在,技能実習,知能犯,,,26
2013,正規滞在,正規滞在,短期滞在,知能犯,,,19
2013,正規滞在,正規滞在,留学,知能犯,,,98
2013,正規滞在,正規滞在,研修,知能犯,,,9
2013,正規滞在,正規滞在,定住者,知能犯,,,87
2013,正規滞在,正規滞在,その他,知能犯,,,62
2013,不法滞在,不法入国・上陸,,知能犯,,,18
2013,不法滞在,不法在留,,知能犯,,,3
2013,不法滞在,不法残留,技能実習,知能犯,,,1
2013,不法滞在,不法残留,短期滞在,知能犯,,,5
2013,不法滞在,不法残留,留学,知能犯,,,13
2013,不法滞在,不法残留,研修,知能犯,,,3
2013,不法滞在,不法残留,その他,知能犯,,,19
2013,正規滞在,正規滞在,日本人の配偶者等,風俗犯,,,16
2013,正規滞在,正規滞在,技能実習,風俗犯,,,4
2013,正規滞在,正規滞在,短期滞在,風俗犯,,,6
2013,正規滞在,正規滞在,留学,風俗犯,,,9
2013,正規滞在,正規滞在,研修,風俗犯,,,1
2013,正規滞在,正規滞在,定住者,風俗犯,,,14
2013,正規滞在,正規滞在,その他,風俗犯,,,29
2013,不法滞在,不法入国・上陸,,風俗犯,,,1
2013,不法滞在,不法残留,短期滞在,風俗犯,,,1
2013,正規滞在,正規滞在,日本人の配偶者等,その他の刑法犯,,,124
2013,正規滞在,正規滞在,興行,その他の刑法犯,,,4
2013,正規滞在,正規滞在,技能実習,その他の刑法犯,,,50
2013,正規滞在,正規滞在,短期滞在,その他の刑法犯,,,62
2013,正規滞在,正規滞在,留学,その他の刑法犯,,,283
2013,正規滞在,正規滞在,研修,その他の刑法犯,,,14
