年,正規・非正規区分,正規・非正規詳細,在留資格,罪種00,罪種01,罪種02,検挙人員
2017,正規滞在,正規滞在,短期滞在,凶悪犯,殺人,,2
2017,正規滞在,正規滞在,技能実習,凶悪犯,殺人,,15
2017,正規滞在,正規滞在,留学,凶悪犯,殺人,,4
2017,正規滞在,正規滞在,研修,凶悪犯,殺人,,1
2017,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,殺人,,1
2017,正規滞在,正規滞在,定住者,凶悪犯,殺人,,2
2017,正規滞在,正規滞在,その他,凶悪犯,殺人,,5
2017,不法滞在,不法在留,,凶悪犯,殺人,,2
2017,不法滞在,不法残留,短期滞在,凶悪犯,殺人,,1
2017,不法滞在,不法残留,技能実習,凶悪犯,殺人,,1
2017,不法滞在,不法残留,その他,凶悪犯,殺人,,1
2017,正規滞在,正規滞在,短期滞在,凶悪犯,強盗,侵入強盗,5
2017,正規滞在,正規滞在,留学,凶悪犯,強盗,侵入強盗,2
2017,正規滞在,正規滞在,研修,凶悪犯,強盗,侵入強盗,1
2017,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強盗,侵入強盗,1
2017,正規滞在,正規滞在,定住者,凶悪犯,強盗,侵入強盗,4
2017,正規滞在,正規滞在,その他,凶悪犯,強盗,侵入強盗,1
2017,不法滞在,不法在留,,凶悪犯,強盗,侵入強盗,1
2017,不法滞在,不法残留,その他,凶悪犯,強盗,侵入強盗,1
2017,正規滞在,正規滞在,短期滞在,凶悪犯,放火,,1
2017,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,放火,,2
2017,正規滞在,正規滞在,定住者,凶悪犯,放火,,2
2017,正規滞在,正規滞在,短期滞在,凶悪犯,強制性交等,,4
2017,正規滞在,正規滞在,技能実習,凶悪犯,強制性交等,,1
2017,正規滞在,正規滞在,留学,凶悪犯,強制性交等,,5
2017,正規滞在,正規滞在,研修,凶悪犯,強制性交等,,1
2017,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強制性交等,,4
2017,正規滞在,正規滞在,定住者,凶悪犯,強制性交等,,8
2017,正規滞在,正規滞在,その他,凶悪犯,強制性交等,,11
2017,不法滞在,不法残留,その他,凶悪犯,強制性交等,,2
2017,正規滞在,正規滞在,短期滞在,粗暴犯,,,66
2017,正規滞在,正規滞在,技能実習,粗暴犯,,,43
2017,正規滞在,正規滞在,興行,粗暴犯,,,2
2017,正規滞在,正規滞在,留学,粗暴犯,,,174
2017,正規滞在,正規滞在,研修,粗暴犯,,,7
2017,正規滞在,正規滞在,日本人の配偶者等,粗暴犯,,,248
2017,正規滞在,正規滞在,定住者,粗暴犯,,,341
2017,正規滞在,正規滞在,その他,粗暴犯,,,317
2017,不法滞在,不法入国・上陸,,粗暴犯,,,1
2017,不法滞在,不法在留,,粗暴犯,,,6
2017,不法滞在,不法残留,短期滞在,粗暴犯,,,6
2017,不法滞在,不法残留,技能実習,粗暴犯,,,7
2017,不法滞在,不法残留,興行,粗暴犯,,,1
2017,不法滞在,不法残留,留学,粗暴犯,,,6
2017,不法滞在,不法残留,その他,粗暴犯,,,8
2017,正規滞在,正規滞在,短期滞在,窃盗犯,侵入盗,,15
2017,正規滞在,正規滞在,技能実習,窃盗犯,侵入盗,,11
2017,正規滞在,正規滞在,留学,窃盗犯,侵入盗,,42
2017,正規滞在,正規滞在,研修,窃盗犯,侵入盗,,3
2017,正規滞在,正規滞在,日本人の配偶者等,窃盗犯,侵入盗,,11
2017,正規滞在,正規滞在,定住者,窃盗犯,侵入盗,,39
2017,正規滞在,正規滞在,その他,窃盗犯,侵入盗,,34
2017,不法滞在,不法入国・上陸,,窃盗犯,侵入盗,,2
2017,不法滞在,不法在留,,窃盗犯,侵入盗,,5
2017,不法滞在,不法残留,技能実習,窃盗犯,侵入盗,,4
2017,不法滞在,不法残留,留学,窃盗犯,侵入盗,,9
2017,不法滞在,不法残留,研修,窃盗犯,侵入盗,,1
2017,不法滞在,不法残留,その他,窃盗犯,侵入盗,,4
2017,正規滞在,正規滞在,短期滞在,知能犯,,,109
2017,正規滞在,正規滞在,技能実習,知能犯,,,38
2017,正規滞在,正規滞在,興行,知能犯,,,1
2017,正規滞在,正規滞在,留学,知能犯,,,111
2017,正規滞在,正規滞在,研修,知能犯,,,4
2017,正規滞在,正規滞在,日本人の配偶者等,知能犯,,,118
2017,正規滞在,正規滞在,定住者,知能犯,,,60
2017,正規滞在,正規滞在,その他,知能犯,,,108
2017,不法滞在,不法入国・上陸,,知能犯,,,3
2017,不法滞在,不法在留,,知能犯,,,9
2017,不法滞在,不法残留,短期滞在,知能犯,,,8
2017,不法滞在,不法残留,技能実習,知能犯,,,9
2017,不法滞在,不法残留,留学,知能犯,,,14
2017,不法滞在,不法残留,その他,知能犯,,,6
2017,正規滞在,正規滞在,短期滞在,風俗犯,,,15
2017,正規滞在,正規滞在,技能実習,風俗犯,,,5
2017,正規滞在,正規滞在,留学,風俗犯,,,22
2017,正規滞在,正規滞在,研修,風俗犯,,,2
2017,正規滞在,正規滞在,日本人の配偶者等,風俗犯,,,17
2017,正規滞在,正規滞在,定住者,風俗犯,,,19
2017,正規滞在,正規滞在,その他,風俗犯,,,48
2017,不法滞在,不法入国・上陸,,風俗犯,,,1
2017,不法滞在,不法残留,その他,風俗犯,,,2
2017,正規滞在,正規滞在,短期滞在,その他の刑法犯,,,95
2017,正規滞在,正規滞在,技能実習,その他の刑法犯,,,91
2017,正規滞在,正規滞在,興行,その他の刑法犯,,,1
