年,正規・非正規区分,正規・非正規詳細,在留資格,罪種00,罪種01,罪種02,検挙人員
2022,合算,,定住者,凶悪犯,殺人,,4
2022,合算,,技能実習（不法含む）,凶悪犯,殺人,,17
2022,合算,,留学（就学・不法含む）,凶悪犯,殺人,,2
2022,合算,,日本人の配偶者等,凶悪犯,殺人,,5
2022,合算,,特定活動,凶悪犯,殺人,,7
2022,合算,,技術・人文知識・国際業務,凶悪犯,殺人,,2
2022,合算,,短期滞在（不法含む）,凶悪犯,殺人,,2
2022,合算,,その他,凶悪犯,殺人,,5
2022,合算,,定住者,凶悪犯,強盗,,11
2022,合算,,技能実習（不法含む）,凶悪犯,強盗,,19
2022,合算,,留学（就学・不法含む）,凶悪犯,強盗,,7
2022,合算,,日本人の配偶者等,凶悪犯,強盗,,4
2022,合算,,特定活動,凶悪犯,強盗,,17
2022,合算,,技術・人文知識・国際業務,凶悪犯,強盗,,7
2022,合算,,短期滞在（不法含む）,凶悪犯,強盗,,9
2022,合算,,その他,凶悪犯,強盗,,25
2022,合算,,定住者,凶悪犯,放火,,1
2022,合算,,技能実習（不法含む）,凶悪犯,放火,,0
2022,合算,,留学（就学・不法含む）,凶悪犯,放火,,0
2022,合算,,日本人の配偶者等,凶悪犯,放火,,3
2022,合算,,特定活動,凶悪犯,放火,,3
2022,合算,,技術・人文知識・国際業務,凶悪犯,放火,,0
2022,合算,,短期滞在（不法含む）,凶悪犯,放火,,0
2022,合算,,その他,凶悪犯,放火,,0
2022,合算,,定住者,凶悪犯,強制性交等,,7
2022,合算,,技能実習（不法含む）,凶悪犯,強制性交等,,2
2022,合算,,留学（就学・不法含む）,凶悪犯,強制性交等,,4
2022,合算,,日本人の配偶者等,凶悪犯,強制性交等,,9
2022,合算,,特定活動,凶悪犯,強制性交等,,6
2022,合算,,技術・人文知識・国際業務,凶悪犯,強制性交等,,9
2022,合算,,短期滞在（不法含む）,凶悪犯,強制性交等,,2
2022,合算,,その他,凶悪犯,強制性交等,,7
2022,合算,,定住者,粗暴犯,傷害,,135
2022,合算,,技能実習（不法含む）,粗暴犯,傷害,,52
2022,合算,,留学（就学・不法含む）,粗暴犯,傷害,,49
2022,合算,,日本人の配偶者等,粗暴犯,傷害,,103
2022,合算,,特定活動,粗暴犯,傷害,,61
2022,合算,,技術・人文知識・国際業務,粗暴犯,傷害,,54
2022,合算,,短期滞在（不法含む）,粗暴犯,傷害,,19
2022,合算,,その他,粗暴犯,傷害,,105
2022,合算,,定住者,窃盗犯,侵入盗,,22
2022,合算,,技能実習（不法含む）,窃盗犯,侵入盗,,24
2022,合算,,留学（就学・不法含む）,窃盗犯,侵入盗,,21
2022,合算,,日本人の配偶者等,窃盗犯,侵入盗,,9
2022,合算,,特定活動,窃盗犯,侵入盗,,8
2022,合算,,技術・人文知識・国際業務,窃盗犯,侵入盗,,12
2022,合算,,短期滞在（不法含む）,窃盗犯,侵入盗,,11
2022,合算,,その他,窃盗犯,侵入盗,,19
2022,合算,,定住者,知能犯,,,54
2022,合算,,技能実習（不法含む）,知能犯,,,86
2022,合算,,留学（就学・不法含む）,知能犯,,,82
2022,合算,,日本人の配偶者等,知能犯,,,37
2022,合算,,特定活動,知能犯,,,53
2022,合算,,技術・人文知識・国際業務,知能犯,,,52
2022,合算,,短期滞在（不法含む）,知能犯,,,19
2022,合算,,その他,知能犯,,,83
2022,合算,,定住者,風俗犯,,,25
2022,合算,,技能実習（不法含む）,風俗犯,,,22
2022,合算,,留学（就学・不法含む）,風俗犯,,,19
2022,合算,,日本人の配偶者等,風俗犯,,,26
2022,合算,,特定活動,風俗犯,,,20
2022,合算,,技術・人文知識・国際業務,風俗犯,,,35
2022,合算,,短期滞在（不法含む）,風俗犯,,,8
2022,合算,,その他,風俗犯,,,51
2022,合算,,定住者,その他の刑法犯,,,137
2022,合算,,技能実習（不法含む）,その他の刑法犯,,,132
2022,合算,,留学（就学・不法含む）,その他の刑法犯,,,158
2022,合算,,日本人の配偶者等,その他の刑法犯,,,60
2022,合算,,特定活動,その他の刑法犯,,,126
2022,合算,,技術・人文知識・国際業務,その他の刑法犯,,,80
2022,合算,,短期滞在（不法含む）,その他の刑法犯,,,62
2022,合算,,その他,その他の刑法犯,,,132
2022,合算,,定住者,窃盗犯,その他,,342
2022,合算,,技能実習（不法含む）,窃盗犯,その他,,390
2022,合算,,留学（就学・不法含む）,窃盗犯,その他,,216
2022,合算,,日本人の配偶者等,窃盗犯,その他,,170
2022,合算,,特定活動,窃盗犯,その他,,185
2022,合算,,技術・人文知識・国際業務,窃盗犯,その他,,132
2022,合算,,短期滞在（不法含む）,窃盗犯,その他,,111
2022,合算,,その他,窃盗犯,その他,,320
2022,合算,,定住者,粗暴犯,その他,,164
2022,合算,,技能実習（不法含む）,粗暴犯,その他,,66
2022,合算,,留学（就学・不法含む）,粗暴犯,その他,,69
2022,合算,,日本人の配偶者等,粗暴犯,その他,,144
2022,合算,,特定活動,粗暴犯,その他,,60
2022,合算,,技術・人文知識・国際業務,粗暴犯,その他,,70
2022,合算,,短期滞在（不法含む）,粗暴犯,その他,,17
2022,合算,,その他,粗暴犯,その他,,99
