年,正規・非正規区分,正規・非正規詳細,在留資格,罪種00,罪種01,罪種02,検挙人員
2014,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,殺人,,6
2014,正規滞在,正規滞在,技能実習,凶悪犯,殺人,,2
2014,正規滞在,正規滞在,留学,凶悪犯,殺人,,5
2014,正規滞在,正規滞在,定住者,凶悪犯,殺人,,8
2014,正規滞在,正規滞在,その他,凶悪犯,殺人,,5
2014,不法滞在,不法入国・上陸,,凶悪犯,殺人,,1
2014,不法滞在,不法残留,技能実習,凶悪犯,殺人,,1
2014,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強盗,侵入強盗,1
2014,正規滞在,正規滞在,技能実習,凶悪犯,強盗,侵入強盗,1
2014,正規滞在,正規滞在,短期滞在,凶悪犯,強盗,侵入強盗,5
2014,正規滞在,正規滞在,留学,凶悪犯,強盗,侵入強盗,1
2014,正規滞在,正規滞在,定住者,凶悪犯,強盗,侵入強盗,3
2014,正規滞在,正規滞在,その他,凶悪犯,強盗,侵入強盗,3
2014,不法滞在,不法在留,,凶悪犯,強盗,侵入強盗,1
2014,不法滞在,不法残留,短期滞在,凶悪犯,強盗,侵入強盗,1
2014,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,放火,,2
2014,正規滞在,正規滞在,短期滞在,凶悪犯,放火,,1
2014,正規滞在,正規滞在,留学,凶悪犯,放火,,1
2014,正規滞在,正規滞在,定住者,凶悪犯,放火,,1
2014,正規滞在,正規滞在,日本人の配偶者等,凶悪犯,強姦,,6
2014,正規滞在,正規滞在,技能実習,凶悪犯,強姦,,2
2014,正規滞在,正規滞在,短期滞在,凶悪犯,強姦,,1
2014,正規滞在,正規滞在,留学,凶悪犯,強姦,,5
2014,正規滞在,正規滞在,研修,凶悪犯,強姦,,1
2014,正規滞在,正規滞在,定住者,凶悪犯,強姦,,4
2014,正規滞在,正規滞在,その他,凶悪犯,強姦,,7
2014,不法滞在,不法入国・上陸,,凶悪犯,強姦,,1
2014,正規滞在,正規滞在,日本人の配偶者等,粗暴犯,,,280
2014,正規滞在,正規滞在,興行,粗暴犯,,,2
2014,正規滞在,正規滞在,技能実習,粗暴犯,,,33
2014,正規滞在,正規滞在,短期滞在,粗暴犯,,,50
2014,正規滞在,正規滞在,留学,粗暴犯,,,114
2014,正規滞在,正規滞在,研修,粗暴犯,,,10
2014,正規滞在,正規滞在,定住者,粗暴犯,,,327
2014,正規滞在,正規滞在,その他,粗暴犯,,,237
2014,不法滞在,不法入国・上陸,,粗暴犯,,,2
2014,不法滞在,不法在留,,粗暴犯,,,5
2014,不法滞在,不法残留,技能実習,粗暴犯,,,4
2014,不法滞在,不法残留,短期滞在,粗暴犯,,,2
2014,不法滞在,不法残留,留学,粗暴犯,,,6
2014,不法滞在,不法残留,その他,粗暴犯,,,10
2014,正規滞在,正規滞在,日本人の配偶者等,窃盗犯,侵入盗,,15
2014,正規滞在,正規滞在,技能実習,窃盗犯,侵入盗,,6
2014,正規滞在,正規滞在,短期滞在,窃盗犯,侵入盗,,32
2014,正規滞在,正規滞在,留学,窃盗犯,侵入盗,,13
2014,正規滞在,正規滞在,研修,窃盗犯,侵入盗,,2
2014,正規滞在,正規滞在,定住者,窃盗犯,侵入盗,,48
2014,正規滞在,正規滞在,その他,窃盗犯,侵入盗,,19
2014,不法滞在,不法在留,,窃盗犯,侵入盗,,3
2014,不法滞在,不法残留,技能実習,窃盗犯,侵入盗,,1
2014,不法滞在,不法残留,短期滞在,窃盗犯,侵入盗,,5
