年,国籍・地域,在留資格,人数
2023,ベトナム,短期滞在,4959
2023,タイ,短期滞在,10977
2023,韓国,短期滞在,10273
2023,中国,短期滞在,2400
2023,フィリピン,短期滞在,2172
2023,インドネシア,短期滞在,2407
2023,台湾,短期滞在,2995
2023,スリランカ,短期滞在,784
2023,カンボジア,短期滞在,460
2023,マレーシア,短期滞在,1350
2023,その他,短期滞在,10708
2023,ベトナム,技能実習1号イ,1
2023,タイ,技能実習1号イ,2
2023,韓国,技能実習1号イ,0
2023,中国,技能実習1号イ,5
2023,フィリピン,技能実習1号イ,2
2023,インドネシア,技能実習1号イ,1
2023,台湾,技能実習1号イ,0
2023,スリランカ,技能実習1号イ,0
2023,カンボジア,技能実習1号イ,0
2023,マレーシア,技能実習1号イ,1
2023,その他,技能実習1号イ,0
2023,ベトナム,技能実習1号ロ,3156
2023,タイ,技能実習1号ロ,64
2023,韓国,技能実習1号ロ,0
2023,中国,技能実習1号ロ,839
2023,フィリピン,技能実習1号ロ,69
2023,インドネシア,技能実習1号ロ,564
2023,台湾,技能実習1号ロ,0
2023,スリランカ,技能実習1号ロ,5
2023,カンボジア,技能実習1号ロ,218
2023,マレーシア,技能実習1号ロ,0
2023,その他,技能実習1号ロ,42
2023,ベトナム,技能実習2号イ,10
2023,タイ,技能実習2号イ,0
2023,韓国,技能実習2号イ,0
2023,中国,技能実習2号イ,6
2023,フィリピン,技能実習2号イ,3
2023,インドネシア,技能実習2号イ,2
2023,台湾,技能実習2号イ,0
2023,スリランカ,技能実習2号イ,0
2023,カンボジア,技能実習2号イ,0
2023,マレーシア,技能実習2号イ,0
2023,その他,技能実習2号イ,0
2023,ベトナム,技能実習2号ロ,3802
2023,タイ,技能実習2号ロ,114
2023,韓国,技能実習2号ロ,0
2023,中国,技能実習2号ロ,929
2023,フィリピン,技能実習2号ロ,80
2023,インドネシア,技能実習2号ロ,374
2023,台湾,技能実習2号ロ,0
2023,スリランカ,技能実習2号ロ,3
2023,カンボジア,技能実習2号ロ,199
2023,マレーシア,技能実習2号ロ,0
2023,その他,技能実習2号ロ,72
2023,ベトナム,技能実習3号イ,1
2023,タイ,技能実習3号イ,0
2023,韓国,技能実習3号イ,0
2023,中国,技能実習3号イ,0
2023,フィリピン,技能実習3号イ,0
2023,インドネシア,技能実習3号イ,0
2023,台湾,技能実習3号イ,0
2023,スリランカ,技能実習3号イ,0
2023,カンボジア,技能実習3号イ,0
2023,マレーシア,技能実習3号イ,0
2023,その他,技能実習3号イ,0
2023,ベトナム,技能実習3号ロ,248
2023,タイ,技能実習3号ロ,9
2023,韓国,技能実習3号ロ,0
2023,中国,技能実習3号ロ,48
2023,フィリピン,技能実習3号ロ,4
2023,インドネシア,技能実習3号ロ,18
2023,台湾,技能実習3号ロ,0
2023,スリランカ,技能実習3号ロ,0
2023,カンボジア,技能実習3号ロ,16
2023,マレーシア,技能実習3号ロ,0
2023,その他,技能実習3号ロ,6
2023,ベトナム,特定活動,2524
2023,タイ,特定活動,35
2023,韓国,特定活動,27
2023,中国,特定活動,552
2023,フィリピン,特定活動,587
2023,インドネシア,特定活動,530
2023,台湾,特定活動,8
2023,スリランカ,特定活動,988
2023,カンボジア,特定活動,864
2023,マレーシア,特定活動,0
2023,その他,特定活動,2700
2023,ベトナム,留学,920
2023,タイ,留学,10
2023,韓国,留学,114
2023,中国,留学,847
2023,フィリピン,留学,15
2023,インドネシア,留学,64
2023,台湾,留学,7
2023,スリランカ,留学,128
2023,カンボジア,留学,1
2023,マレーシア,留学,4
2023,その他,留学,238
2023,ベトナム,日本人の配偶者等,10
2023,タイ,日本人の配偶者等,159
2023,韓国,日本人の配偶者等,171
2023,中国,日本人の配偶者等,224
2023,フィリピン,日本人の配偶者等,695
2023,インドネシア,日本人の配偶者等,9
2023,台湾,日本人の配偶者等,8
2023,スリランカ,日本人の配偶者等,20
2023,カンボジア,日本人の配偶者等,0
2023,マレーシア,日本人の配偶者等,6
2023,その他,日本人の配偶者等,588
2023,ベトナム,その他,1181
2023,タイ,その他,102
2023,韓国,その他,184
2023,中国,その他,938
2023,フィリピン,その他,1362
2023,インドネシア,その他,125
2023,台湾,その他,25
2023,スリランカ,その他,87
2023,カンボジア,その他,94
2023,マレーシア,その他,138
2023,その他,その他,1414
