年,国籍・地域,在留資格,人数
2022,韓国,短期滞在,10109
2022,タイ,短期滞在,6385
2022,ベトナム,短期滞在,1127
2022,中国,短期滞在,2448
2022,フィリピン,短期滞在,1656
2022,インドネシア,短期滞在,1620
2022,台湾,短期滞在,2881
2022,マレーシア,短期滞在,1330
2022,スリランカ,短期滞在,499
2022,インド,短期滞在,728
2022,その他,短期滞在,9691
2022,韓国,技能実習1号イ,0
2022,タイ,技能実習1号イ,2
2022,ベトナム,技能実習1号イ,2
2022,中国,技能実習1号イ,4
2022,フィリピン,技能実習1号イ,2
2022,インドネシア,技能実習1号イ,2
2022,台湾,技能実習1号イ,0
2022,マレーシア,技能実習1号イ,1
2022,スリランカ,技能実習1号イ,0
2022,インド,技能実習1号イ,0
2022,その他,技能実習1号イ,1
2022,韓国,技能実習1号ロ,0
2022,タイ,技能実習1号ロ,57
2022,ベトナム,技能実習1号ロ,1295
2022,中国,技能実習1号ロ,685
2022,フィリピン,技能実習1号ロ,44
2022,インドネシア,技能実習1号ロ,280
2022,台湾,技能実習1号ロ,0
2022,マレーシア,技能実習1号ロ,0
2022,スリランカ,技能実習1号ロ,3
2022,インド,技能実習1号ロ,0
2022,その他,技能実習1号ロ,93
2022,韓国,技能実習2号イ,0
2022,タイ,技能実習2号イ,0
2022,ベトナム,技能実習2号イ,5
2022,中国,技能実習2号イ,5
2022,フィリピン,技能実習2号イ,1
2022,インドネシア,技能実習2号イ,2
2022,台湾,技能実習2号イ,0
2022,マレーシア,技能実習2号イ,0
2022,スリランカ,技能実習2号イ,0
2022,インド,技能実習2号イ,0
2022,その他,技能実習2号イ,0
2022,韓国,技能実習2号ロ,0
2022,タイ,技能実習2号ロ,89
2022,ベトナム,技能実習2号ロ,1994
2022,中国,技能実習2号ロ,837
2022,フィリピン,技能実習2号ロ,83
2022,インドネシア,技能実習2号ロ,357
2022,台湾,技能実習2号ロ,0
2022,マレーシア,技能実習2号ロ,0
2022,スリランカ,技能実習2号ロ,2
2022,インド,技能実習2号ロ,0
2022,その他,技能実習2号ロ,153
2022,韓国,技能実習3号イ,0
2022,タイ,技能実習3号イ,0
2022,ベトナム,技能実習3号イ,0
2022,中国,技能実習3号イ,0
2022,フィリピン,技能実習3号イ,0
2022,インドネシア,技能実習3号イ,0
2022,台湾,技能実習3号イ,0
2022,マレーシア,技能実習3号イ,0
2022,スリランカ,技能実習3号イ,0
2022,インド,技能実習3号イ,0
2022,その他,技能実習3号イ,0
2022,韓国,技能実習3号ロ,0
2022,タイ,技能実習3号ロ,5
2022,ベトナム,技能実習3号ロ,58
2022,中国,技能実習3号ロ,13
2022,フィリピン,技能実習3号ロ,2
2022,インドネシア,技能実習3号ロ,7
2022,台湾,技能実習3号ロ,0
2022,マレーシア,技能実習3号ロ,0
2022,スリランカ,技能実習3号ロ,0
2022,インド,技能実習3号ロ,0
2022,その他,技能実習3号ロ,9
2022,韓国,特定活動,29
2022,タイ,特定活動,22
2022,ベトナム,特定活動,842
2022,中国,特定活動,366
2022,フィリピン,特定活動,537
2022,インドネシア,特定活動,612
2022,台湾,特定活動,7
2022,マレーシア,特定活動,0
2022,スリランカ,特定活動,426
2022,インド,特定活動,36
2022,その他,特定活動,1685
2022,韓国,留学,120
2022,タイ,留学,9
2022,ベトナム,留学,816
2022,中国,留学,932
2022,フィリピン,留学,15
2022,インドネシア,留学,61
2022,台湾,留学,6
2022,マレーシア,留学,4
2022,スリランカ,留学,123
2022,インド,留学,6
2022,その他,留学,210
2022,韓国,日本人の配偶者等,179
2022,タイ,日本人の配偶者等,162
2022,ベトナム,日本人の配偶者等,10
2022,中国,日本人の配偶者等,241
2022,フィリピン,日本人の配偶者等,724
2022,インドネシア,日本人の配偶者等,16
2022,台湾,日本人の配偶者等,6
2022,マレーシア,日本人の配偶者等,5
2022,スリランカ,日本人の配偶者等,20
2022,インド,日本人の配偶者等,4
2022,その他,日本人の配偶者等,625
2022,韓国,その他,174
2022,タイ,その他,75
2022,ベトナム,その他,526
2022,中国,その他,853
2022,フィリピン,その他,1421
2022,インドネシア,その他,72
2022,台湾,その他,30
2022,マレーシア,その他,138
2022,スリランカ,その他,88
2022,インド,その他,122
2022,その他,その他,1319
