年,国籍・地域,在留資格,人数
2024,ベトナム,短期滞在,3424
2024,タイ,短期滞在,10931
2024,韓国,短期滞在,10268
2024,中国,短期滞在,2219
2024,フィリピン,短期滞在,2178
2024,インドネシア,短期滞在,2760
2024,台湾,短期滞在,3048
2024,スリランカ,短期滞在,797
2024,カンボジア,短期滞在,312
2024,マレーシア,短期滞在,1336
2024,その他,短期滞在,11070
2024,ベトナム,技能実習1号イ,3
2024,タイ,技能実習1号イ,2
2024,韓国,技能実習1号イ,0
2024,中国,技能実習1号イ,6
2024,フィリピン,技能実習1号イ,1
2024,インドネシア,技能実習1号イ,1
2024,台湾,技能実習1号イ,0
2024,スリランカ,技能実習1号イ,0
2024,カンボジア,技能実習1号イ,0
2024,マレーシア,技能実習1号イ,1
2024,その他,技能実習1号イ,1
2024,ベトナム,技能実習1号ロ,4250
2024,タイ,技能実習1号ロ,76
2024,韓国,技能実習1号ロ,0
2024,中国,技能実習1号ロ,903
2024,フィリピン,技能実習1号ロ,81
2024,インドネシア,技能実習1号ロ,800
2024,台湾,技能実習1号ロ,0
2024,スリランカ,技能実習1号ロ,6
2024,カンボジア,技能実習1号ロ,274
2024,マレーシア,技能実習1号ロ,0
2024,その他,技能実習1号ロ,53
2024,ベトナム,技能実習2号イ,9
2024,タイ,技能実習2号イ,0
2024,韓国,技能実習2号イ,0
2024,中国,技能実習2号イ,4
2024,フィリピン,技能実習2号イ,3
2024,インドネシア,技能実習2号イ,1
2024,台湾,技能実習2号イ,0
2024,スリランカ,技能実習2号イ,0
2024,カンボジア,技能実習2号イ,0
2024,マレーシア,技能実習2号イ,0
2024,その他,技能実習2号イ,0
2024,ベトナム,技能実習2号ロ,3335
2024,タイ,技能実習2号ロ,98
2024,韓国,技能実習2号ロ,0
2024,中国,技能実習2号ロ,817
2024,フィリピン,技能実習2号ロ,68
2024,インドネシア,技能実習2号ロ,357
2024,台湾,技能実習2号ロ,0
2024,スリランカ,技能実習2号ロ,5
2024,カンボジア,技能実習2号ロ,136
2024,マレーシア,技能実習2号ロ,0
2024,その他,技能実習2号ロ,67
2024,ベトナム,技能実習3号イ,1
2024,タイ,技能実習3号イ,0
2024,韓国,技能実習3号イ,0
2024,中国,技能実習3号イ,0
2024,フィリピン,技能実習3号イ,0
2024,インドネシア,技能実習3号イ,0
2024,台湾,技能実習3号イ,0
2024,スリランカ,技能実習3号イ,0
2024,カンボジア,技能実習3号イ,0
2024,マレーシア,技能実習3号イ,0
2024,その他,技能実習3号イ,0
2024,ベトナム,技能実習3号ロ,318
2024,タイ,技能実習3号ロ,7
2024,韓国,技能実習3号ロ,0
2024,中国,技能実習3号ロ,73
2024,フィリピン,技能実習3号ロ,5
2024,インドネシア,技能実習3号ロ,15
2024,台湾,技能実習3号ロ,0
2024,スリランカ,技能実習3号ロ,0
2024,カンボジア,技能実習3号ロ,17
2024,マレーシア,技能実習3号ロ,0
2024,その他,技能実習3号ロ,8
2024,ベトナム,特定活動,1699
2024,タイ,特定活動,48
2024,韓国,特定活動,25
2024,中国,特定活動,474
2024,フィリピン,特定活動,496
2024,インドネシア,特定活動,412
2024,台湾,特定活動,9
2024,スリランカ,特定活動,924
2024,カンボジア,特定活動,735
2024,マレーシア,特定活動,0
2024,その他,特定活動,2738
2024,ベトナム,留学,898
2024,タイ,留学,8
2024,韓国,留学,126
2024,中国,留学,832
2024,フィリピン,留学,16
2024,インドネシア,留学,89
2024,台湾,留学,5
2024,スリランカ,留学,135
2024,カンボジア,留学,1
2024,マレーシア,留学,6
2024,その他,留学,305
2024,ベトナム,日本人の配偶者等,6
2024,タイ,日本人の配偶者等,162
2024,韓国,日本人の配偶者等,164
2024,中国,日本人の配偶者等,209
2024,フィリピン,日本人の配偶者等,687
2024,インドネシア,日本人の配偶者等,8
2024,台湾,日本人の配偶者等,15
2024,スリランカ,日本人の配偶者等,18
2024,カンボジア,日本人の配偶者等,1
2024,マレーシア,日本人の配偶者等,5
2024,その他,日本人の配偶者等,609
2024,ベトナム,その他,1408
2024,タイ,その他,102
2024,韓国,その他,186
2024,中国,その他,963
2024,フィリピン,その他,1399
2024,インドネシア,その他,154
2024,台湾,その他,38
2024,スリランカ,その他,115
2024,カンボジア,その他,77
2024,マレーシア,その他,9
2024,その他,その他,1474
